Symbol,Name,Industry,IndustryCode
UVSP,Univest Financial Corp,은행,551010
ENJY,Enjoy Technology Inc,"컴퓨터, 전화 및 가전제품",571060
CARA,Cara Therapeutics Inc,생명과학 및 메디컬 리서치,562020
RPID,Rapid Micro Biosystems Inc Class A,제약,562010
AVIR,Atea Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
BCOR,Blucora Inc,투자은행 및 서비스,551020
HOLI,Hollysys Automation Technologies Ltd,"건설장비 및 대형차, 기차, 배",521020
CCRN,Cross Country Healthcare Inc,전문 및 상업 서비스,522030
MNTS,Momentus Inc Class A,우주항공 및 국방,521010
ZGNX,Zogenix Inc,제약,562010
DMRC,Digimarc Corp,소프트웨어 및 IT서비스,572010
LIND,Lindblad Expeditions Holdings Inc,호텔 및 엔터테인먼트,533010
TA,Travelcenters of America Inc,오일 및 가스,501020
HBNC,Horizon Bancorp Inc,은행,551010
FBMS,First Bancshares Inc (Mississippi),은행,551010
AEPPZ,American Elec Pwr Units,전기 유틸리티,591010
NSSC,NAPCO Security Technologies Inc,커뮤니케이션 및 네트워킹,571020
IMGO,Imago BioSciences Inc,생명과학 및 메디컬 리서치,562020
NOTV,Inotiv Inc,생명과학 및 메디컬 리서치,562020
BJRI,BJ's Restaurants Inc,호텔 및 엔터테인먼트,533010
HERAU,FTAC Hera Acquisition Units,기타 금융업,556010
UXIN,Uxin Ltd ADR,소프트웨어 및 IT서비스,572010
ORMP,Oramed Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
CLFD,Clearfield Inc,커뮤니케이션 및 네트워킹,571020
TMDX,Transmedics Group Inc,헬스케어 장비 및 용품,561010
NTGR,NETGEAR Inc,커뮤니케이션 및 네트워킹,571020
MIGI,Mawson Infrastructure Group Inc,소프트웨어 및 IT서비스,572010
PNT,POINT Biopharma Global Inc,생명과학 및 메디컬 리서치,562020
AINV,Apollo Investment Corp,투자은행 및 서비스,551020
HSTM,HealthStream Inc,소프트웨어 및 IT서비스,572010
NN,Nextnav Acquisition Corp,기타 금융업,556010
PLAB,Photronics Inc,반도체 및 반도체 장비,571010
FTCI,FTC Solar Inc,"건설장비 및 대형차, 기차, 배",521020
SNDX,Syndax Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
DMTK,DermTech Inc,헬스케어 장비 및 용품,561010
AFINO,American Finance Trust Inc PRF,주택 및 상업용 리츠,601020
HCCI,Heritage-Crystal Clean Inc,전문 및 상업 서비스,522030
DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,601020
ALTA,Altabancorp,은행,551010
OSPN,OneSpan Inc,통합 하드웨어 및 소프트웨어,571070
AMTB,Amerant Bancorp Inc Class A,은행,551010
GOOD,Gladstone Commercial Corp,주택 및 상업용 리츠,601020
CTLP,Cantaloupe Inc,핀테크,573010
GGPIU,Gores Guggenheim Units,기타 금융업,556010
INGN,Inogen Inc,헬스케어 장비 및 용품,561010
RNLX,Renalytix PLC ADR,소프트웨어 및 IT서비스,572010
LQDT,Liquidity Services Inc,소프트웨어 및 IT서비스,572010
