CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_BUY,REMAIN_SELL,REMAIN_BUY_AMOUNT,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN_x,VOL_MEDIAN_x,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_DEAL,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A086520,에코프로,"[9.33, 8.18, 32.7]","[24.13, 47.07, 10.37]","[1.87, 3.51, 2.49]","[478, 636, 865]","[374, 551, 2789]","[8.83, 9.21]","[92100, 89200]","[397357, 437097]","[11310, 37826]","[30234, 7675]","[-723.0, 510.0]","[91060, 90600]","[297965, 322564]","[91640, 91430]","[294190, 310550]","[91750, 91750]","[297236, 325759]","[-723.0, 510.0]",91750,297236,9.21,89200,90600,91430,102.58,102.58,99.22,47.53,180.61,437097,510.0,N,16.74,Y,Y,Y,Y,Y,Y
A247540,에코프로비엠,"[12.99, 0.0, 20.26]","[30.37, 75.69, 107.73]","[2.93, 8.03, 20.73]","[371, 548, 1150]","[345, 467, 978]","[12.78, 12.7, 12.82, 12.38, 12.47]","[362400, 391200, 382500, 385100, 374500]","[100460, 373759, 256708, 202659, 172740]","[655, 1234, 1303, 2374, 3922]","[2377, 4636, 1677, 1598, 833]","[0.0, 0.0, 0.0, 209.0, 676.0]","[357060, 367420, 372260, 376780, 379140]","[195209, 224123, 212983, 220424, 222685]","[348370, 352660, 354980, 359300, 364510]","[267474, 261747, 254205, 248015, 221221]","[353300, 358800, 360350, 362450, 362600]","[248540, 248540, 243487, 226733, 213548]","[0.0, 0.0, 0.0, 209.0, 676.0]",353300,248540,12.61,390300,386900,381840,101.2,101.97,99.95,41.69,147.35,158597,1697.0,N,11.08,Y,N,Y,N,N,Y
A036810,에프에스티,"[17.52, 15.31, 19.16]","[8.58, 28.86, 16.91]","[1.25, 3.7, 2.44]","[189, 248, 226]","[183, 187, 282]","[2.53, 2.5, 2.38, 2.41, 2.46]","[23050, 23050, 23100, 22900, 22450]","[276010, 88739, 64433, 52943, 58193]","[15962, 17724, 16101, 12732, 9270]","[8974, 7100, 10027, 10785, 3693]","[184.0, 249.0, 124.0, 7.0, 129.0]","[22080, 22390, 22720, 22910, 22910]","[113895, 124068, 127834, 120465, 108824]","[21560, 21850, 22065, 22235, 22330]","[86674, 92207, 93645, 92212, 90043]","[21475, 21500, 21725, 22200, 22450]","[65978, 74784, 74784, 73363, 64558]","[184.0, 249.0, 124.0, 7.0, 129.0]",21475,65978,2.46,22450,22910,22330,101.11,101.78,99.78,87.97,137.64,58193,129.0,N,17.33,N,N,N,N,N,Y
A950130,엑세스바이오,"[-56.79, 89.16, 102.45]","[-3.43, 15.75, 3.06]","[2.82, 9.56, 2.03]","[-80, 687, 2601]","[-207, 478, 1901]","[4.47, 4.62, 4.68, 4.67]","[19250, 19000, 18000, 18200]","[1639514, 1737282, 928345, 693164]","[141318, 86428, 82024, 105767]","[126155, 27907, 62911, 53898]","[1066.0, 727.0, 736.0, 1277.0]","[17890, 18340, 18480, 18560]","[1443621, 1678846, 1350656, 1249867]","[17150, 17470, 17615, 17780]","[1005072, 1125251, 1109395, 1141649]","[16850, 17125, 17550, 17900]","[844288, 1144335, 1061815, 1069428]","[1066.0, 727.0, 736.0, 1277.0]",16850,844288,4.67,18200,18560,17780,98.9,103.3,98.08,75.55,236.26,693164,1277.0,Y,44.94,Y,N,N,N,N,Y
A092870,엑시콘,"[-6.82, 14.07, 29.52]","[-13.1, 14.33, 4.76]","[0.91, 1.78, 1.2]","[-52, 83, 63]","[-53, 122, 340]","[1.47, 1.4, 1.44, 1.7]","[13700, 13700, 13850, 13500]","[43805, 64690, 144290, 93987]","[13690, 21127, 21235, 36975]","[28597, 15886, 27594, 12904]","[-42.0, 203.0, -28.0, 114.0]","[13850, 13800, 13780, 13700]","[53966, 55810, 76105, 90004]","[13690, 13765, 13840, 13810]","[89225, 93512, 105318, 81212]","[13800, 13800, 13825, 13825]","[49649, 60092, 83905, 79753]","[-42.0, 203.0, -28.0, 114.0]",13800,49649,1.7,13500,13700,13810,103.33,103.33,98.52,88.15,123.7,93987,114.0,Y,12.26,N,N,N,Y,Y,Y
A217820,엔에스,"[14.5, 10.41, 16.85]","[11.5, 27.92, 14.2]","[1.54, 2.81, 2.12]","[56, 68, 24]","[43, 38, 80]","[0.54, 0.54, 0.59, 0.77, 0.73]","[10150, 10100, 10450, 10350, 10800]","[59764, 77966, 234134, 169380, 194889]","[18792, 29230, 29162, 28554, 20844]","[41731, 37868, 80889, 54588, 46471]","[-93.0, 112.0, -395.0, 37.0, -252.0]","[10210, 10180, 10220, 10270, 10370]","[103324, 77295, 106394, 126318, 147645]","[9852, 9947, 10085, 10201, 10315]","[171238, 175719, 197140, 212002, 216279]","[10125, 10125, 10200, 10250, 10275]","[79893, 83308, 88799, 120882, 129509]","[-93.0, 112.0, -395.0, 37.0, -252.0]",10125,79893,0.86,10750,10490,10350,99.07,101.86,98.6,83.72,129.3,143616,-159.0,N,13.92,N,N,N,N,Y,N
A060250,NHN한국사이버결제,"[20.2, 21.35, 19.22]","[20.83, 56.04, 40.06]","[3.89, 10.62, 7.22]","[321, 398, 432]","[245, 299, 303]","[33.85, 33.82, 33.78, 33.72, 33.69]","[24300, 25300, 24700, 25550, 25050]","[58972, 151872, 106553, 204686, 170428]","[15664, 9778, 17424, 12420, 17242]","[8173, 27228, 16586, 16195, 6219]","[0.0, 0.0, 0.0, -33.0, 168.0]","[24490, 24690, 24710, 24840, 24980]","[71079, 88545, 90166, 118282, 139130]","[24170, 24320, 24340, 24505, 24655]","[87331, 91792, 82842, 95108, 104104]","[24300, 24325, 24325, 24475, 24650]","[74103, 74103, 74103, 74103, 83349]","[0.0, 0.0, 0.0, -33.0, 168.0]",24300,74103,33.07,26650,26310,25575,100.0,101.88,97.94,86.68,250.28,120393,53.0,N,20.26,Y,N,Y,N,Y,Y
A096870,엘디티,"[-13.22, 12.78, 18.06]","[-13.44, 16.17, 15.03]","[1.9, 1.94, 2.49]","[-13, 16, 19]","[-14, 13, 22]","[7.01, 7.07, 7.01, 7.19, 7.24]","[4530, 4460, 4585, 4650, 4730]","[33811, 28145, 59190, 78491, 58705]","[6182, 9426, 4056, 19964, 5634]","[1938, 1864, 13104, 4025, 3055]","[0.0, 9.0, -39.0, 22.0, 0.0]","[4535, 4530, 4545, 4561, 4591]","[34783, 30723, 36126, 46016, 52689]","[4432, 4451, 4482, 4526, 4566]","[42807, 43272, 45246, 50422, 51243]","[4497, 4497, 4520, 4545, 4565]","[35394, 35394, 35394, 42710, 42710]","[0.0, 9.0, -39.0, 22.0, 0.0]",4497,35394,7.23,5190,4800,4665,92.87,100.58,92.49,75.53,136.42,296840,-11.0,Y,5.87,Y,N,N,N,Y,N
A061970,엘비세미콘,"[24.47, 16.71, 16.16]","[10.48, 23.87, 17.97]","[2.28, 3.71, 2.56]","[504, 428, 442]","[365, 316, 383]","[2.59, 2.58, 2.47, 2.47, 2.45]","[11100, 11150, 11150, 11300, 12000]","[281609, 225889, 229659, 302579, 2034743]","[105909, 78642, 127783, 96708, 180529]","[124648, 98396, 97817, 100500, 201857]","[0.0, 0.0, 0.0, 130.0, 372.0]","[10750, 10880, 10980, 11090, 11340]","[244667, 246801, 243899, 258279, 618067]","[10640, 10700, 10735, 10800, 10955]","[262429, 253679, 244601, 243350, 421141]","[10650, 10700, 10700, 10750, 10925]","[255318, 244800, 235659, 235659, 235659]","[0.0, 0.0, 0.0, 130.0, 372.0]",10650,255318,2.16,12300,12210,11650,98.78,100.41,97.56,82.93,128.86,258471,-385.0,N,19.11,N,N,Y,N,Y,N
A290650,엘앤씨바이오,"[13.11, 18.64, 19.34]","[25.79, 70.17, 59.2]","[3.24, 13.06, 9.77]","[90, 73, 132]","[85, 121, 156]","[7.63, 7.7, 8.03, 8.26]","[33600, 37000, 37400, 37800]","[58208, 547928, 380443, 172709]","[1800, 5543, 6375, 9120]","[11511, 14725, 11739, 14524]","[-199.0, -258.0, -153.0, -87.0]","[33290, 34030, 34860, 35740]","[56490, 156866, 221015, 244889]","[33440, 33805, 34155, 34575]","[61734, 110358, 140003, 149961]","[33450, 33550, 33550, 33550]","[61524, 61923, 61923, 61923]","[-199.0, -258.0, -153.0, -87.0]",33450,61524,8.26,37800,35740,34575,98.94,101.85,98.02,75.53,107.54,172709,-87.0,Y,17.03,N,Y,N,N,Y,N
A108320,LX세미콘,"[8.39, 14.44, 44.49]","[16.8, 13.05, 9.18]","[1.37, 1.78, 3.4]","[473, 942, 3696]","[385, 725, 2964]","[34.04, 34.22, 34.19, 34.21, 34.35]","[144700, 146900, 147600, 146400, 146900]","[346781, 180524, 220456, 199311, 174854]","[798, 3976, 4563, 5078, 1376]","[19654, 2822, 923, 1310, 7632]","[0.0, 0.0, 105.0, 271.0, -308.0]","[136460, 139960, 143240, 144920, 146500]","[318797, 291154, 293953, 243508, 225210]","[129000, 131410, 134050, 136680, 139390]","[245196, 235938, 245049, 251370, 255697]","[126600, 130300, 134600, 138500, 141850]","[237467, 195427, 213793, 214313, 214313]","[0.0, 0.0, 105.0, 271.0, -308.0]",123300,236771,34.85,143400,144940,144090,100.07,101.19,98.61,53.07,117.71,128308,144.0,Y,22.44,Y,N,N,N,N,Y
