CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_BUY,REMAIN_SELL,REMAIN_BUY_AMOUNT,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN_x,VOL_MEDIAN_x,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_DEAL,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A098120,마이크로컨텍솔,"[2.77, 3.32, 19.78]","[44.81, 45.82, 15.59]","[1.22, 1.49, 2.81]","[6, 17, 79]","[8, 11, 76]","[14.75, 14.83, 14.86, 14.78, 14.81]","[10700, 10650, 10500, 10450, 10400]","[112227, 45194, 141332, 75589, 91629]","[23142, 25102, 17068, 24507, 31660]","[15408, 14485, 30044, 27786, 23764]","[-56.0, 117.0, -55.0, -181.0, 32.0]","[11020, 10950, 10790, 10610, 10540]","[128651, 122300, 122727, 123861, 94048]","[10995, 10990, 10945, 10885, 10820]","[93235, 95556, 102001, 103574, 105042]","[11025, 11025, 11025, 10875, 10725]","[77339, 77339, 77339, 77339, 84594]","[-56.0, 117.0, -55.0, -181.0, 32.0]",11025,77339,14.67,11550,11100,10855,99.13,100.87,97.4,45.89,135.5,76991,6.0,Y,8.62,Y,N,N,N,N,Y
A095570,AJ네트웍스,"[15.18, -1.3, 23.75]","[5.06, -55.11, 3.3]","[0.73, 0.74, 0.67]","[156, 211, 451]","[421, -33, 767]","[4.94, 4.92, 4.94, 4.99, 4.95]","[6630, 6490, 6430, 6230, 6300]","[290863, 209403, 156350, 143976, 62093]","[25112, 13873, 24356, 27673, 13454]","[4022, 4117, 5870, 7177, 3351]","[75.0, -1.0, 56.0, 49.0, 30.0]","[6372, 6454, 6506, 6514, 6416]","[565588, 593713, 609216, 626600, 173055]","[6174, 6247, 6309, 6322, 6349]","[354788, 371310, 374731, 357232, 355185]","[6135, 6175, 6185, 6210, 6265]","[102746, 135922, 152923, 146736, 147028]","[75.0, -1.0, 56.0, 49.0, 30.0]",6135,102746,4.88,6460,6430,6472,100.46,100.77,99.54,74.3,113.31,20465,50.0,N,12.54,Y,N,N,N,N,Y
A282330,BGF리테일,"[26.46, 18.6, 19.61]","[19.35, 19.09, 17.03]","[4.7, 3.36, 3.11]","[1966, 1622, 1994]","[1514, 1227, 1476]","[30.89, 30.83, 30.79, 30.78, 30.72]","[179000, 180000, 179500, 178000, 178500]","[30057, 21900, 24951, 30815, 19630]","[3189, 2782, 3183, 3360, 1616]","[6616, 7844, 5879, 4797, 4214]","[136.0, -198.0, -233.0, 20.0, -309.0]","[175900, 177300, 178500, 179200, 179000]","[34377, 31876, 30091, 30125, 25478]","[177550, 177650, 177600, 177400, 177150]","[33972, 33269, 32500, 31868, 30577]","[179000, 179250, 179250, 178500, 178250]","[33269, 33269, 33212, 31679, 30736]","[136.0, -198.0, -233.0, 20.0, -309.0]",179000,33269,30.62,180500,179900,179550,98.61,100.55,97.23,75.62,106.93,40838,36.0,N,21.56,N,N,N,N,Y,Y
A000995,DB하이텍1우,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[1.07, 1.07, 1.07, 1.07, 1.07]","[99700, 101000, 101000, 99500, 100000]","[420, 277, 232, 388, 645]","[77, 89, 36, 85, 166]","[219, 758, 1002, 675, 757]","[-17.0, -8.0, -33.0, -3.0, 3.0]","[99160, 100040, 99940, 99960, 100240]","[687, 676, 401, 319, 394]","[96940, 97560, 98250, 98720, 99250]","[429, 448, 462, 483, 530]","[95900, 97600, 99000, 99450, 99600]","[295, 296, 297, 324, 363]","[-17.0, -8.0, -33.0, -3.0, 3.0]",95900,295,1.07,100000,99320,99640,102.5,102.5,99.6,90.0,143.0,337,-29.0,Y,24.6,Y,Y,N,N,Y,N
A000990,DB하이텍,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[24.73, 24.64, 24.7, 24.26, 23.92]","[72900, 72800, 70300, 70000, 69700]","[436675, 442360, 1133899, 867649, 698422]","[82084, 70487, 171766, 94915, 63019]","[25367, 34853, 39064, 21710, 29841]","[815.0, 1730.0, 6553.0, 3019.0, 970.0]","[74920, 74160, 72860, 71880, 71140]","[665789, 653774, 779948, 740185, 721349]","[75130, 75150, 74690, 74030, 73400]","[769711, 748188, 741927, 744041, 713574]","[75450, 75450, 75450, 74150, 73150]","[730432, 717294, 717294, 717294, 667574]","[815.0, 1730.0, 6553.0, 3019.0, 970.0]",75450,730432,23.05,72500,70360,71120,99.17,100.14,97.93,67.86,117.79,598026,-2023.0,Y,24.6,Y,N,N,Y,N,N
A000215,DL우,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[7.18, 7.18, 7.18, 7.18, 7.18]","[40250, 40450, 40450, 40450, 40000]","[5504, 3034, 3889, 2933, 2832]","[473, 674, 515, 407, 975]","[1564, 1472, 949, 738, 1726]","[-19.0, -31.0, -26.0, -7.0, -34.0]","[39500, 39760, 40030, 40210, 40320]","[2737, 2651, 2960, 3277, 3638]","[38690, 38970, 39250, 39530, 39745]","[2291, 2500, 2712, 2928, 3008]","[38850, 39125, 39300, 39500, 39775]","[1904, 2190, 2690, 2983, 2983]","[-19.0, -31.0, -26.0, -7.0, -34.0]",38850,1904,7.11,39800,39880,40045,100.25,100.38,99.87,82.79,158.79,933,-29.0,Y,16.7,N,Y,N,N,N,N
A001880,DL건설,"[23.04, 23.71, 19.95]","[3.17, 3.94, 3.6]","[0.66, 0.89, 0.66]","[1430, 2034, 2296]","[951, 1493, 1756]","[2.18, 2.18, 2.19, 2.2, 2.21]","[28750, 28550, 28450, 28250, 28000]","[28069, 32701, 14545, 12885, 23659]","[6697, 8651, 5822, 5725, 6111]","[4219, 1233, 3249, 3931, 2361]","[142.0, -5.0, 25.0, 56.0, -40.0]","[29230, 29030, 28830, 28640, 28400]","[20834, 22412, 21736, 20654, 22438]","[29510, 29395, 29260, 29105, 28940]","[22511, 23306, 23217, 21977, 21015]","[29600, 29500, 29325, 29200, 28975]","[23372, 23404, 23404, 20097, 20097]","[142.0, -5.0, 25.0, 56.0, -40.0]",29600,23372,2.22,27400,27470,28055,101.82,102.19,99.09,88.87,140.51,24043,13.0,N,22.23,Y,Y,N,Y,Y,Y
A000210,DL,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[12.02, 11.99, 11.96, 11.92, 11.88]","[61600, 61400, 61200, 60200, 59700]","[50532, 34721, 52425, 32745, 38267]","[7443, 9311, 6491, 4267, 8804]","[11066, 6780, 2285, 1121, 2722]","[-69.0, 231.0, 273.0, 175.0, 125.0]","[60760, 61040, 61400, 61200, 60820]","[64276, 55290, 53446, 44954, 41853]","[60130, 60290, 60410, 60500, 60610]","[66420, 66097, 67592, 64768, 55914]","[59900, 60000, 60600, 60700, 60700]","[61461, 61461, 61461, 57851, 53184]","[-69.0, 231.0, 273.0, 175.0, 125.0]",59900,61461,11.6,59700,59460,60330,99.33,100.34,98.66,90.28,179.23,40340,-69.0,Y,16.7,N,N,N,Y,N,N
A007700,F&F홀딩스,"[25.13, 16.59, 153.88]","[15.65, 15.15, 0.38]","[3.56, 2.35, 0.67]","[1507, -44, 2231]","[1099, 854, 20180]","[0.71, 0.71, 0.76, 0.75, 0.78]","[27600, 28150, 28000, 28500, 28000]","[31588, 60837, 21634, 58098, 30087]","[3280, 2056, 6294, 3529, 3419]","[6297, 8539, 4278, 4857, 2816]","[-45.0, -56.0, -7.0, -41.0, -6.0]","[27350, 27600, 27790, 28020, 28050]","[31755, 39159, 37870, 43546, 40590]","[27035, 27220, 27390, 27605, 27640]","[40942, 43118, 41921, 45208, 39050]","[27025, 27200, 27475, 27625, 27725]","[32649, 32759, 30877, 38414, 30947]","[-45.0, -56.0, -7.0, -41.0, -6.0]",27025,32649,0.77,28350,28100,28060,99.29,101.06,99.12,84.13,636.68,23876,-79.0,N,65.2,N,N,N,N,N,N
A078935,GS우,"[6.26, -2.81, 15.54]","[8.98, -14.65, 2.56]","[0.55, 0.43, 0.36]","[20331, 9206, 26403]","[6689, -1878, 16147]","[9.68, 9.68, 9.68, 9.68, 9.7]","[36100, 36150, 36100, 35800, 36000]","[3967, 3267, 3227, 5296, 2850]","[1753, 1866, 1697, 485, 1259]","[1860, 1656, 3723, 487, 1346]","[-2.0, 2.0, -5.0, 2.0, -2.0]","[35510, 35720, 35920, 36000, 36030]","[4983, 4814, 4931, 4991, 3723]","[35195, 35345, 35460, 35555, 35690]","[3996, 4069, 4148, 4429, 4456]","[35100, 35200, 35350, 35600, 35825]","[3306, 3617, 3617, 4040, 4040]","[-2.0, 2.0, -5.0, 2.0, -2.0]",35100,3306,9.89,36150,36090,36045,100.0,100.83,98.89,89.9,118.26,3314,4.0,N,6.33,N,Y,N,N,Y,Y
