CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_BUY,REMAIN_SELL,REMAIN_BUY_AMOUNT,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN_x,VOL_MEDIAN_x,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_DEAL,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A098120,마이크로컨텍솔,"[2.77, 3.32, 19.78]","[44.81, 45.82, 15.59]","[1.22, 1.49, 2.81]","[6, 17, 79]","[8, 11, 76]","[15.04, 14.75, 14.83, 14.86, 14.78]","[10750, 10700, 10650, 10500, 10450]","[239453, 112227, 45194, 141332, 75589]","[33207, 23142, 25102, 17068, 24507]","[17666, 15408, 14485, 30044, 27786]","[81.0, -56.0, 117.0, -55.0, -181.0]","[11100, 11020, 10950, 10790, 10610]","[115754, 128651, 122300, 122727, 123861]","[10995, 10995, 10990, 10945, 10885]","[86576, 93235, 95556, 102001, 103574]","[11025, 11025, 11025, 11025, 10875]","[74141, 77339, 77339, 77339, 77339]","[81.0, -56.0, 117.0, -55.0, -181.0]",11025,74141,14.94,10950,10590,10805,94.52,100.46,94.06,48.4,142.92,111286,-42.0,Y,8.62,Y,N,N,Y,Y,N
A095570,AJ네트웍스,"[15.18, -1.3, 23.75]","[5.06, -55.11, 3.3]","[0.73, 0.74, 0.67]","[156, 211, 451]","[421, -33, 767]","[4.75, 4.94, 4.92, 4.94, 4.99]","[6790, 6630, 6490, 6430, 6230]","[2324021, 290863, 209403, 156350, 143976]","[10336, 25112, 13873, 24356, 27673]","[15728, 4022, 4117, 5870, 7177]","[-8.0, 75.0, -1.0, 56.0, 49.0]","[6282, 6372, 6454, 6506, 6514]","[536038, 565588, 593713, 609216, 626600]","[6091, 6174, 6247, 6309, 6322]","[344606, 354788, 371310, 374731, 357232]","[6090, 6135, 6175, 6185, 6210]","[102746, 102746, 135922, 152923, 146736]","[-8.0, 75.0, -1.0, 56.0, 49.0]",6090,102746,4.93,6450,6380,6376,98.6,101.4,96.59,74.42,113.49,108355,31.0,N,12.54,Y,N,N,N,Y,Y
A282330,BGF리테일,"[26.46, 18.6, 19.61]","[19.35, 19.09, 17.03]","[4.7, 3.36, 3.11]","[1966, 1622, 1994]","[1514, 1227, 1476]","[30.93, 30.89, 30.83, 30.79, 30.78]","[179500, 179000, 180000, 179500, 178000]","[42841, 30057, 21900, 24951, 30815]","[1623, 3189, 2782, 3183, 3360]","[8176, 6616, 7844, 5879, 4797]","[-907.0, 136.0, -198.0, -233.0, 20.0]","[175300, 175900, 177300, 178500, 179200]","[35670, 34377, 31876, 30091, 30125]","[177450, 177550, 177650, 177600, 177400]","[34499, 33972, 33269, 32500, 31868]","[178500, 179000, 179250, 179250, 178500]","[34154, 33269, 33269, 33212, 31679]","[-907.0, 136.0, -198.0, -233.0, 20.0]",178500,34154,30.69,182000,179600,177750,96.98,100.0,96.98,75.0,106.04,29036,-771.0,N,21.56,N,N,N,N,N,N
A000995,DB하이텍1우,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[1.07, 1.07, 1.07, 1.07, 1.07]","[98600, 99700, 101000, 101000, 99500]","[274, 420, 277, 232, 388]","[147, 77, 89, 36, 85]","[655, 219, 758, 1002, 675]","[-7.0, -17.0, -8.0, -33.0, -3.0]","[98260, 99160, 100040, 99940, 99960]","[666, 687, 676, 401, 319]","[96470, 96940, 97560, 98250, 98720]","[401, 429, 448, 462, 483]","[95100, 95900, 97600, 99000, 99450]","[231, 295, 296, 297, 324]","[-7.0, -17.0, -8.0, -33.0, -3.0]",95100,231,1.07,98700,100040,99600,101.32,101.32,99.9,91.19,144.88,301,2.0,Y,24.6,Y,Y,N,N,Y,Y
A000990,DB하이텍,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[24.65, 24.73, 24.64, 24.7, 24.26]","[73400, 72900, 72800, 70300, 70000]","[792324, 436675, 442360, 1133899, 867649]","[61209, 82084, 70487, 171766, 94915]","[32052, 25367, 34853, 39064, 21710]","[-627.0, 815.0, 1730.0, 6553.0, 3019.0]","[75660, 74920, 74160, 72860, 71880]","[704692, 665789, 653774, 779948, 740185]","[75090, 75130, 75150, 74690, 74030]","[876304, 769711, 748188, 741927, 744041]","[75450, 75450, 75450, 75450, 74150]","[826354, 730432, 717294, 717294, 717294]","[-627.0, 815.0, 1730.0, 6553.0, 3019.0]",75450,826354,23.63,68600,70280,72600,100.87,102.48,100.0,71.72,124.49,592807,4547.0,Y,24.6,Y,N,N,Y,N,Y
A000215,DL우,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[7.18, 7.18, 7.18, 7.18, 7.18]","[39450, 40250, 40450, 40450, 40450]","[1028, 5504, 3034, 3889, 2933]","[770, 473, 674, 515, 407]","[2564, 1564, 1472, 949, 738]","[-66.0, -19.0, -31.0, -26.0, -7.0]","[39170, 39500, 39760, 40030, 40210]","[2378, 2737, 2651, 2960, 3277]","[38420, 38690, 38970, 39250, 39530]","[1880, 2291, 2500, 2712, 2928]","[38225, 38850, 39125, 39300, 39500]","[1583, 1904, 2190, 2690, 2983]","[-66.0, -19.0, -31.0, -26.0, -7.0]",38225,1583,7.12,39950,40260,39880,101.88,101.88,99.62,82.48,158.2,1259,8.0,Y,16.7,N,Y,N,N,N,Y
A001880,DL건설,"[23.04, 23.71, 19.95]","[3.17, 3.94, 3.6]","[0.66, 0.89, 0.66]","[1430, 2034, 2296]","[951, 1493, 1756]","[2.18, 2.18, 2.18, 2.19, 2.2]","[29200, 28750, 28550, 28450, 28250]","[14727, 28069, 32701, 14545, 12885]","[5900, 6697, 8651, 5822, 5725]","[4290, 4219, 1233, 3249, 3931]","[43.0, 142.0, -5.0, 25.0, 56.0]","[29480, 29230, 29030, 28830, 28640]","[19566, 20834, 22412, 21736, 20654]","[29605, 29510, 29395, 29260, 29105]","[23935, 22511, 23306, 23217, 21977]","[29675, 29600, 29500, 29325, 29200]","[23372, 23372, 23404, 23404, 20097]","[43.0, 142.0, -5.0, 25.0, 56.0]",29675,23372,2.23,27450,28140,28685,101.82,101.82,99.82,88.71,140.26,18615,70.0,N,22.23,Y,Y,N,Y,N,Y
A000210,DL,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[11.99, 12.02, 11.99, 11.96, 11.92]","[61600, 61600, 61400, 61200, 60200]","[53791, 50532, 34721, 52425, 32745]","[5519, 7443, 9311, 6491, 4267]","[7823, 11066, 6780, 2285, 1121]","[-127.0, -69.0, 231.0, 273.0, 175.0]","[60400, 60760, 61040, 61400, 61200]","[69964, 64276, 55290, 53446, 44954]","[59940, 60130, 60290, 60410, 60500]","[64251, 66420, 66097, 67592, 64768]","[59800, 59900, 60000, 60600, 60700]","[61461, 61461, 61461, 61461, 57851]","[-127.0, -69.0, 231.0, 273.0, 175.0]",59800,61461,11.79,59600,60420,60590,99.83,101.34,99.33,90.44,179.53,44068,81.0,Y,16.7,N,N,N,Y,N,Y
A007700,F&F홀딩스,"[25.13, 16.59, 153.88]","[15.65, 15.15, 0.38]","[3.56, 2.35, 0.67]","[1507, -44, 2231]","[1099, 854, 20180]","[0.71, 0.71, 0.71, 0.76, 0.75]","[27850, 27600, 28150, 28000, 28500]","[44905, 31588, 60837, 21634, 58098]","[4516, 3280, 2056, 6294, 3529]","[7843, 6297, 8539, 4278, 4857]","[-71.0, -45.0, -56.0, -7.0, -41.0]","[27230, 27350, 27600, 27790, 28020]","[37488, 31755, 39159, 37870, 43546]","[26920, 27035, 27220, 27390, 27605]","[41787, 40942, 43118, 41921, 45208]","[26950, 27025, 27200, 27475, 27625]","[36499, 32649, 32759, 30877, 38414]","[-71.0, -45.0, -56.0, -7.0, -41.0]",26950,36499,0.75,28250,28180,27765,98.58,101.06,97.88,84.42,638.94,22594,-25.0,N,65.2,N,N,N,N,N,N
A078935,GS우,"[6.26, -2.81, 15.54]","[8.98, -14.65, 2.56]","[0.55, 0.43, 0.36]","[20331, 9206, 26403]","[6689, -1878, 16147]","[9.67, 9.68, 9.68, 9.68, 9.68]","[35850, 36100, 36150, 36100, 35800]","[9190, 3967, 3267, 3227, 5296]","[1986, 1753, 1866, 1697, 485]","[1431, 1860, 1656, 3723, 487]","[-31.0, -2.0, 2.0, -5.0, 2.0]","[35350, 35510, 35720, 35920, 36000]","[5188, 4983, 4814, 4931, 4991]","[35045, 35195, 35345, 35460, 35555]","[3710, 3996, 4069, 4148, 4429]","[35025, 35100, 35200, 35350, 35600]","[2615, 3306, 3617, 3617, 4040]","[-31.0, -2.0, 2.0, -5.0, 2.0]",35025,2615,9.71,36200,36050,35780,100.28,102.07,99.45,89.78,118.09,31050,-12.0,N,6.33,N,Y,N,N,Y,N
