CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_BUY,REMAIN_SELL,REMAIN_BUY_AMOUNT,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN_x,VOL_MEDIAN_x,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_DEAL,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A098120,마이크로컨텍솔,"[2.77, 3.32, 19.78]","[44.81, 45.82, 15.59]","[1.22, 1.49, 2.81]","[6, 17, 79]","[8, 11, 76]","[14.83, 14.86, 14.78, 14.81, 14.94]","[10650, 10500, 10450, 10400, 10950]","[45194, 141332, 75589, 91629, 111286]","[25102, 17068, 24507, 31660, 8855]","[14485, 30044, 27786, 23764, 13512]","[117.0, -55.0, -181.0, 32.0, -42.0]","[10950, 10790, 10610, 10540, 10590]","[122300, 122727, 123861, 94048, 93844]","[10990, 10945, 10885, 10820, 10805]","[95556, 102001, 103574, 105042, 111309]","[11025, 11025, 10875, 10725, 10725]","[77339, 77339, 77339, 84594, 101723]","[117.0, -55.0, -181.0, 32.0, -42.0]",11025,77339,14.47,11600,11340,10940,98.71,100.86,96.12,45.69,134.91,64301,-76.0,Y,8.62,Y,N,N,N,N,N
A095570,AJ네트웍스,"[15.18, -1.3, 23.75]","[5.06, -55.11, 3.3]","[0.73, 0.74, 0.67]","[156, 211, 451]","[421, -33, 767]","[4.92, 4.94, 4.99, 4.95, 4.93]","[6490, 6430, 6230, 6300, 6450]","[209403, 156350, 143976, 62093, 108355]","[13873, 24356, 27673, 13454, 9188]","[4117, 5870, 7177, 3351, 9690]","[-1.0, 56.0, 49.0, 30.0, 31.0]","[6454, 6506, 6514, 6416, 6380]","[593713, 609216, 626600, 173055, 136302]","[6247, 6309, 6322, 6349, 6376]","[371310, 374731, 357232, 355185, 351100]","[6175, 6185, 6210, 6265, 6365]","[135922, 152923, 146736, 147028, 126457]","[-1.0, 56.0, 49.0, 30.0, 31.0]",6175,135922,4.87,6460,6462,6439,99.07,100.15,98.45,74.3,113.31,41318,-2.0,N,12.54,Y,N,N,N,N,N
A282330,BGF리테일,"[26.46, 18.6, 19.61]","[19.35, 19.09, 17.03]","[4.7, 3.36, 3.11]","[1966, 1622, 1994]","[1514, 1227, 1476]","[30.83, 30.79, 30.78, 30.72, 30.69]","[180000, 179500, 178000, 178500, 182000]","[21900, 24951, 30815, 19630, 29036]","[2782, 3183, 3360, 1616, 1053]","[7844, 5879, 4797, 4214, 9305]","[-198.0, -233.0, 20.0, -309.0, -771.0]","[177300, 178500, 179200, 179000, 179600]","[31876, 30091, 30125, 25478, 25281]","[177650, 177600, 177400, 177150, 177750]","[33269, 32500, 31868, 30577, 29831]","[179250, 179250, 178500, 178250, 178750]","[33269, 33212, 31679, 30736, 30362]","[-198.0, -233.0, 20.0, -309.0, -771.0]",179250,33269,30.68,179500,180100,179550,100.56,100.84,98.33,76.04,107.52,22906,-34.0,N,21.56,N,N,N,N,N,N
A000995,DB하이텍1우,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[1.07, 1.07, 1.07, 1.07, 1.07]","[101000, 101000, 99500, 100000, 98700]","[277, 232, 388, 645, 301]","[89, 36, 85, 166, 270]","[758, 1002, 675, 757, 668]","[-8.0, -33.0, -3.0, 3.0, 2.0]","[100040, 99940, 99960, 100240, 100040]","[676, 401, 319, 394, 371]","[97560, 98250, 98720, 99250, 99600]","[448, 462, 483, 530, 529]","[97600, 99000, 99450, 99600, 99600]","[296, 297, 324, 363, 363]","[-8.0, -33.0, -3.0, 3.0, 2.0]",97600,296,1.07,99800,99280,99760,100.2,100.2,98.9,90.18,143.29,338,2.0,Y,24.6,Y,Y,N,N,Y,Y
A000990,DB하이텍,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[24.64, 24.7, 24.26, 23.92, 23.63]","[72800, 70300, 70000, 69700, 68600]","[442360, 1133899, 867649, 698422, 592807]","[70487, 171766, 94915, 63019, 104378]","[34853, 39064, 21710, 29841, 16191]","[1730.0, 6553.0, 3019.0, 970.0, 4547.0]","[74160, 72860, 71880, 71140, 70280]","[653774, 779948, 740185, 721349, 753277]","[75150, 74690, 74030, 73400, 72600]","[748188, 741927, 744041, 713574, 710074]","[75450, 75450, 74150, 73150, 72850]","[717294, 717294, 717294, 667574, 650073]","[1730.0, 6553.0, 3019.0, 970.0, 4547.0]",75450,717294,23.17,70800,70580,70860,101.27,101.41,99.58,69.49,120.62,558444,2359.0,Y,24.6,Y,N,N,Y,N,Y
A000215,DL우,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[7.18, 7.18, 7.18, 7.18, 7.12]","[40450, 40450, 40450, 40000, 39950]","[3034, 3889, 2933, 2832, 1259]","[674, 515, 407, 975, 735]","[1472, 949, 738, 1726, 789]","[-31.0, -26.0, -7.0, -34.0, 8.0]","[39760, 40030, 40210, 40320, 40260]","[2651, 2960, 3277, 3638, 2789]","[38970, 39250, 39530, 39745, 39880]","[2500, 2712, 2928, 3008, 2763]","[39125, 39300, 39500, 39775, 39975]","[2190, 2690, 2983, 2983, 2883]","[-31.0, -26.0, -7.0, -34.0, 8.0]",39125,2190,7.11,39950,39870,40095,100.13,100.13,98.62,82.48,158.2,880,-17.0,Y,16.7,N,N,N,N,N,N
A001880,DL건설,"[23.04, 23.71, 19.95]","[3.17, 3.94, 3.6]","[0.66, 0.89, 0.66]","[1430, 2034, 2296]","[951, 1493, 1756]","[2.18, 2.19, 2.2, 2.21, 2.23]","[28550, 28450, 28250, 28000, 27450]","[32701, 14545, 12885, 23659, 18615]","[8651, 5822, 5725, 6111, 13816]","[1233, 3249, 3931, 2361, 2637]","[-5.0, 25.0, 56.0, -40.0, 70.0]","[29030, 28830, 28640, 28400, 28140]","[22412, 21736, 20654, 22438, 20538]","[29395, 29260, 29105, 28940, 28685]","[23306, 23217, 21977, 21015, 20700]","[29500, 29325, 29200, 28975, 28650]","[23404, 23404, 20097, 20097, 18475]","[-5.0, 25.0, 56.0, -40.0, 70.0]",29500,23404,2.24,27100,27290,27845,100.92,101.48,99.26,89.85,142.07,41658,177.0,N,22.23,Y,Y,N,Y,Y,Y
A000210,DL,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[11.99, 11.96, 11.92, 11.88, 11.79]","[61400, 61200, 60200, 59700, 59600]","[34721, 52425, 32745, 38267, 44068]","[9311, 6491, 4267, 8804, 7403]","[6780, 2285, 1121, 2722, 4493]","[231.0, 273.0, 175.0, 125.0, 81.0]","[61040, 61400, 61200, 60820, 60420]","[55290, 53446, 44954, 41853, 40546]","[60290, 60410, 60500, 60610, 60590]","[66097, 67592, 64768, 55914, 52431]","[60000, 60600, 60700, 60700, 60700]","[61461, 61461, 57851, 53184, 51624]","[231.0, 273.0, 175.0, 125.0, 81.0]",60000,61461,11.6,58900,59300,60060,100.85,100.85,99.66,91.51,181.66,33912,309.0,Y,16.7,N,N,N,Y,N,Y
A007700,F&F홀딩스,"[25.13, 16.59, 153.88]","[15.65, 15.15, 0.38]","[3.56, 2.35, 0.67]","[1507, -44, 2231]","[1099, 854, 20180]","[0.71, 0.76, 0.75, 0.78, 0.75]","[28150, 28000, 28500, 28000, 28250]","[60837, 21634, 58098, 30087, 22594]","[2056, 6294, 3529, 3419, 1312]","[8539, 4278, 4857, 2816, 4290]","[-56.0, -7.0, -41.0, -6.0, -25.0]","[27600, 27790, 28020, 28050, 28180]","[39159, 37870, 43546, 40590, 38784]","[27220, 27390, 27605, 27640, 27765]","[43118, 41921, 45208, 39050, 35291]","[27200, 27475, 27625, 27725, 27925]","[32759, 30877, 38414, 30947, 30110]","[-56.0, -7.0, -41.0, -6.0, -25.0]",27200,32759,0.79,27850,28070,28060,100.9,101.97,100.0,85.64,648.11,20612,27.0,N,65.2,N,N,N,N,N,Y
A078935,GS우,"[6.26, -2.81, 15.54]","[8.98, -14.65, 2.56]","[0.55, 0.43, 0.36]","[20331, 9206, 26403]","[6689, -1878, 16147]","[9.68, 9.68, 9.68, 9.7, 9.71]","[36150, 36100, 35800, 36000, 36200]","[3267, 3227, 5296, 2850, 31050]","[1866, 1697, 485, 1259, 1429]","[1656, 3723, 487, 1346, 6763]","[2.0, -5.0, 2.0, -2.0, -12.0]","[35720, 35920, 36000, 36030, 36050]","[4814, 4931, 4991, 3723, 9149]","[35345, 35460, 35555, 35690, 35780]","[4069, 4148, 4429, 4456, 7066]","[35200, 35350, 35600, 35825, 35925]","[3617, 3617, 4040, 4040, 4040]","[2.0, -5.0, 2.0, -2.0, -12.0]",35200,3617,9.9,36000,36090,36060,99.44,100.42,98.61,90.28,118.75,3047,2.0,N,6.33,N,Y,N,N,N,Y
