CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_BUY,REMAIN_SELL,REMAIN_BUY_AMOUNT,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN_x,VOL_MEDIAN_x,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_DEAL,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A098120,마이크로컨텍솔,"[2.77, 3.32, 19.78]","[44.81, 45.82, 15.59]","[1.22, 1.49, 2.81]","[6, 17, 79]","[8, 11, 76]","[14.89, 15.05, 14.67, 14.47, 14.48]","[11400, 11200, 11550, 11600, 11700]","[85558, 129087, 76991, 64301, 128863]","[29494, 11934, 24890, 11254, 9420]","[24357, 22202, 25327, 17799, 11424]","[-44.0, -126.0, 6.0, -76.0, -55.0]","[10880, 10700, 11100, 11340, 11490]","[99208, 110558, 99510, 94070, 97286]","[10835, 10825, 10855, 10940, 11040]","[111092, 116654, 111703, 94112, 95757]","[10725, 10725, 10725, 10825, 11075]","[102498, 113022, 102498, 88997, 88997]","[-44.0, -126.0, 6.0, -76.0, -55.0]",10725,102498,14.44,12350,12000,11670,98.38,100.81,96.76,42.91,126.72,82512,-62.0,Y,8.62,Y,N,N,N,N,N
A095570,AJ네트웍스,"[15.18, -1.3, 23.75]","[5.06, -55.11, 3.3]","[0.73, 0.74, 0.67]","[156, 211, 451]","[421, -33, 767]","[4.9, 4.92, 4.88, 4.87, 4.87]","[6480, 6460, 6460, 6460, 6430]","[77991, 47337, 20465, 41318, 29435]","[10413, 2484, 21280, 12978, 22167]","[5174, 6101, 1862, 2563, 4751]","[10.0, -7.0, 50.0, -2.0, 100.0]","[6384, 6374, 6430, 6462, 6458]","[88208, 103872, 63389, 59271, 43462]","[6445, 6414, 6472, 6439, 6419]","[348736, 348814, 345053, 116192, 89895]","[6455, 6440, 6460, 6460, 6455]","[126519, 126519, 126519, 93235, 70189]","[10.0, -7.0, 50.0, -2.0, 100.0]",6455,126519,4.9,6620,6542,6502,99.7,100.6,97.73,72.51,110.57,39707,0.0,N,12.54,Y,N,N,N,N,N
A282330,BGF리테일,"[26.46, 18.6, 19.61]","[19.35, 19.09, 17.03]","[4.7, 3.36, 3.11]","[1966, 1622, 1994]","[1514, 1227, 1476]","[30.59, 30.64, 30.62, 30.68, 30.72]","[180000, 178500, 180500, 179500, 184500]","[35352, 31765, 40838, 22906, 54982]","[2548, 3461, 6734, 2799, 1959]","[4076, 3273, 6553, 2677, 6235]","[-288.0, 74.0, 36.0, -34.0, -253.0]","[179400, 179300, 179900, 180100, 180600]","[29337, 27255, 31341, 31989, 37182]","[178950, 178300, 179550, 179550, 180100]","[29714, 29566, 30734, 28739, 31233]","[179250, 178750, 179500, 179500, 179750]","[30362, 30362, 30449, 29563, 29936]","[-288.0, 74.0, 36.0, -34.0, -253.0]",179250,30362,30.8,179500,181500,180800,98.89,101.11,98.89,76.04,107.52,21676,-137.0,N,21.56,N,N,N,N,N,N
A000995,DB하이텍1우,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[1.07, 1.07, 1.07, 1.07, 1.07]","[99600, 98300, 100000, 99800, 100000]","[241, 273, 337, 338, 479]","[146, 119, 172, 241, 903]","[321, 109, 1116, 345, 736]","[-5.0, 1.0, -29.0, 2.0, 73.0]","[99220, 99500, 99320, 99280, 99540]","[370, 370, 361, 300, 336]","[99580, 99770, 99640, 99760, 99790]","[386, 523, 341, 347, 353]","[99550, 99600, 99650, 99750, 99900]","[289, 347, 289, 319, 319]","[-5.0, 1.0, -29.0, 2.0, 73.0]",99550,289,1.07,100000,100700,99990,101.5,101.5,99.8,90.0,143.0,910,16.0,Y,24.6,Y,Y,N,N,Y,Y
A000990,DB하이텍,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[23.1, 23.4, 23.05, 23.17, 23.0]","[71700, 69300, 72500, 70800, 70900]","[854811, 964218, 598026, 558444, 353401]","[33372, 97375, 40755, 101079, 62808]","[100299, 20932, 83840, 38808, 41805]","[-2932.0, 3287.0, -2023.0, 2359.0, 150.0]","[69860, 69580, 70360, 70580, 71040]","[801624, 858934, 747476, 720840, 671923]","[71360, 71870, 71120, 70860, 70660]","[792174, 756674, 744356, 721986, 713562]","[71000, 71550, 71000, 70550, 70550]","[826336, 752601, 752601, 660540, 660540]","[-2932.0, 3287.0, -2023.0, 2359.0, 150.0]",71000,826336,23.37,71400,72100,71340,101.4,101.54,99.44,68.91,119.61,516563,1252.0,Y,24.6,Y,N,N,N,N,Y
A000215,DL우,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[7.11, 7.11, 7.11, 7.11, 7.1]","[39850, 39800, 39800, 39950, 39950]","[558, 662, 933, 880, 581]","[100, 95, 697, 442, 429]","[1163, 1157, 1077, 1054, 1381]","[-28.0, -32.0, -29.0, -17.0, -21.0]","[40010, 40130, 39880, 39870, 39870]","[1649, 2315, 1249, 858, 722]","[40020, 39945, 40045, 40095, 40065]","[2304, 2483, 2263, 2248, 1756]","[39975, 39975, 39975, 39975, 39950]","[2089, 2590, 2046, 2046, 1096]","[-28.0, -32.0, -29.0, -17.0, -21.0]",39975,2089,7.06,40350,40200,40035,100.25,100.25,98.88,81.66,156.63,1759,-117.0,Y,16.7,N,N,N,N,N,N
A001880,DL건설,"[23.04, 23.71, 19.95]","[3.17, 3.94, 3.6]","[0.66, 0.89, 0.66]","[1430, 2034, 2296]","[951, 1493, 1756]","[2.22, 2.23, 2.22, 2.24, 2.24]","[27550, 26950, 27400, 27100, 27350]","[11706, 17813, 24043, 41658, 39570]","[5368, 15725, 4045, 13749, 6881]","[1038, 1225, 1241, 367, 1942]","[45.0, 189.0, 13.0, 177.0, -10.0]","[27640, 27820, 27470, 27290, 27270]","[17025, 17594, 19250, 22845, 27001]","[28235, 28425, 28055, 27845, 27705]","[19384, 20007, 19963, 22651, 23790]","[28350, 28500, 28125, 27775, 27500]","[18091, 18149, 18333, 21285, 21285]","[45.0, 189.0, 13.0, 177.0, -10.0]",28350,18091,2.26,27050,27130,27210,99.63,100.0,98.89,90.02,142.33,20707,183.0,N,22.23,Y,N,N,Y,Y,Y
A000210,DL,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[11.61, 11.78, 11.6, 11.6, 11.55]","[59200, 59100, 59700, 58900, 58800]","[35303, 45792, 40340, 33912, 22317]","[8515, 7645, 6174, 12320, 12061]","[5829, 3657, 5010, 2809, 1985]","[66.0, 55.0, -69.0, 309.0, 392.0]","[59560, 59960, 59460, 59300, 59140]","[39294, 42731, 40824, 39943, 35583]","[60480, 60500, 60330, 60060, 59780]","[46379, 49031, 42897, 40911, 38070]","[60700, 60700, 59950, 59700, 59650]","[44973, 48262, 42234, 39412, 36917]","[66.0, 55.0, -69.0, 309.0, 392.0]",60700,44973,11.78,60200,59400,59350,98.67,100.66,98.01,89.53,177.74,41214,-7.0,Y,16.7,N,N,N,Y,N,N
A007700,F&F홀딩스,"[25.13, 16.59, 153.88]","[15.65, 15.15, 0.38]","[3.56, 2.35, 0.67]","[1507, -44, 2231]","[1099, 854, 20180]","[0.74, 0.76, 0.77, 0.79, 0.77]","[28050, 27850, 28350, 27850, 28350]","[22653, 23422, 23876, 20612, 24162]","[2839, 1357, 2629, 3344, 2626]","[3695, 1811, 7919, 1852, 8950]","[-21.0, -4.0, -79.0, 27.0, -77.0]","[28130, 28120, 28100, 28070, 28090]","[31474, 31301, 24630, 22705, 23002]","[27960, 27860, 28060, 28060, 28135]","[34695, 35240, 34103, 31666, 30903]","[28000, 27925, 28025, 28025, 28100]","[30110, 30110, 27074, 23705, 23705]","[-21.0, -4.0, -79.0, 27.0, -77.0]",28000,30110,0.82,28300,28490,28280,100.0,101.24,99.12,84.28,637.81,21668,102.0,N,65.2,N,N,N,N,N,Y
A078935,GS우,"[6.26, -2.81, 15.54]","[8.98, -14.65, 2.56]","[0.55, 0.43, 0.36]","[20331, 9206, 26403]","[6689, -1878, 16147]","[9.87, 9.77, 9.89, 9.9, 9.91]","[36200, 35900, 36150, 36000, 36150]","[2696, 14130, 3314, 3047, 4030]","[1363, 814, 2326, 1952, 1015]","[2208, 1470, 1459, 1034, 2602]","[-18.0, -13.0, 4.0, 2.0, -36.0]","[36020, 36000, 36090, 36090, 36080]","[11240, 11347, 10843, 10873, 5444]","[35970, 35860, 36045, 36060, 36065]","[8086, 8081, 7917, 7303, 7309]","[36050, 35950, 36100, 36100, 36125]","[4485, 4485, 3641, 3291, 3291]","[-18.0, -13.0, 4.0, 2.0, -36.0]",36050,4485,10.0,36200,36260,36175,100.55,100.55,99.31,89.78,118.09,1628,-71.0,N,6.33,N,N,N,N,N,N
