코드,종목,최근 외국인 지분율,최근 종가,최근10일 종가 중간값,최근5일 종가 평균,최근10일 종가 평균,마지막 거래량,최근10일 거래량 중간값,자기자본이익률(ROE),ROE 평균,주가수익비율,주가순자산비율,영업이익,외국인지분율,종가,거래량,매수잔액
A131290,티에스이,8.9,61500,58150,59960,58690,45205,44879,"[10.33, 15.12, 20.55]",15.33,"[9.44, 25.52, 18.23]","[0.86, 3.41, 3.27]","[207, 427, 546]","[8.75, 8.79, 8.83, 8.84, 8.9]","[58500, 59000, 59500, 61300, 61500]","[16291, 13925, 19537, 47955, 45205]","[0.0, 0.0, 0.0, 0.0, 8.0]"
A011070,LG이노텍,25.85,403000,352000,404800,381900,198575,448834,"[4.73, 10.2, 30.94]",15.29,"[32.39, 18.29, 9.7]","[1.5, 1.78, 2.6]","[4764, 6810, 12642]","[24.57, 25.32, 25.55, 25.63, 25.85]","[405000, 411500, 398500, 406000, 403000]","[674862, 356758, 459453, 287183, 198575]","[0.0, 0.0, 0.0, 0.0, 2953.0]"
