CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_BUY,REMAIN_SELL,REMAIN_BUY_AMOUNT,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN_x,VOL_MEDIAN_x,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_DEAL,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A098120,마이크로컨텍솔,"[2.77, 3.32, 19.78]","[44.81, 45.82, 15.59]","[1.22, 1.49, 2.81]","[6, 17, 79]","[8, 11, 76]","[15.04, 15.04, 14.75, 14.83, 14.86]","[11350, 10750, 10700, 10650, 10500]","[70910, 239453, 112227, 45194, 141332]","[35000, 33207, 23142, 25102, 17068]","[18403, 17666, 15408, 14485, 30044]","[-17.0, 81.0, -56.0, 117.0, -55.0]","[11160, 11100, 11020, 10950, 10790]","[83237, 115754, 128651, 122300, 122727]","[10985, 10995, 10995, 10990, 10945]","[68561, 86576, 93235, 95556, 102001]","[11025, 11025, 11025, 11025, 11025]","[66007, 74141, 77339, 77339, 77339]","[-17.0, 81.0, -56.0, 117.0, -55.0]",11025,66007,14.81,10400,10540,10820,99.52,100.96,97.6,50.96,150.48,91629,32.0,Y,8.62,Y,N,N,Y,Y,Y
A095570,AJ네트웍스,"[15.18, -1.3, 23.75]","[5.06, -55.11, 3.3]","[0.73, 0.74, 0.67]","[156, 211, 451]","[421, -33, 767]","[4.76, 4.75, 4.94, 4.92, 4.94]","[6190, 6790, 6630, 6490, 6430]","[57249, 2324021, 290863, 209403, 156350]","[3113, 10336, 25112, 13873, 24356]","[15982, 15728, 4022, 4117, 5870]","[-3.0, -8.0, 75.0, -1.0, 56.0]","[6130, 6282, 6372, 6454, 6506]","[87853, 536038, 565588, 593713, 609216]","[5963, 6091, 6174, 6247, 6309]","[132675, 344606, 354788, 371310, 374731]","[6055, 6090, 6135, 6175, 6185]","[102746, 102746, 102746, 135922, 152923]","[-3.0, -8.0, 75.0, -1.0, 56.0]",6055,102746,4.95,6300,6416,6349,98.89,101.9,98.25,76.19,116.19,62093,30.0,N,12.54,Y,N,N,N,N,Y
A282330,BGF리테일,"[26.46, 18.6, 19.61]","[19.35, 19.09, 17.03]","[4.7, 3.36, 3.11]","[1966, 1622, 1994]","[1514, 1227, 1476]","[30.93, 30.93, 30.89, 30.83, 30.79]","[174500, 179500, 179000, 180000, 179500]","[30538, 42841, 30057, 21900, 24951]","[7592, 1623, 3189, 2782, 3183]","[4056, 8176, 6616, 7844, 5879]","[643.0, -907.0, 136.0, -198.0, -233.0]","[175600, 175300, 175900, 177300, 178500]","[33588, 35670, 34377, 31876, 30091]","[177250, 177450, 177550, 177650, 177600]","[34309, 34499, 33972, 33269, 32500]","[177750, 178500, 179000, 179250, 179250]","[34154, 34154, 33269, 33269, 33212]","[643.0, -907.0, 136.0, -198.0, -233.0]",177750,34154,30.72,178500,179000,177150,100.0,100.84,99.16,76.47,108.12,19630,-309.0,N,21.56,N,N,N,N,N,N
A000995,DB하이텍1우,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[1.07, 1.07, 1.07, 1.07, 1.07]","[99400, 98600, 99700, 101000, 101000]","[792, 274, 420, 277, 232]","[413, 147, 77, 89, 36]","[595, 655, 219, 758, 1002]","[17.0, -7.0, -17.0, -8.0, -33.0]","[97480, 98260, 99160, 100040, 99940]","[644, 666, 687, 676, 401]","[95980, 96470, 96940, 97560, 98250]","[406, 401, 429, 448, 462]","[94900, 95100, 95900, 97600, 99000]","[252, 231, 295, 296, 297]","[17.0, -7.0, -17.0, -8.0, -33.0]",94900,252,1.07,100000,100240,99250,99.9,102.0,99.9,90.0,143.0,645,3.0,Y,24.6,Y,Y,N,N,Y,Y
A000990,DB하이텍,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[24.37, 24.65, 24.73, 24.64, 24.7]","[74900, 73400, 72900, 72800, 70300]","[1071312, 792324, 436675, 442360, 1133899]","[106980, 61209, 82084, 70487, 171766]","[41141, 32052, 25367, 34853, 39064]","[926.0, -627.0, 815.0, 1730.0, 6553.0]","[76180, 75660, 74920, 74160, 72860]","[746091, 704692, 665789, 653774, 779948]","[74940, 75090, 75130, 75150, 74690]","[861024, 876304, 769711, 748188, 741927]","[75450, 75450, 75450, 75450, 75450]","[761694, 826354, 730432, 717294, 717294]","[926.0, -627.0, 815.0, 1730.0, 6553.0]",75450,761694,23.92,69700,71140,73400,101.0,101.15,98.28,70.59,122.53,698422,970.0,Y,24.6,Y,N,N,Y,N,Y
A000215,DL우,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[7.18, 7.18, 7.18, 7.18, 7.18]","[39550, 39450, 40250, 40450, 40450]","[1341, 1028, 5504, 3034, 3889]","[341, 770, 473, 674, 515]","[1695, 2564, 1564, 1472, 949]","[-31.0, -66.0, -19.0, -31.0, -26.0]","[38850, 39170, 39500, 39760, 40030]","[2579, 2378, 2737, 2651, 2960]","[38210, 38420, 38690, 38970, 39250]","[1830, 1880, 2291, 2500, 2712]","[37750, 38225, 38850, 39125, 39300]","[1583, 1583, 1904, 2190, 2690]","[-31.0, -66.0, -19.0, -31.0, -26.0]",37750,1583,7.18,40000,40320,39745,101.12,101.38,99.75,82.38,158.0,2832,-34.0,Y,16.7,N,Y,N,N,Y,N
A001880,DL건설,"[23.04, 23.71, 19.95]","[3.17, 3.94, 3.6]","[0.66, 0.89, 0.66]","[1430, 2034, 2296]","[951, 1493, 1756]","[2.17, 2.18, 2.18, 2.18, 2.19]","[29200, 29200, 28750, 28550, 28450]","[16819, 14727, 28069, 32701, 14545]","[4669, 5900, 6697, 8651, 5822]","[4848, 4290, 4219, 1233, 3249]","[9.0, 43.0, 142.0, -5.0, 25.0]","[29570, 29480, 29230, 29030, 28830]","[22997, 19566, 20834, 22412, 21736]","[29730, 29605, 29510, 29395, 29260]","[25529, 23935, 22511, 23306, 23217]","[29700, 29675, 29600, 29500, 29325]","[24918, 23372, 23372, 23404, 23404]","[9.0, 43.0, 142.0, -5.0, 25.0]",29700,24918,2.21,28000,28400,28940,100.54,101.25,98.21,86.96,137.5,23659,-40.0,N,22.23,Y,Y,N,Y,N,N
A000210,DL,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[11.98, 11.99, 12.02, 11.99, 11.96]","[61200, 61600, 61600, 61400, 61200]","[75101, 53791, 50532, 34721, 52425]","[1791, 5519, 7443, 9311, 6491]","[7405, 7823, 11066, 6780, 2285]","[-318.0, -127.0, -69.0, 231.0, 273.0]","[59800, 60400, 60760, 61040, 61400]","[84543, 69964, 64276, 55290, 53446]","[59720, 59940, 60130, 60290, 60410]","[64606, 64251, 66420, 66097, 67592]","[59750, 59800, 59900, 60000, 60600]","[61461, 61461, 61461, 61461, 61461]","[-318.0, -127.0, -69.0, 231.0, 273.0]",59750,61461,11.88,59700,60820,60610,101.01,101.68,99.16,90.28,179.23,38267,125.0,Y,16.7,N,N,Y,Y,N,Y
A007700,F&F홀딩스,"[25.13, 16.59, 153.88]","[15.65, 15.15, 0.38]","[3.56, 2.35, 0.67]","[1507, -44, 2231]","[1099, 854, 20180]","[0.68, 0.71, 0.71, 0.71, 0.76]","[27350, 27850, 27600, 28150, 28000]","[29904, 44905, 31588, 60837, 21634]","[5444, 4516, 3280, 2056, 6294]","[6501, 7843, 6297, 8539, 4278]","[-48.0, -71.0, -45.0, -56.0, -7.0]","[27190, 27230, 27350, 27600, 27790]","[46862, 37488, 31755, 39159, 37870]","[26735, 26920, 27035, 27220, 27390]","[54453, 41787, 40942, 43118, 41921]","[26675, 26950, 27025, 27200, 27475]","[36499, 36499, 32649, 32759, 30877]","[-48.0, -71.0, -45.0, -56.0, -7.0]",26675,36499,0.78,28000,28050,27640,101.96,102.14,99.11,85.18,644.64,30087,-6.0,N,65.2,N,Y,N,N,N,N
A078935,GS우,"[6.26, -2.81, 15.54]","[8.98, -14.65, 2.56]","[0.55, 0.43, 0.36]","[20331, 9206, 26403]","[6689, -1878, 16147]","[9.61, 9.67, 9.68, 9.68, 9.68]","[35400, 35850, 36100, 36150, 36100]","[5002, 9190, 3967, 3267, 3227]","[1444, 1986, 1753, 1866, 1697]","[2030, 1431, 1860, 1656, 3723]","[-32.0, -31.0, -2.0, 2.0, -5.0]","[35110, 35350, 35510, 35720, 35920]","[3868, 5188, 4983, 4814, 4931]","[34920, 35045, 35195, 35345, 35460]","[2888, 3710, 3996, 4069, 4148]","[34900, 35025, 35100, 35200, 35350]","[2563, 2615, 3306, 3617, 3617]","[-32.0, -31.0, -2.0, 2.0, -5.0]",34900,2563,9.7,36000,36030,35690,99.17,100.42,98.89,90.28,118.75,2850,-2.0,N,6.33,N,Y,N,N,Y,N
