코드,종목,최근 외국인 지분율,최근 종가,최근10일 종가 중간값,최근5일 종가 평균,최근10일 종가 평균,마지막 거래량,최근10일 거래량 중간값,자기자본이익률(ROE),ROE 평균,주가수익비율,주가순자산비율,영업이익,외국인지분율,종가,거래량,매수잔액
A166090,하나머티리얼즈,25.86,56200,50650,52500,51560,286346,87140,"[20.86, 22.82, 29.96]",24.55,"[13.45, 14.75, 18.54]","[2.53, 2.95, 4.77]","[409, 531, 823]","[25.64, 25.72, 25.75, 25.78, 25.86]","[51700, 51400, 51200, 51100, 52600]","[49120, 36434, 42411, 59785, 108413]","[0.0, 0.0, 0.0, 0.0, -233.0]"
A093520,매커스,17.48,12150,8135,11268,9848,714236,139518,"[9.11, 14.57, 36.66]",20.11,"[12.7, 10.17, 5.2]","[0.92, 1.07, 1.21]","[59, 95, 260]","[13.85, 14.45, 16.56, 16.78, 17.48]","[9040, 11350, 11400, 12400, 12150]","[490888, 5515426, 1528551, 2980841, 714236]","[0.0, 0.0, 0.0, -241.0, 152.0]"
A029960,코엔텍,6.96,8090,8230,8164,8201,122771,97369,"[16.0, 16.79, 19.32]",17.37,"[20.58, 18.46, 14.54]","[3.24, 3.1, 2.76]","[284, 310, 366]","[6.91, 6.96]","[8140, 8090]","[103139, 122771]","[-75.0, 19.0]"
A131290,티에스이,8.87,62000,58150,60660,59270,49902,44879,"[10.33, 15.12, 20.55]",15.33,"[9.44, 25.52, 18.23]","[0.86, 3.41, 3.27]","[207, 427, 546]","[8.75, 8.79, 8.83, 8.84, 8.9]","[58500, 59000, 59500, 61300, 61500]","[16291, 13925, 19537, 47955, 45205]","[0.0, 0.0, 0.0, 0.0, 8.0]"
A011070,LG이노텍,25.91,391000,352000,402000,387050,398353,448834,"[4.73, 10.2, 30.94]",15.29,"[32.39, 18.29, 9.7]","[1.5, 1.78, 2.6]","[4764, 6810, 12642]","[24.57, 25.32, 25.55, 25.63, 25.85]","[405000, 411500, 398500, 406000, 403000]","[674862, 356758, 459453, 287183, 198575]","[0.0, 0.0, 0.0, 0.0, 2953.0]"
A095610,테스,10.48,27200,24650,27270,26400,79490,90751,"[4.56, 13.3, 27.84]",15.23,"[50.68, 19.53, 7.95]","[2.23, 2.37, 1.87]","[117, 317, 622]","[9.92, 10.02, 10.26, 10.33, 10.38]","[26150, 27050, 27150, 27300, 27650]","[94254, 219278, 103565, 79592, 140298]","[0.0, 0.0, 0.0, 0.0, -253.0]"
