CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_BUY,REMAIN_SELL,REMAIN_BUY_AMOUNT,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN_x,VOL_MEDIAN_x,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_DEAL,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A098120,마이크로컨텍솔,"[2.77, 3.32, 19.78]","[44.81, 45.82, 15.59]","[1.22, 1.49, 2.81]","[6, 17, 79]","[8, 11, 76]","[14.95, 14.88, 14.91, 15.04, 15.04]","[11100, 11000, 11300, 11350, 10750]","[48876, 77380, 140725, 70910, 239453]","[13584, 15330, 21877, 35000, 33207]","[25567, 20349, 31261, 18403, 17666]","[-149.0, -56.0, -62.0, -17.0, 81.0]","[10970, 11030, 11100, 11160, 11100]","[57763, 68775, 81132, 83237, 115754]","[10658, 10780, 10905, 10985, 10995]","[57108, 60788, 70086, 68561, 86576]","[10700, 10825, 10975, 11025, 11025]","[54213, 60328, 69112, 66007, 74141]","[-149.0, -56.0, -62.0, -17.0, 81.0]",10700,54213,14.83,10650,10950,10990,100.0,101.88,99.53,49.77,146.95,45194,117.0,Y,8.62,Y,N,N,Y,N,Y
A095570,AJ네트웍스,"[15.18, -1.3, 23.75]","[5.06, -55.11, 3.3]","[0.73, 0.74, 0.67]","[156, 211, 451]","[421, -33, 767]","[4.8, 4.78, 4.77, 4.76, 4.75]","[6180, 6080, 6170, 6190, 6790]","[149388, 70271, 79039, 57249, 2324021]","[3566, 10876, 6284, 3113, 10336]","[7754, 9976, 3122, 15982, 15728]","[-5.0, -8.0, 9.0, -3.0, -8.0]","[5976, 6040, 6112, 6130, 6282]","[143967, 148895, 140244, 87853, 536038]","[5816, 5857, 5909, 5963, 6091]","[121900, 127130, 131258, 132675, 344606]","[5780, 5805, 5920, 6055, 6090]","[102746, 102746, 102746, 102746, 102746]","[-5.0, -8.0, 9.0, -3.0, -8.0]",5780,102746,4.92,6490,6454,6247,102.16,104.01,98.46,73.42,112.79,209403,-1.0,N,12.54,Y,N,N,N,Y,N
A282330,BGF리테일,"[26.46, 18.6, 19.61]","[19.35, 19.09, 17.03]","[4.7, 3.36, 3.11]","[1966, 1622, 1994]","[1514, 1227, 1476]","[30.98, 30.91, 30.91, 30.93, 30.93]","[176000, 173000, 173500, 174500, 179500]","[36524, 34373, 33836, 30538, 42841]","[7006, 7440, 3009, 7592, 1623]","[3294, 6219, 5126, 4056, 8176]","[310.0, 593.0, 31.0, 643.0, -907.0]","[179200, 178000, 176700, 175600, 175300]","[33560, 34652, 34899, 33588, 35670]","[177850, 177850, 177300, 177250, 177450]","[44637, 44049, 37457, 34309, 34499]","[178500, 178500, 177750, 177750, 178500]","[36830, 35956, 34893, 34154, 34154]","[310.0, 593.0, 31.0, 643.0, -907.0]",178500,36830,30.83,180000,177300,177650,99.44,100.56,98.61,75.83,107.22,21900,-198.0,N,21.56,N,N,N,N,N,N
A000995,DB하이텍1우,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[1.07, 1.07, 1.07, 1.07, 1.07]","[95200, 96600, 101500, 99400, 98600]","[316, 332, 1607, 792, 274]","[162, 175, 292, 413, 147]","[243, 431, 736, 595, 655]","[-10.0, -18.0, -40.0, 17.0, -7.0]","[94720, 95080, 96560, 97480, 98260]","[171, 219, 523, 644, 666]","[94000, 94460, 95390, 95980, 96470]","[241, 242, 382, 406, 401]","[94400, 94750, 94800, 94900, 95100]","[200, 200, 252, 252, 231]","[-10.0, -18.0, -40.0, 17.0, -7.0]",94400,200,1.07,101000,100040,97560,100.5,101.98,98.51,89.11,141.58,277,-8.0,Y,24.6,Y,Y,N,N,Y,N
A000990,DB하이텍,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[24.12, 24.19, 24.28, 24.37, 24.65]","[76600, 76600, 76800, 74900, 73400]","[632057, 500377, 497223, 1071312, 792324]","[36247, 41492, 49568, 106980, 61209]","[46968, 53970, 36692, 41141, 32052]","[-1052.0, -355.0, 1578.0, 926.0, -627.0]","[75340, 76140, 76520, 76180, 75660]","[872699, 841108, 702105, 746091, 704692]","[72960, 73810, 74590, 74940, 75090]","[874424, 878083, 874383, 861024, 876304]","[72550, 73750, 75450, 75450, 75450]","[761694, 761694, 761694, 761694, 826354]","[-1052.0, -355.0, 1578.0, 926.0, -627.0]",72550,761694,24.64,72800,74160,75150,100.82,101.51,99.86,67.58,117.31,442360,1730.0,Y,24.6,Y,Y,N,N,N,Y
A000215,DL우,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[7.18, 7.18, 7.18, 7.18, 7.18]","[38600, 39150, 39100, 39550, 39450]","[3704, 3463, 2346, 1341, 1028]","[907, 668, 674, 341, 770]","[602, 1099, 1212, 1695, 2564]","[5.0, -19.0, -32.0, -31.0, -66.0]","[37880, 38180, 38470, 38850, 39170]","[1844, 2349, 2464, 2579, 2378]","[37570, 37800, 37995, 38210, 38420]","[1365, 1590, 1737, 1830, 1880]","[37600, 37650, 37650, 37750, 38225]","[1083, 1169, 1583, 1583, 1583]","[5.0, -19.0, -32.0, -31.0, -66.0]",37600,1083,7.18,40450,39760,38970,100.12,100.12,99.26,81.46,156.24,3034,-31.0,Y,16.7,N,Y,N,N,Y,N
A001880,DL건설,"[23.04, 23.71, 19.95]","[3.17, 3.94, 3.6]","[0.66, 0.89, 0.66]","[1430, 2034, 2296]","[951, 1493, 1756]","[2.18, 2.18, 2.17, 2.17, 2.18]","[30000, 29550, 29450, 29200, 29200]","[21781, 24949, 17941, 16819, 14727]","[7344, 4475, 4922, 4669, 5900]","[11031, 6967, 4214, 4848, 4290]","[-217.0, 39.0, 37.0, 9.0, 43.0]","[29790, 29760, 29690, 29570, 29480]","[24172, 24200, 24693, 22997, 19566]","[29950, 29975, 29850, 29730, 29605]","[34983, 34767, 28502, 25529, 23935]","[29800, 29800, 29750, 29700, 29675]","[29687, 28753, 25137, 24918, 23372]","[-217.0, 39.0, 37.0, 9.0, 43.0]",29800,29687,2.18,28550,29030,29395,100.7,101.05,98.77,85.29,134.85,32701,-5.0,N,22.23,Y,N,N,Y,Y,N
A000210,DL,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[12.14, 12.19, 12.18, 11.98, 11.99]","[59800, 60000, 59400, 61200, 61600]","[78931, 79581, 61688, 75101, 53791]","[2049, 5143, 7351, 1791, 5519]","[7968, 12099, 8284, 7405, 7823]","[-334.0, -6.0, 67.0, -318.0, -127.0]","[59500, 59540, 59420, 59800, 60400]","[68544, 76850, 81705, 84543, 69964]","[59470, 59610, 59560, 59720, 59940]","[54382, 59166, 61679, 64606, 64251]","[59650, 59750, 59650, 59750, 59800]","[42075, 51766, 59304, 61461, 61461]","[-334.0, -6.0, 67.0, -318.0, -127.0]",59650,42075,11.99,61400,61040,60290,99.84,100.98,99.35,87.79,174.27,34721,231.0,Y,16.7,N,N,N,N,N,Y
A007700,F&F홀딩스,"[25.13, 16.59, 153.88]","[15.65, 15.15, 0.38]","[3.56, 2.35, 0.67]","[1507, -44, 2231]","[1099, 854, 20180]","[0.73, 0.7, 0.68, 0.68, 0.71]","[27000, 26900, 27050, 27350, 27850]","[60247, 23339, 27718, 29904, 44905]","[7256, 6710, 3542, 5444, 4516]","[1956, 3992, 3918, 6501, 7843]","[162.0, 69.0, -18.0, -48.0, -71.0]","[26720, 26840, 26990, 27190, 27230]","[50104, 46939, 45879, 46862, 37488]","[26330, 26465, 26605, 26735, 26920]","[53779, 53108, 53528, 54453, 41787]","[26300, 26325, 26400, 26675, 26950]","[36499, 36499, 36499, 36499, 36499]","[162.0, 69.0, -18.0, -48.0, -71.0]",26300,36499,0.71,28150,27600,27220,98.58,101.24,97.34,84.72,641.21,60837,-56.0,N,65.2,N,N,N,N,Y,N
A078935,GS우,"[6.26, -2.81, 15.54]","[8.98, -14.65, 2.56]","[0.55, 0.43, 0.36]","[20331, 9206, 26403]","[6689, -1878, 16147]","[9.56, 9.56, 9.61, 9.61, 9.67]","[35300, 35100, 35100, 35400, 35850]","[4946, 4112, 2044, 5002, 9190]","[981, 1661, 1577, 1444, 1986]","[1039, 2606, 1059, 2030, 1431]","[-12.0, -12.0, -11.0, -32.0, -31.0]","[34880, 34970, 35000, 35110, 35350]","[2999, 3324, 3246, 3868, 5188]","[34705, 34780, 34840, 34920, 35045]","[2602, 2759, 2567, 2888, 3710]","[34625, 34650, 34750, 34900, 35025]","[2517, 2517, 2463, 2563, 2615]","[-12.0, -12.0, -11.0, -32.0, -31.0]",34625,2517,9.68,36150,35720,35345,100.14,100.69,99.59,89.9,118.26,3267,2.0,N,6.33,N,Y,N,N,Y,Y
A078930,GS,"[6.26, -2.81, 15.54]","[8.98, -14.65, 2.56]","[0.55, 0.43, 0.36]","[20331, 9206, 26403]","[6689, -1878, 16147]","[19.18, 19.21, 19.17, 19.19, 19.18]","[43050, 42950, 42600, 43900, 43950]","[753703, 445095, 233232, 419671, 346219]","[11421, 18624, 13376, 9706, 12223]","[50426, 16301, 18150, 41964, 16798]","[-537.0, 159.0, -246.0, -1342.0, 123.0]","[41000, 41560, 41980, 42660, 43290]","[263968, 335312, 352561, 403194, 440505]","[40460, 40785, 41055, 41480, 41845]","[226529, 254166, 260630, 278591, 290258]","[40225, 40400, 40500, 40650, 41700]","[168024, 168024, 198752, 198752, 200549]","[-537.0, 159.0, -246.0, -1342.0, 123.0]",40225,168024,19.1,44800,43990,42775,100.0,100.11,98.66,82.59,112.28,206847,-1011.0,N,6.33,N,N,N,N,Y,N
A016385,KG동부제철우,"[-7.44, 7.18, 17.99]","[-8.37, 17.37, 5.55]","[0.88, 1.19, 0.92]","[346, 1108, 2969]","[-335, 669, 1907]","[0.0, 0.0, 0.0, 0.0, 0.0]","[109500, 110000, 108500, 109000, 110000]","[54, 94, 181, 23, 37]","[25, 47, 56, 33, 80]","[435, 203, 426, 513, 316]","[-39.0, -12.0, -26.0, -24.0, -12.0]","[106500, 108200, 108800, 109200, 109400]","[120, 113, 95, 77, 77]","[104950, 105550, 106250, 107000, 107500]","[76, 84, 98, 97, 97]","[105000, 105250, 106250, 107750, 108750]","[43, 50, 74, 74, 74]","[-39.0, -12.0, -26.0, -24.0, -12.0]",105000,43,0.0,106500,108800,108500,102.82,102.82,98.59,85.54,201.41,49,-10.0,Y,5.91,Y,Y,N,N,Y,N
A016380,KG동부제철,"[-7.44, 7.18, 17.99]","[-8.37, 17.37, 5.55]","[0.88, 1.19, 0.92]","[346, 1108, 2969]","[-335, 669, 1907]","[1.13, 1.09, 1.06, 1.06, 1.05]","[11200, 11150, 11150, 11250, 11050]","[201137, 146502, 131371, 156509, 155676]","[83660, 67067, 36699, 59754, 62723]","[126901, 130248, 47736, 151270, 121388]","[-117.0, -24.0, 27.0, -1034.0, 314.0]","[11340, 11310, 11190, 11180, 11160]","[442969, 428115, 232761, 177841, 159202]","[11110, 11175, 11215, 11260, 11250]","[356919, 352678, 352438, 350991, 303416]","[11175, 11175, 11175, 11200, 11200]","[222997, 222997, 222997, 222997, 211727]","[-117.0, -24.0, 27.0, -1034.0, 314.0]",11175,222997,1.0,11050,11120,11215,100.45,100.9,99.1,83.26,227.6,150223,166.0,Y,5.91,Y,N,N,Y,N,Y
A001390,KG케미칼,"[32.69, 11.94, 17.39]","[1.59, 7.19, 5.71]","[0.45, 0.81, 0.9]","[1180, 2430, 4672]","[2193, 1547, 2820]","[3.11, 3.17, 3.16, 3.2, 3.18]","[30950, 30750, 30350, 31250, 31350]","[121248, 163451, 69565, 152360, 111455]","[8054, 16302, 14216, 9941, 12744]","[15100, 6199, 6222, 22900, 23085]","[-88.0, 372.0, 144.0, -106.0, -50.0]","[30370, 30500, 30600, 30780, 30930]","[119196, 127138, 126348, 117517, 124426]","[29520, 29790, 30035, 30330, 30520]","[93665, 102894, 102491, 113329, 117479]","[29750, 29975, 30225, 30350, 30475]","[76342, 78130, 78130, 100055, 116617]","[-88.0, 372.0, 144.0, -106.0, -50.0]",29750,76342,3.27,30550,30840,30670,100.82,101.64,99.84,81.34,149.59,37164,85.0,N,20.67,Y,N,N,N,N,Y
A051905,LG생활건강우,"[20.32, 17.92, 16.65]","[28.71, 35.99, 23.01]","[5.1, 5.71, 3.41]","[11764, 12209, 12896]","[7882, 8131, 8611]","[83.62, 83.61, 83.6, 83.58, 83.56]","[509000, 515000, 509000, 507000, 512000]","[3088, 3772, 4332, 2616, 7204]","[365, 379, 721, 495, 720]","[353, 277, 341, 295, 590]","[-68.0, 19.0, 171.0, 119.0, -46.0]","[515400, 515000, 514000, 512400, 510400]","[3958, 3617, 3176, 3310, 4205]","[508450, 511600, 513000, 512500, 512900]","[5517, 5006, 5066, 5072, 4313]","[510500, 513000, 513000, 511500, 513000]","[4563, 3751, 4052, 4057, 4057]","[-68.0, 19.0, 171.0, 119.0, -46.0]",510500,4563,83.48,516000,511800,513400,99.61,100.78,99.03,92.25,156.4,2973,-268.0,N,18.3,Y,N,N,N,N,N
A051900,LG생활건강,"[20.32, 17.92, 16.65]","[28.71, 35.99, 23.01]","[5.1, 5.71, 3.41]","[11764, 12209, 12896]","[7882, 8131, 8611]","[40.91, 40.69, 40.78, 40.77, 40.68]","[835000, 859000, 863000, 858000, 896000]","[90670, 55062, 36865, 48139, 85502]","[17737, 2234, 2280, 5192, 1706]","[2958, 4281, 4248, 2199, 6974]","[5871.0, -921.0, -2151.0, 1636.0, -4239.0]","[859000, 857600, 857800, 856400, 862200]","[53010, 51791, 50408, 53106, 63474]","[851600, 854300, 856800, 856300, 862100]","[70728, 67418, 62714, 57753, 56876]","[856000, 860500, 862500, 860500, 862500]","[80738, 69275, 58580, 51879, 51939]","[5871.0, -921.0, -2151.0, 1636.0, -4239.0]",856000,80738,40.73,909000,886000,871800,99.34,101.32,98.57,90.76,196.26,51380,413.0,N,18.3,Y,N,N,N,N,Y
A011070,LG이노텍,"[4.73, 10.2, 30.94]","[32.39, 18.29, 9.7]","[1.5, 1.78, 2.6]","[4764, 6810, 12642]","[1023, 2361, 8883]","[25.91, 26.18, 26.2, 26.29, 26.29]","[391000, 391500, 387000, 387000, 384500]","[398353, 427024, 295693, 211723, 210687]","[17960, 5895, 20195, 17890, 22562]","[2464, 11159, 7534, 9700, 4606]","[2705.0, -128.0, 902.0, 154.0, 4351.0]","[402000, 398000, 395700, 391900, 388200]","[341883, 356495, 323527, 308299, 310662]","[387050, 392100, 394550, 396250, 396500]","[416022, 428670, 401242, 381214, 354158]","[394750, 395000, 395000, 395000, 395000]","[406539, 420874, 408413, 379906, 328060]","[2705.0, -128.0, 902.0, 154.0, 4351.0]",394750,406539,26.17,378000,384300,391150,103.04,104.89,100.0,47.88,109.66,383296,3792.0,Y,15.29,Y,Y,N,Y,N,Y
A051915,LG화학우,"[1.84, 2.93, 18.47]","[79.31, 125.83, 13.12]","[1.43, 3.55, 2.21]","[8254, 18054, 50255]","[3761, 6824, 39539]","[71.53, 71.58, 71.63, 71.64, 71.65]","[268000, 269500, 268000, 273000, 272500]","[11189, 19509, 12751, 13345, 12358]","[363, 494, 1288, 388, 439]","[672, 601, 725, 1413, 1823]","[-79.0, 41.0, -7.0, -272.0, -222.0]","[262200, 265700, 267500, 268600, 270200]","[19266, 18966, 18231, 16043, 14397]","[254800, 257650, 260350, 262300, 264500]","[24439, 23330, 22165, 20964, 18042]","[252750, 256250, 261750, 266000, 267750]","[23845, 23345, 22155, 20268, 17973]","[-79.0, 41.0, -7.0, -272.0, -222.0]",252750,23845,71.58,264500,268800,267250,100.76,102.08,99.81,90.55,172.02,19065,-9.0,Y,7.75,Y,Y,N,N,N,N
A051910,LG화학,"[1.84, 2.93, 18.47]","[79.31, 125.83, 13.12]","[1.43, 3.55, 2.21]","[8254, 18054, 50255]","[3761, 6824, 39539]","[48.48, 48.53, 48.53, 48.5, 48.49]","[523000, 523000, 525000, 532000, 523000]","[184816, 144470, 175466, 168978, 196162]","[7237, 14585, 18198, 10602, 17986]","[13943, 14631, 16730, 27584, 12529]","[-4731.0, 1880.0, 339.0, -5491.0, 1499.0]","[516000, 522200, 525600, 525800, 525200]","[312213, 296863, 270551, 199708, 174585]","[490950, 499350, 507650, 513850, 517300]","[445328, 392116, 367150, 292897, 256639]","[491000, 500000, 515500, 523000, 523000]","[373931, 319812, 312287, 265139, 209540]","[-4731.0, 1880.0, 339.0, -5491.0, 1499.0]",491000,373931,48.49,540000,529200,525700,99.44,101.11,98.89,80.93,178.7,225306,-1476.0,Y,7.75,Y,N,N,N,N,N
A001120,LX인터내셔널,"[2.48, 23.71, 22.49]","[20.41, 3.22, 2.93]","[0.5, 0.66, 0.54]","[1348, 1598, 6562]","[-149, 3616, 5403]","[24.8, 24.83, 24.9, 25.05, 25.19]","[34250, 33900, 33650, 34450, 34800]","[307864, 706312, 337688, 640987, 446866]","[21360, 25743, 25451, 24598, 39102]","[48118, 9807, 21251, 15056, 19899]","[-351.0, 615.0, 153.0, 570.0, 504.0]","[34030, 34080, 33980, 34010, 34210]","[627778, 471640, 411059, 467314, 502171]","[32270, 32655, 33000, 33430, 33830]","[509694, 544828, 545896, 563840, 566012]","[32500, 33725, 33725, 33850, 34025]","[388678, 397868, 397868, 397868, 407218]","[-351.0, 615.0, 153.0, 570.0, 504.0]",32500,388678,25.36,34300,34300,34190,100.44,100.73,98.4,65.01,111.22,203514,-111.0,N,16.23,Y,Y,N,N,N,N
A035420,NAVER,"[10.56, 15.21, 106.72]","[52.72, 47.97, 3.77]","[4.67, 5.85, 2.4]","[11550, 12153, 13255]","[3968, 8450, 164776]","[54.54, 54.51, 54.54, 54.61, 54.64]","[331500, 334000, 339000, 340500, 335500]","[353984, 321592, 453202, 403364, 421029]","[25924, 31954, 34836, 36998, 55674]","[27379, 47433, 54791, 68173, 18315]","[-3924.0, -265.0, 677.0, -3274.0, 12344.0]","[337900, 336800, 335500, 335600, 336100]","[449438, 454026, 444119, 419423, 396564]","[337550, 338200, 339050, 338650, 337750]","[564987, 534706, 521773, 455206, 427447]","[339250, 339250, 339250, 339250, 339000]","[543519, 516461, 479056, 428868, 424046]","[-3924.0, -265.0, 677.0, -3274.0, 12344.0]",339250,543519,54.63,342500,339100,337950,99.42,100.15,98.69,86.72,135.77,388082,-7158.0,Y,44.16,Y,N,N,N,N,N
A008260,NI스틸,"[5.91, 10.45, 16.75]","[9.85, 6.05, 4.38]","[0.57, 0.6, 0.68]","[121, 186, 312]","[64, 121, 221]","[5.16, 5.3, 5.31, 5.25, 5.41]","[5090, 5060, 5070, 5160, 5150]","[586230, 186798, 163400, 205271, 103666]","[32675, 47200, 5440, 19781, 8286]","[5648, 5530, 17010, 30184, 20985]","[83.0, 130.0, -64.0, 19.0, -23.0]","[5061, 5073, 5053, 5092, 5106]","[1532067, 1509487, 673613, 626713, 250832]","[4927, 4965, 5008, 5047, 5070]","[983987, 977993, 978361, 970383, 867695]","[4962, 4982, 5030, 5065, 5075]","[394851, 394851, 394851, 394851, 324945]","[83.0, 130.0, -64.0, 19.0, -23.0]",4962,394851,5.4,5230,5154,5113,98.09,100.0,98.09,56.6,127.15,149803,-58.0,Y,11.04,Y,N,N,N,N,N
