CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_BUY,REMAIN_SELL,REMAIN_BUY_AMOUNT,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN_x,VOL_MEDIAN_x,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_DEAL,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A098120,마이크로컨텍솔,"[2.77, 3.32, 19.78]","[44.81, 45.82, 15.59]","[1.22, 1.49, 2.81]","[6, 17, 79]","[8, 11, 76]","[14.47, 14.48, 14.44, 14.36]","[11600, 11700, 12350, 12000]","[64301, 128863, 82512, 123539]","[11254, 9420, 15005, 15153]","[17799, 11424, 23499, 17236]","[-76.0, -55.0, -62.0, -76.0]","[11340, 11490, 12000, 12060]","[94070, 97286, 104049, 102699]","[10940, 11040, 11670, 11775]","[94112, 95757, 99102, 100310]","[10825, 11075, 11650, 11700]","[88997, 88997, 95143, 95143]","[-76.0, -55.0, -62.0, -76.0]",10825,88997,14.36,12000,12060,11775,100.83,101.67,96.25,44.17,130.42,123539,-76.0,Y,8.62,Y,N,N,N,Y,N
A095570,AJ네트웍스,"[15.18, -1.3, 23.75]","[5.06, -55.11, 3.3]","[0.73, 0.74, 0.67]","[156, 211, 451]","[421, -33, 767]","[4.87, 4.87, 4.9, 4.88]","[6460, 6430, 6620, 6630]","[41318, 29435, 39707, 133945]","[12978, 22167, 4137, 2323]","[2563, 4751, 15164, 28346]","[-2.0, 100.0, 0.0, -141.0]","[6462, 6458, 6542, 6582]","[59271, 43462, 36381, 57283]","[6439, 6419, 6502, 6520]","[116192, 89895, 47826, 50373]","[6460, 6455, 6470, 6500]","[93235, 70189, 40513, 40513]","[-2.0, 100.0, 0.0, -141.0]",6460,93235,4.88,6630,6582,6520,99.85,101.81,98.19,72.4,110.41,133945,-141.0,N,12.54,Y,N,N,N,Y,N
A282330,BGF리테일,"[26.46, 18.6, 19.61]","[19.35, 19.09, 17.03]","[4.7, 3.36, 3.11]","[1966, 1622, 1994]","[1514, 1227, 1476]","[30.68, 30.72, 30.8, 30.85]","[179500, 184500, 179500, 183000]","[22906, 54982, 21676, 32468]","[2799, 1959, 3157, 2548]","[2677, 6235, 3447, 5123]","[-34.0, -253.0, -137.0, -125.0]","[180100, 180600, 181500, 181200]","[31989, 37182, 29479, 24944]","[179550, 180100, 180800, 180900]","[28739, 31233, 30737, 31080]","[179500, 179750, 180250, 180250]","[29563, 29936, 29954, 31317]","[-34.0, -253.0, -137.0, -125.0]",179500,29563,30.85,183000,181200,180900,96.99,101.64,96.72,74.59,105.46,32468,-125.0,N,21.56,N,Y,N,N,Y,N
A000995,DB하이텍1우,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[1.07, 1.07, 1.07, 1.07]","[99800, 100000, 100000, 99600]","[338, 479, 910, 500]","[241, 903, 442, 203]","[345, 736, 752, 722]","[2.0, 73.0, 16.0, -41.0]","[99280, 99540, 100700, 100620]","[300, 336, 565, 569]","[99760, 99790, 99990, 100080]","[347, 353, 432, 452]","[99750, 99900, 100000, 100000]","[319, 319, 395, 466]","[2.0, 73.0, 16.0, -41.0]",99750,319,1.07,99600,100620,100080,100.9,100.9,99.4,90.36,143.57,500,-41.0,Y,24.6,Y,Y,N,Y,Y,N
A000990,DB하이텍,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[23.17, 23.0, 23.37, 23.33]","[70800, 70900, 71400, 69200]","[558444, 353401, 516563, 634710]","[101079, 62808, 53616, 116353]","[38808, 41805, 33357, 30793]","[2359.0, 150.0, 1252.0, 3993.0]","[70580, 71040, 72100, 71760]","[720840, 671923, 514353, 571044]","[70860, 70660, 71340, 71400]","[721986, 713562, 618041, 621766]","[70550, 70550, 71550, 71550]","[660540, 660540, 582660, 588315]","[2359.0, 150.0, 1252.0, 3993.0]",70550,660540,23.33,69200,71760,71400,101.01,101.59,99.86,71.1,123.41,634710,3993.0,Y,24.6,Y,N,N,Y,N,Y
A000215,DL우,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[7.11, 7.1, 7.06, 7.06]","[39950, 39950, 40350, 39800]","[880, 581, 1759, 1291]","[442, 429, 732, 446]","[1054, 1381, 3285, 1088]","[-17.0, -21.0, -117.0, -2.0]","[39870, 39870, 40200, 40170]","[858, 722, 1098, 1240]","[40095, 40065, 40035, 40020]","[2248, 1756, 978, 981]","[39975, 39950, 39950, 39950]","[2046, 1096, 880, 880]","[-17.0, -21.0, -117.0, -2.0]",39975,2046,7.06,39800,40170,40020,100.5,101.38,98.49,82.79,158.79,1291,-2.0,Y,16.7,N,N,N,Y,N,N
A001880,DL건설,"[23.04, 23.71, 19.95]","[3.17, 3.94, 3.6]","[0.66, 0.89, 0.66]","[1430, 2034, 2296]","[951, 1493, 1756]","[2.24, 2.24, 2.26, 2.26]","[27100, 27350, 27050, 26700]","[41658, 39570, 20707, 24592]","[13749, 6881, 14400, 5893]","[367, 1942, 3448, 3917]","[177.0, -10.0, 183.0, 69.0]","[27290, 27270, 27130, 27000]","[22845, 27001, 26557, 23438]","[27845, 27705, 27210, 27135]","[22651, 23790, 24704, 25300]","[27775, 27500, 27200, 27075]","[21285, 21285, 22410, 24353]","[177.0, -10.0, 183.0, 69.0]",27775,21285,2.26,26700,27000,27135,100.94,101.12,99.81,91.2,144.19,24592,69.0,N,22.23,Y,Y,N,Y,Y,Y
A000210,DL,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[11.6, 11.55, 11.78, 11.79]","[58900, 58800, 60200, 58800]","[33912, 22317, 41214, 48860]","[12320, 12061, 4908, 5288]","[2809, 1985, 5666, 2563]","[309.0, 392.0, -7.0, 130.0]","[59300, 59140, 59400, 59400]","[39943, 35583, 31267, 36566]","[60060, 59780, 59350, 59270]","[40911, 38070, 35606, 36079]","[59700, 59650, 59250, 59150]","[39412, 36917, 34950, 34950]","[309.0, 392.0, -7.0, 130.0]",59700,39412,11.79,58800,59400,59270,101.7,101.7,99.66,91.67,181.97,48860,130.0,Y,16.7,N,N,N,Y,Y,Y
A007700,F&F홀딩스,"[25.13, 16.59, 153.88]","[15.65, 15.15, 0.38]","[3.56, 2.35, 0.67]","[1507, -44, 2231]","[1099, 854, 20180]","[0.79, 0.77, 0.82, 0.79]","[27850, 28350, 28300, 26700]","[20612, 24162, 21668, 43218]","[3344, 2626, 8573, 4655]","[1852, 8950, 3617, 1289]","[27.0, -77.0, 102.0, 91.0]","[28070, 28090, 28490, 28160]","[22705, 23002, 22344, 26163]","[28060, 28135, 28280, 28125]","[31666, 30903, 22527, 24584]","[28025, 28100, 28325, 28325]","[23705, 23705, 22752, 23155]","[27.0, -77.0, 102.0, 91.0]",28025,23705,0.79,26700,28160,28125,104.31,104.87,100.0,89.33,676.03,43218,91.0,N,65.2,N,N,N,Y,Y,Y
A078935,GS우,"[6.26, -2.81, 15.54]","[8.98, -14.65, 2.56]","[0.55, 0.43, 0.36]","[20331, 9206, 26403]","[6689, -1878, 16147]","[9.9, 9.91, 10.0, 10.01]","[36000, 36150, 36200, 35900]","[3047, 4030, 1628, 3801]","[1952, 1015, 438, 1962]","[1034, 2602, 3661, 3388]","[2.0, -36.0, -71.0, 5.0]","[36090, 36080, 36260, 36210]","[10873, 5444, 3171, 3124]","[36060, 36065, 36175, 36145]","[7303, 7309, 7022, 4285]","[36100, 36125, 36200, 36175]","[3291, 3291, 3645, 3558]","[2.0, -36.0, -71.0, 5.0]",36100,3291,10.01,35900,36210,36145,100.56,100.97,99.86,90.53,119.08,3801,5.0,N,6.33,N,Y,N,Y,Y,Y
