코드,종목,최근 외국인 지분율,최근 종가,최근10일 종가 중간값,최근5일 종가 평균,최근10일 종가 평균,마지막 거래량,최근10일 거래량 중간값,자기자본이익률(ROE),ROE 평균,주가수익비율,주가순자산비율,영업이익,외국인지분율,종가,거래량,매수잔액
A000990,DB하이텍,24.7,70300,72550,72860,74690,1133899,761694,"[17.39, 23.07, 33.35]",24.6,"[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[24.12, 24.19, 24.28, 24.37, 24.65]","[76600, 76600, 76800, 74900, 73400]","[632057, 500377, 497223, 1071312, 792324]","[-1052.0, -355.0, 1578.0, 926.0, -627.0]"
A108320,LX세미콘,34.99,140100,138500,144760,145430,249737,214313,"[8.39, 14.44, 44.49]",22.44,"[16.8, 13.05, 9.18]","[1.37, 1.78, 3.4]","[473, 942, 3696]","[34.21, 34.35, 34.59, 34.75, 34.85]","[146400, 146900, 142700, 145300, 143400]","[199311, 174854, 270612, 132278, 128308]","[271.0, -308.0, 226.0, -406.0, 144.0]"
A093520,매커스,17.96,11300,8885,11800,11875,362874,467793,"[9.11, 14.57, 36.66]",20.11,"[12.7, 10.17, 5.2]","[0.92, 1.07, 1.21]","[59, 95, 260]","[17.48, 17.74, 17.74, 17.75, 17.95]","[12150, 12000, 11800, 12000, 11800]","[714236, 609960, 431049, 330572, 197731]","[152.0, -241.0, 75.0, 52.0, 44.0]"
A011070,LG이노텍,25.71,374500,394750,381800,388750,192004,406539,"[4.73, 10.2, 30.94]",15.29,"[32.39, 18.29, 9.7]","[1.5, 1.78, 2.6]","[4764, 6810, 12642]","[25.91, 26.18, 26.2, 26.29, 26.29]","[391000, 391500, 387000, 387000, 384500]","[398353, 427024, 295693, 211723, 210687]","[2705.0, -128.0, 902.0, 154.0, 4351.0]"
