코드,종목,최근 외국인 지분율,최근 종가,최근10일 종가 중간값,최근5일 종가 평균,최근10일 종가 평균,마지막 거래량,최근10일 거래량 중간값,자기자본이익률(ROE),ROE 평균,주가수익비율,주가순자산비율,영업이익,외국인지분율,종가,거래량,매수잔액
A166090,하나머티리얼즈,25.6,56000,50650,54440,52990,63529,87140,"[20.86, 22.82, 29.96]",24.55,"[13.45, 14.75, 18.54]","[2.53, 2.95, 4.77]","[409, 531, 823]","[25.64, 25.72, 25.75, 25.78, 25.86]","[51700, 51400, 51200, 51100, 52600]","[49120, 36434, 42411, 59785, 108413]","[0.0, 0.0, 0.0, 0.0, -233.0]"
A042700,한미반도체,5.94,34700,32450,34390,33625,276951,195082,"[8.85, 21.03, 34.59]",21.49,"[24.06, 18.76, 18.06]","[1.85, 3.46, 5.4]","[137, 666, 1224]","[5.73, 5.76, 5.76, 5.76, 5.82]","[33000, 33050, 33050, 33300, 34350]","[272678, 136742, 143615, 143142, 430768]","[0.0, 0.0, 0.0, 0.0, -820.0]"
A265520,AP시스템,7.29,23850,24075,24030,24075,83939,132796,"[8.57, 19.78, 34.68]",21.01,"[54.33, 15.22, 6.74]","[4.47, 2.73, 1.98]","[284, 463, 643]","[7.2, 7.29]","[24050, 23850]","[92636, 83939]","[-8.0, 179.0]"
A093520,매커스,17.74,11800,8135,11950,10601,431049,139518,"[9.11, 14.57, 36.66]",20.11,"[12.7, 10.17, 5.2]","[0.92, 1.07, 1.21]","[59, 95, 260]","[13.85, 14.45, 16.56, 16.78, 17.48]","[9040, 11350, 11400, 12400, 12150]","[490888, 5515426, 1528551, 2980841, 714236]","[0.0, 0.0, 0.0, -241.0, 152.0]"
A195870,해성디에스,6.81,52400,48450,53420,51635,207248,174772,"[9.06, 13.62, 27.09]",16.59,"[14.65, 13.83, 11.65]","[1.29, 1.79, 2.82]","[270, 435, 863]","[6.51, 6.62, 6.64, 6.66, 6.93]","[49800, 50200, 50300, 53800, 53700]","[114387, 89712, 78790, 483048, 208475]","[0.0, 0.0, 0.0, 0.0, -200.0]"
A293490,카카오게임즈,10.93,78700,77500,77440,78350,1047686,1178042,"[2.64, 12.12, 34.06]",16.27,"[0.0, 33.35, 12.89]","[3.39, 3.35]","[665, 1119]","[10.66, 10.72, 10.76, 10.93]","[76900, 76500, 80200, 78700]","[1165249, 624553, 1745658, 1047686]","[322.0, -398.0, 687.0, 4299.0]"
A026890,스틱인베스트먼트,7.14,10050,10025,10100,10062,198495,300882,"[7.12, 11.76, 28.35]",15.74,"[20.2, 18.97, 10.57]","[1.25, 1.88, 2.41]","[169, 307, 763]","[6.96, 6.96, 7.14]","[10050, 10050, 10050]","[457931, 238710, 198495]","[-225.0, 22.0, 184.0]"
A131290,티에스이,9.01,64300,58150,62480,60750,89019,44879,"[10.33, 15.12, 20.55]",15.33,"[9.44, 25.52, 18.23]","[0.86, 3.41, 3.27]","[207, 427, 546]","[8.75, 8.79, 8.83, 8.84, 8.9]","[58500, 59000, 59500, 61300, 61500]","[16291, 13925, 19537, 47955, 45205]","[0.0, 0.0, 0.0, 0.0, 8.0]"
A011070,LG이노텍,26.2,387000,352000,395700,394550,295693,448834,"[4.73, 10.2, 30.94]",15.29,"[32.39, 18.29, 9.7]","[1.5, 1.78, 2.6]","[4764, 6810, 12642]","[24.57, 25.32, 25.55, 25.63, 25.85]","[405000, 411500, 398500, 406000, 403000]","[674862, 356758, 459453, 287183, 198575]","[0.0, 0.0, 0.0, 0.0, 2953.0]"
