코드,종목,최근 외국인 지분율,최근 종가,최근10일 종가 중간값,최근5일 종가 평균,최근10일 종가 평균,마지막 거래량,최근10일 거래량 중간값,자기자본이익률(ROE),ROE 평균,주가수익비율,주가순자산비율,영업이익,외국인지분율,종가,거래량,매수잔액
A093520,매커스,17.95,11800,8135,11950,11267,197731,139518,"[9.11, 14.57, 36.66]",20.11,"[12.7, 10.17, 5.2]","[0.92, 1.07, 1.21]","[59, 95, 260]","[13.85, 14.45, 16.56, 16.78, 17.48]","[9040, 11350, 11400, 12400, 12150]","[490888, 5515426, 1528551, 2980841, 714236]","[0.0, 0.0, 0.0, -241.0, 152.0]"
A026890,스틱인베스트먼트,7.45,10200,10025,10140,10125,522733,300882,"[7.12, 11.76, 28.35]",15.74,"[20.2, 18.97, 10.57]","[1.25, 1.88, 2.41]","[169, 307, 763]","[6.96, 6.96, 7.14, 7.24, 7.45]","[10050, 10050, 10050, 10350, 10200]","[457931, 238710, 198495, 298139, 522733]","[-225.0, 22.0, 184.0, -251.0, 363.0]"
A011070,LG이노텍,26.29,384500,357750,388200,396500,210687,448834,"[4.73, 10.2, 30.94]",15.29,"[32.39, 18.29, 9.7]","[1.5, 1.78, 2.6]","[4764, 6810, 12642]","[25.32, 25.55, 25.63, 25.85, 25.91]","[411500, 398500, 406000, 403000, 391000]","[356758, 459453, 287183, 198575, 398353]","[0.0, 0.0, 0.0, 2953.0, 2705.0]"
A095610,테스,10.7,26900,24825,27250,27155,89527,90751,"[4.56, 13.3, 27.84]",15.23,"[50.68, 19.53, 7.95]","[2.23, 2.37, 1.87]","[117, 317, 622]","[10.02, 10.26, 10.33, 10.38, 10.48]","[27050, 27150, 27300, 27650, 27200]","[219278, 103565, 79592, 140298, 79490]","[0.0, 0.0, 0.0, -253.0, 94.0]"
