CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_BUY,REMAIN_SELL,REMAIN_BUY_AMOUNT,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN_x,VOL_MEDIAN_x,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_DEAL,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A098120,마이크로컨텍솔,"[2.77, 3.32, 19.78]","[44.81, 45.82, 15.59]","[1.22, 1.49, 2.81]","[6, 17, 79]","[8, 11, 76]","[14.48, 14.44, 14.36, 14.28, 14.47]","[11700, 12350, 12000, 12400, 12550]","[128863, 82512, 123539, 334166, 118188]","[9420, 15005, 15153, 27201, 14952]","[11424, 23499, 17236, 14651, 15225]","[-55.0, -62.0, -76.0, 77.0, -7.0]","[11490, 12000, 12060, 12200, 12310]","[97286, 104049, 102699, 153529, 153291]","[11040, 11670, 11775, 11895, 12010]","[95757, 99102, 100310, 120888, 124211]","[11075, 11650, 11700, 11850, 12000]","[88997, 95143, 95143, 95143, 111320]","[-55.0, -62.0, -76.0, 77.0, -7.0]",11075,88997,14.47,12550,12310,12010,95.22,100.4,94.02,42.23,124.7,118188,-7.0,Y,8.62,Y,N,N,N,Y,N
A095570,AJ네트웍스,"[15.18, -1.3, 23.75]","[5.06, -55.11, 3.3]","[0.73, 0.74, 0.67]","[156, 211, 451]","[421, -33, 767]","[4.87, 4.9, 4.88, 4.94, 4.94]","[6430, 6620, 6630, 6660, 6660]","[29435, 39707, 133945, 77424, 47133]","[22167, 4137, 2323, 12694, 6007]","[4751, 15164, 28346, 23650, 2549]","[100.0, 0.0, -141.0, -55.0, -8.0]","[6458, 6542, 6582, 6610, 6638]","[43462, 36381, 57283, 67041, 72544]","[6419, 6502, 6520, 6540, 6558]","[89895, 47826, 50373, 53376, 50293]","[6455, 6470, 6500, 6520, 6570]","[70189, 40513, 40513, 40513, 40513]","[100.0, 0.0, -141.0, -55.0, -8.0]",6455,70189,4.94,6660,6638,6558,98.95,100.0,96.1,72.07,109.91,47133,-8.0,N,12.54,Y,N,N,N,N,N
A282330,BGF리테일,"[26.46, 18.6, 19.61]","[19.35, 19.09, 17.03]","[4.7, 3.36, 3.11]","[1966, 1622, 1994]","[1514, 1227, 1476]","[30.72, 30.8, 30.85, 30.84, 30.74]","[184500, 179500, 183000, 181000, 180000]","[54982, 21676, 32468, 49307, 22243]","[1959, 3157, 2548, 5428, 4857]","[6235, 3447, 5123, 3047, 2468]","[-253.0, -137.0, -125.0, 150.0, -69.0]","[180600, 181500, 181200, 181100, 180700]","[37182, 29479, 24944, 28635, 30323]","[180100, 180800, 180900, 181150, 181150]","[31233, 30737, 31080, 32833, 32173]","[179750, 180250, 180250, 180750, 180750]","[29936, 29954, 31317, 31667, 26898]","[-253.0, -137.0, -125.0, 150.0, -69.0]",179750,29936,30.74,180000,180700,181150,99.44,101.11,98.33,75.83,107.22,22243,-69.0,N,21.56,N,N,N,N,N,N
A000995,DB하이텍1우,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[1.07, 1.07, 1.07, 1.07, 1.07]","[100000, 100000, 99600, 100000, 99000]","[479, 910, 500, 129, 380]","[903, 442, 203, 268, 68]","[736, 752, 722, 601, 194]","[73.0, 16.0, -41.0, 8.0, -7.0]","[99540, 100700, 100620, 100420, 100020]","[336, 565, 569, 504, 484]","[99790, 99990, 100080, 100250, 100190]","[353, 432, 452, 438, 451]","[99900, 100000, 100000, 100000, 100000]","[319, 395, 466, 466, 466]","[73.0, 16.0, -41.0, 8.0, -7.0]",99900,319,1.07,99000,100020,100190,100.0,100.91,100.0,90.91,144.44,380,-7.0,Y,24.6,Y,Y,N,Y,Y,N
A000990,DB하이텍,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[23.0, 23.37, 23.33, 23.15, 22.95]","[70900, 71400, 69200, 68500, 68000]","[353401, 516563, 634710, 676841, 666810]","[62808, 53616, 116353, 58242, 38035]","[41805, 33357, 30793, 20092, 33217]","[150.0, 1252.0, 3993.0, 2796.0, -937.0]","[71040, 72100, 71760, 70960, 70060]","[671923, 514353, 571044, 549324, 596713]","[70660, 71340, 71400, 71320, 70950]","[713562, 618041, 621766, 593222, 574776]","[70550, 71550, 71550, 71550, 71150]","[660540, 582660, 588315, 588315, 588315]","[150.0, 1252.0, 3993.0, 2796.0, -937.0]",70550,660540,22.95,68000,70060,70950,97.65,100.0,97.5,72.35,125.59,666810,-937.0,Y,24.6,Y,N,N,Y,Y,N
A000215,DL우,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[7.1, 7.06, 7.06, 7.06, 7.06]","[39950, 40350, 39800, 40100, 39950]","[581, 1759, 1291, 882, 1106]","[429, 732, 446, 284, 442]","[1381, 3285, 1088, 1308, 563]","[-21.0, -117.0, -2.0, -23.0, -5.0]","[39870, 40200, 40170, 40180, 40100]","[722, 1098, 1240, 1250, 1183]","[40065, 40035, 40020, 40050, 40060]","[1756, 978, 981, 1003, 1058]","[39950, 39950, 39950, 40000, 40000]","[1096, 880, 880, 881, 907]","[-21.0, -117.0, -2.0, -23.0, -5.0]",39950,1096,7.06,39950,40100,40060,99.87,100.13,99.37,82.48,158.2,1106,-5.0,Y,16.7,N,N,N,N,Y,N
A001880,DL건설,"[23.04, 23.71, 19.95]","[3.17, 3.94, 3.6]","[0.66, 0.89, 0.66]","[1430, 2034, 2296]","[951, 1493, 1756]","[2.24, 2.26, 2.26, 2.25, 2.24]","[27350, 27050, 26700, 26700, 26750]","[39570, 20707, 24592, 14723, 31439]","[6881, 14400, 5893, 4639, 28051]","[1942, 3448, 3917, 11322, 2737]","[-10.0, 183.0, 69.0, -180.0, 226.0]","[27270, 27130, 27000, 26880, 26850]","[27001, 26557, 23438, 21280, 22081]","[27705, 27210, 27135, 27110, 27030]","[23790, 24704, 25300, 24992, 26987]","[27500, 27200, 27075, 27075, 27050]","[21285, 22410, 24353, 24372, 25090]","[-10.0, 183.0, 69.0, -180.0, 226.0]",27500,21285,2.24,26750,26850,27030,99.81,102.43,99.25,91.03,143.93,31439,226.0,N,22.23,Y,N,N,Y,Y,Y
A000210,DL,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[11.55, 11.78, 11.79, 11.69, 11.64]","[58800, 60200, 58800, 58900, 58700]","[22317, 41214, 48860, 36505, 39322]","[12061, 4908, 5288, 10879, 8984]","[1985, 5666, 2563, 6737, 3708]","[392.0, -7.0, 130.0, 161.0, 62.0]","[59140, 59400, 59400, 59380, 59260]","[35583, 31267, 36566, 39117, 40088]","[59780, 59350, 59270, 59250, 59200]","[38070, 35606, 36079, 35168, 35557]","[59650, 59250, 59150, 59100, 58950]","[36917, 34950, 34950, 34950, 35486]","[392.0, -7.0, 130.0, 161.0, 62.0]",59650,36917,11.64,58700,59260,59200,98.98,100.85,98.98,91.82,182.28,39322,62.0,Y,16.7,N,N,N,Y,Y,Y
A007700,F&F홀딩스,"[25.13, 16.59, 153.88]","[15.65, 15.15, 0.38]","[3.56, 2.35, 0.67]","[1507, -44, 2231]","[1099, 854, 20180]","[0.77, 0.82, 0.79, 0.79, 0.79]","[28350, 28300, 26700, 26700, 26000]","[24162, 21668, 43218, 23200, 36373]","[2626, 8573, 4655, 3717, 14083]","[8950, 3617, 1289, 3262, 2256]","[-77.0, 102.0, 91.0, 22.0, 119.0]","[28090, 28490, 28160, 27800, 27280]","[23002, 22344, 26163, 23885, 28320]","[28135, 28280, 28125, 28010, 27805]","[30903, 22527, 24584, 24607, 26003]","[28100, 28325, 28325, 28325, 28325]","[23705, 22752, 23155, 23004, 23750]","[-77.0, 102.0, 91.0, 22.0, 119.0]",28100,23705,0.79,26000,27280,27805,100.0,100.58,99.04,91.73,692.31,36373,119.0,N,65.2,N,N,N,Y,Y,Y
A078935,GS우,"[6.26, -2.81, 15.54]","[8.98, -14.65, 2.56]","[0.55, 0.43, 0.36]","[20331, 9206, 26403]","[6689, -1878, 16147]","[9.91, 10.0, 10.01, 10.0, 9.98]","[36150, 36200, 35900, 36050, 35900]","[4030, 1628, 3801, 2033, 5535]","[1015, 438, 1962, 2633, 3701]","[2602, 3661, 3388, 2255, 2220]","[-36.0, -71.0, 5.0, -34.0, -12.0]","[36080, 36260, 36210, 36150, 36050]","[5444, 3171, 3124, 2736, 3031]","[36065, 36175, 36145, 36160, 36130]","[7309, 7022, 4285, 3075, 3359]","[36125, 36200, 36175, 36175, 36150]","[3291, 3645, 3558, 3181, 3558]","[-36.0, -71.0, 5.0, -34.0, -12.0]",36125,3291,9.98,35900,36050,36130,99.86,100.28,99.03,90.53,119.08,5535,-12.0,N,6.33,N,N,N,Y,Y,N
