코드,종목,최근 외국인 지분율,최근 종가,최근10일 종가 중간값,최근5일 종가 평균,최근10일 종가 평균,마지막 거래량,최근10일 거래량 중간값,자기자본이익률(ROE),ROE 평균,주가수익비율,주가순자산비율,영업이익,외국인지분율,종가,거래량,매수잔액
A000990,DB하이텍,24.73,72900,72200,74920,75130,436675,787426,"[17.39, 23.07, 33.35]",24.6,"[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[24.09, 24.12, 24.19, 24.28, 24.37]","[76000, 76600, 76600, 76800, 74900]","[998870, 632057, 500377, 497223, 1071312]","[1812.0, -1052.0, -355.0, 1578.0, 926.0]"
A108320,LX세미콘,34.89,148000,134600,145260,145090,198976,213793,"[8.39, 14.44, 44.49]",22.44,"[16.8, 13.05, 9.18]","[1.37, 1.78, 3.4]","[473, 942, 3696]","[34.19, 34.21, 34.35, 34.59, 34.75]","[147600, 146400, 146900, 142700, 145300]","[220456, 199311, 174854, 270612, 132278]","[105.0, 271.0, -308.0, 226.0, -406.0]"
A293490,카카오게임즈,10.85,78800,77500,79000,78220,498662,1178042,"[2.64, 12.12, 34.06]",16.27,"[0.0, 33.35, 12.89]","[3.39, 3.35]","[665, 1119]","[10.66, 10.72, 10.76, 10.93, 10.96]","[76900, 76500, 80200, 78700, 78300]","[1165249, 624553, 1745658, 1047686, 649934]","[322.0, -398.0, 687.0, 4299.0, -33.0]"
A011070,LG이노텍,26.24,385000,390250,387000,394500,136162,438464,"[4.73, 10.2, 30.94]",15.29,"[32.39, 18.29, 9.7]","[1.5, 1.78, 2.6]","[4764, 6810, 12642]","[25.85, 25.91, 26.18, 26.2, 26.29]","[403000, 391000, 391500, 387000, 387000]","[198575, 398353, 427024, 295693, 211723]","[2953.0, 2705.0, -128.0, 902.0, 154.0]"
A095610,테스,10.59,26750,26225,27160,27215,50205,92632,"[4.56, 13.3, 27.84]",15.23,"[50.68, 19.53, 7.95]","[2.23, 2.37, 1.87]","[117, 317, 622]","[10.38, 10.48, 10.5, 10.57, 10.71]","[27650, 27200, 27250, 27500, 27400]","[140298, 79490, 71008, 106756, 48661]","[-253.0, 94.0, 159.0, -91.0, 287.0]"
