CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_BUY,REMAIN_SELL,REMAIN_BUY_AMOUNT,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN_x,VOL_MEDIAN_x,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_DEAL,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A098120,마이크로컨텍솔,"[2.77, 3.32, 19.78]","[44.81, 45.82, 15.59]","[1.22, 1.49, 2.81]","[6, 17, 79]","[8, 11, 76]","[14.81, 14.94, 14.89, 15.05, 14.67]","[10400, 10950, 11400, 11200, 11550]","[91629, 111286, 85558, 129087, 76991]","[31660, 8855, 29494, 11934, 24890]","[23764, 13512, 24357, 22202, 25327]","[32.0, -42.0, -44.0, -126.0, 6.0]","[10540, 10590, 10880, 10700, 11100]","[94048, 93844, 99208, 110558, 99510]","[10820, 10805, 10835, 10825, 10855]","[105042, 111309, 111092, 116654, 111703]","[10725, 10725, 10725, 10725, 10725]","[84594, 101723, 102498, 113022, 102498]","[32.0, -42.0, -44.0, -126.0, 6.0]",10725,84594,14.48,11700,11490,11040,100.85,100.85,95.3,45.3,133.76,128863,-55.0,Y,8.62,Y,N,N,N,Y,N
A095570,AJ네트웍스,"[15.18, -1.3, 23.75]","[5.06, -55.11, 3.3]","[0.73, 0.74, 0.67]","[156, 211, 451]","[421, -33, 767]","[4.95, 4.93, 4.9, 4.92, 4.88]","[6300, 6450, 6480, 6460, 6460]","[62093, 108355, 77991, 47337, 20465]","[13454, 9188, 10413, 2484, 21280]","[3351, 9690, 5174, 6101, 1862]","[30.0, 31.0, 10.0, -7.0, 50.0]","[6416, 6380, 6384, 6374, 6430]","[173055, 136302, 88208, 103872, 63389]","[6349, 6376, 6445, 6414, 6472]","[355185, 351100, 348736, 348814, 345053]","[6265, 6365, 6455, 6440, 6460]","[147028, 126457, 126519, 126519, 126519]","[30.0, 31.0, 10.0, -7.0, 50.0]",6265,147028,4.87,6430,6458,6419,100.0,101.71,99.53,74.65,113.84,29435,100.0,N,12.54,Y,N,N,N,N,Y
A282330,BGF리테일,"[26.46, 18.6, 19.61]","[19.35, 19.09, 17.03]","[4.7, 3.36, 3.11]","[1966, 1622, 1994]","[1514, 1227, 1476]","[30.72, 30.69, 30.59, 30.64, 30.62]","[178500, 182000, 180000, 178500, 180500]","[19630, 29036, 35352, 31765, 40838]","[1616, 1053, 2548, 3461, 6734]","[4214, 9305, 4076, 3273, 6553]","[-309.0, -771.0, -288.0, 74.0, 36.0]","[179000, 179600, 179400, 179300, 179900]","[25478, 25281, 29337, 27255, 31341]","[177150, 177750, 178950, 178300, 179550]","[30577, 29831, 29714, 29566, 30734]","[178250, 178750, 179250, 178750, 179500]","[30736, 30362, 30362, 30362, 30449]","[-309.0, -771.0, -288.0, 74.0, 36.0]",178250,30736,30.72,184500,180600,180100,97.29,102.98,97.29,73.98,104.61,54982,-253.0,N,21.56,N,N,N,N,Y,N
A000995,DB하이텍1우,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[1.07, 1.07, 1.07, 1.07, 1.07]","[100000, 98700, 99600, 98300, 100000]","[645, 301, 241, 273, 337]","[166, 270, 146, 119, 172]","[757, 668, 321, 109, 1116]","[3.0, 2.0, -5.0, 1.0, -29.0]","[100240, 100040, 99220, 99500, 99320]","[394, 371, 370, 370, 361]","[99250, 99600, 99580, 99770, 99640]","[530, 529, 386, 523, 341]","[99600, 99600, 99550, 99600, 99650]","[363, 363, 289, 347, 289]","[3.0, 2.0, -5.0, 1.0, -29.0]",99600,363,1.07,100000,99540,99790,99.8,100.0,99.8,90.0,143.0,479,73.0,Y,24.6,Y,Y,N,N,Y,Y
A000990,DB하이텍,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[23.92, 23.63, 23.1, 23.4, 23.05]","[69700, 68600, 71700, 69300, 72500]","[698422, 592807, 854811, 964218, 598026]","[63019, 104378, 33372, 97375, 40755]","[29841, 16191, 100299, 20932, 83840]","[970.0, 4547.0, -2932.0, 3287.0, -2023.0]","[71140, 70280, 69860, 69580, 70360]","[721349, 753277, 801624, 858934, 747476]","[73400, 72600, 71360, 71870, 71120]","[713574, 710074, 792174, 756674, 744356]","[73150, 72850, 71000, 71550, 71000]","[667574, 650073, 826336, 752601, 752601]","[970.0, 4547.0, -2932.0, 3287.0, -2023.0]",73150,667574,23.0,70900,71040,70660,99.86,100.85,98.87,69.39,120.45,353401,150.0,Y,24.6,Y,N,N,Y,N,Y
A000215,DL우,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[7.18, 7.12, 7.11, 7.11, 7.11]","[40000, 39950, 39850, 39800, 39800]","[2832, 1259, 558, 662, 933]","[975, 735, 100, 95, 697]","[1726, 789, 1163, 1157, 1077]","[-34.0, 8.0, -28.0, -32.0, -29.0]","[40320, 40260, 40010, 40130, 39880]","[3638, 2789, 1649, 2315, 1249]","[39745, 39880, 40020, 39945, 40045]","[3008, 2763, 2304, 2483, 2263]","[39775, 39975, 39975, 39975, 39975]","[2983, 2883, 2089, 2590, 2046]","[-34.0, 8.0, -28.0, -32.0, -29.0]",39775,2983,7.1,39950,39870,40065,100.13,100.13,99.62,82.48,158.2,581,-21.0,Y,16.7,N,N,N,N,N,N
A001880,DL건설,"[23.04, 23.71, 19.95]","[3.17, 3.94, 3.6]","[0.66, 0.89, 0.66]","[1430, 2034, 2296]","[951, 1493, 1756]","[2.21, 2.23, 2.22, 2.23, 2.22]","[28000, 27450, 27550, 26950, 27400]","[23659, 18615, 11706, 17813, 24043]","[6111, 13816, 5368, 15725, 4045]","[2361, 2637, 1038, 1225, 1241]","[-40.0, 70.0, 45.0, 189.0, 13.0]","[28400, 28140, 27640, 27820, 27470]","[22438, 20538, 17025, 17594, 19250]","[28940, 28685, 28235, 28425, 28055]","[21015, 20700, 19384, 20007, 19963]","[28975, 28650, 28350, 28500, 28125]","[20097, 18475, 18091, 18149, 18333]","[-40.0, 70.0, 45.0, 189.0, 13.0]",28975,20097,2.24,27350,27270,27705,99.45,100.91,97.81,89.03,140.77,39570,-10.0,N,22.23,Y,N,N,Y,Y,N
A000210,DL,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[11.88, 11.79, 11.61, 11.78, 11.6]","[59700, 59600, 59200, 59100, 59700]","[38267, 44068, 35303, 45792, 40340]","[8804, 7403, 8515, 7645, 6174]","[2722, 4493, 5829, 3657, 5010]","[125.0, 81.0, 66.0, 55.0, -69.0]","[60820, 60420, 59560, 59960, 59460]","[41853, 40546, 39294, 42731, 40824]","[60610, 60590, 60480, 60500, 60330]","[55914, 52431, 46379, 49031, 42897]","[60700, 60700, 60700, 60700, 59950]","[53184, 51624, 44973, 48262, 42234]","[125.0, 81.0, 66.0, 55.0, -69.0]",60700,53184,11.55,58800,59140,59780,100.0,100.85,99.49,91.67,181.97,22317,392.0,Y,16.7,N,N,N,Y,N,Y
A007700,F&F홀딩스,"[25.13, 16.59, 153.88]","[15.65, 15.15, 0.38]","[3.56, 2.35, 0.67]","[1507, -44, 2231]","[1099, 854, 20180]","[0.78, 0.75, 0.74, 0.76, 0.77]","[28000, 28250, 28050, 27850, 28350]","[30087, 22594, 22653, 23422, 23876]","[3419, 1312, 2839, 1357, 2629]","[2816, 4290, 3695, 1811, 7919]","[-6.0, -25.0, -21.0, -4.0, -79.0]","[28050, 28180, 28130, 28120, 28100]","[40590, 38784, 31474, 31301, 24630]","[27640, 27765, 27960, 27860, 28060]","[39050, 35291, 34695, 35240, 34103]","[27725, 27925, 28000, 27925, 28025]","[30947, 30110, 30110, 30110, 27074]","[-6.0, -25.0, -21.0, -4.0, -79.0]",27725,30947,0.77,28350,28090,28135,98.24,100.53,97.71,84.13,636.68,24162,-77.0,N,65.2,N,N,N,N,N,N
A078935,GS우,"[6.26, -2.81, 15.54]","[8.98, -14.65, 2.56]","[0.55, 0.43, 0.36]","[20331, 9206, 26403]","[6689, -1878, 16147]","[9.7, 9.71, 9.87, 9.77, 9.89]","[36000, 36200, 36200, 35900, 36150]","[2850, 31050, 2696, 14130, 3314]","[1259, 1429, 1363, 814, 2326]","[1346, 6763, 2208, 1470, 1459]","[-2.0, -12.0, -18.0, -13.0, 4.0]","[36030, 36050, 36020, 36000, 36090]","[3723, 9149, 11240, 11347, 10843]","[35690, 35780, 35970, 35860, 36045]","[4456, 7066, 8086, 8081, 7917]","[35825, 35925, 36050, 35950, 36100]","[4040, 4040, 4485, 4485, 3641]","[-2.0, -12.0, -18.0, -13.0, 4.0]",35825,4040,9.91,36150,36080,36065,99.59,100.41,99.03,89.9,118.26,4030,-36.0,N,6.33,N,N,N,N,N,N
A078930,GS,"[6.26, -2.81, 15.54]","[8.98, -14.65, 2.56]","[0.55, 0.43, 0.36]","[20331, 9206, 26403]","[6689, -1878, 16147]","[19.17, 19.19, 19.11, 19.18, 19.09]","[43300, 44400, 44200, 43600, 44250]","[146260, 224365, 121562, 149887, 170655]","[9148, 9948, 6859, 14285, 23075]","[18856, 38550, 26697, 11177, 18707]","[-116.0, -437.0, -373.0, 282.0, 180.0]","[44110, 44050, 43730, 43810, 43950]","[235786, 231509, 202626, 220107, 162726]","[43700, 43835, 44060, 43900, 44095]","[338182, 284996, 244244, 255471, 219288]","[43600, 43925, 44075, 43925, 44225]","[296347, 240010, 216822, 229257, 208088]","[-116.0, -437.0, -373.0, 282.0, 180.0]",43600,296347,19.1,44300,44110,44080,98.76,101.02,98.76,83.52,113.54,135507,-275.0,N,6.33,N,N,N,N,N,N
A016385,KG동부제철우,"[-7.44, 7.18, 17.99]","[-8.37, 17.37, 5.55]","[0.88, 1.19, 0.92]","[346, 1108, 2969]","[-335, 669, 1907]","[0.0, 0.0, 0.0]","[340000, 360000, 310000]","[43072, 27976, 11653]","[164, 129, 301]","[317, 467, 123]","[0.0, -38.0, 48.0]","[331900, 357400, 359000]","[17275, 19064, 20156]","[230300, 255300, 275300]","[9186, 12253, 13577]","[205750, 267250, 306000]","[2668, 5961, 9750]","[0.0, -38.0, 48.0]",205750,2668,0.0,310000,359000,275300,110.0,110.0,100.0,29.39,137.1,11653,48.0,Y,5.91,Y,Y,Y,N,Y,Y
A016380,KG동부제철,"[-7.44, 7.18, 17.99]","[-8.37, 17.37, 5.55]","[0.88, 1.19, 0.92]","[346, 1108, 2969]","[-335, 669, 1907]","[0.63, 0.75, 0.71, 0.54, 0.62]","[15750, 15950, 17700, 17700, 17200]","[31769751, 13757829, 17036615, 14894097, 9849211]","[190117, 224658, 295529, 92253, 302081]","[80912, 159530, 140030, 197790, 73022]","[1204.0, 1077.0, 2124.0, -46.0, 1826.0]","[13370, 14340, 16690, 15670, 16860]","[12538148, 15378862, 21813023, 18370166, 17942887]","[12265, 12740, 14050, 13395, 14645]","[6348798, 7760097, 11081790, 9256426, 12079233]","[11175, 11200, 14175, 11925, 15850]","[157586, 157586, 7573272, 665097, 11911910]","[1204.0, 1077.0, 2124.0, -46.0, 1826.0]",11175,157586,1.04,17550,17670,16005,103.7,105.41,99.72,52.42,143.3,3863527,1623.0,Y,5.91,Y,N,N,N,Y,Y
A001390,KG케미칼,"[32.69, 11.94, 17.39]","[1.59, 7.19, 5.71]","[0.45, 0.81, 0.9]","[1180, 2430, 4672]","[2193, 1547, 2820]","[3.13, 3.11, 3.03, 3.17, 2.97]","[36800, 41500, 42700, 44800, 42100]","[3693662, 8496967, 688645, 10769516, 412171]","[41939, 32159, 5237, 22361, 33654]","[5142, 22054, 7427, 22751, 6611]","[823.0, 414.0, -54.0, -55.0, 666.0]","[35790, 37950, 41400, 40800, 41580]","[4141041, 5838160, 8089338, 8015104, 4908879]","[33360, 34415, 37055, 35820, 38140]","[2132790, 2975760, 4138293, 4051557, 4166796]","[31100, 31300, 38250, 34075, 40450]","[137782, 159200, 627668, 360238, 640991]","[823.0, 414.0, -54.0, -55.0, 666.0]",31100,137782,2.97,42900,43560,40755,105.48,108.97,100.0,57.93,115.03,1522706,458.0,N,20.67,Y,N,N,N,Y,Y
