CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_GAP_BUY,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A000150,두산,"[-5.21, 23.52, -34.34, 16.52]","[-23.33, 3.86, -2.03, 7.27]","[1.09, 0.8, 0.56, 0.93]","[11764, 12286, 2750, 11193]","[-3405, 4331, -9639, 6168]","[9.07, 9.01, 8.97, 8.91, 12.06]","[116000, 116000, 117000, 111000, 107500]","[49389, 59462, 80650, 1135257, 385016]","[0.0, 0.0, 0.0, 0.0, 3071.0]",118500,126121,12.06,107500,113500,116750,104.19,104.65,100.0,45.26,137.67,385016,3071.0,N,0.12,N,N,Y,Y,Y,Y
A192650,드림텍,"[13.24, 8.79, 22.97]","[16.12, 34.41, 11.35]","[1.85, 2.87, 2.3]","[305, 286, 961]","[234, 107, 793]","[20.72, 20.73, 20.76, 20.78, 20.07]","[10500, 10550, 10600, 10550, 10500]","[179291, 146593, 278294, 138300, 180006]","[0.0, 0.0, 0.0, 0.0, 197.0]",10500,220946,20.07,10500,10540,10520,101.43,101.43,100.0,87.71,133.33,180006,197.0,N,15.0,N,N,Y,N,N,Y
A024090,디씨엠,"[14.18, 10.98, 23.91]","[6.06, 7.18, 5.37]","[0.65, 0.6, 0.91]","[175, 147, 349]","[235, 200, 508]","[1.13, 1.05, 1.06, 1.3, 1.36]","[23300, 23300, 24200, 24350, 24000]","[30534, 16425, 92437, 59392, 48956]","[0.0, 0.0, 0.0, 0.0, -65.0]",22850,33254,1.36,24000,23830,23405,102.71,102.71,97.92,61.88,134.17,48956,-65.0,N,16.36,N,N,Y,N,Y,N
A092200,디아이씨,"[-33.7, -128.28, 45.03]","[-1.25, -0.94, 7.48]","[0.52, 3.19, 2.32]","[-320, -710, 273]","[-557, -1191, 295]","[2.09, 2.07]","[4930, 4915]","[171298, 137808]","[0.0, 124.0]",5005,174632,2.07,4915,4977,4954,100.51,101.73,99.9,60.22,155.65,137808,124.0,N,-38.98,N,N,Y,Y,N,Y
A263690,디알젬,"[17.88, 47.0, 22.11]","[17.27, 9.63, 10.83]","[2.87, 3.62, 2.17]","[46, 230, 124]","[55, 200, 126]","[15.11, 15.1]","[9830, 10150]","[9308, 32945]","[0.0, -17.0]",9645,10813,15.1,10150,9896,9656,96.65,100.0,96.65,85.22,182.27,32945,-17.0,N,29.0,N,N,Y,N,Y,N
A263720,디앤씨미디어,"[12.44, 23.23, 25.05]","[48.31, 41.57, 33.61]","[5.72, 8.63, 7.36]","[79, 137, 151]","[49, 109, 155]","[0.98, 0.99, 0.97, 0.95, 0.94]","[30750, 30500, 31550, 32100, 32050]","[23770, 17707, 40736, 20393, 19223]","[0.0, 0.0, 0.0, 0.0, 26.0]",28875,25592,0.94,32050,31390,30245,100.16,101.4,99.06,87.99,193.14,19223,26.0,Y,20.24,Y,N,Y,N,N,Y
A039840,디오,"[16.97, 7.37, 16.27]","[29.74, 44.05, 20.68]","[4.41, 2.92, 2.96]","[348, 300, 348]","[256, 114, 281]","[28.12, 27.99, 27.95, 27.9, 27.93]","[36300, 36500, 36500, 36200, 36850]","[78774, 61171, 57416, 36313, 71995]","[0.0, 0.0, 0.0, 0.0, 64.0]",35975,148710,27.93,36850,36470,36185,98.24,100.95,98.1,81.14,149.25,71995,64.0,N,13.54,N,N,Y,N,N,Y
A068930,디지털대성,"[8.48, 19.7, 10.24, 16.24]","[17.16, 11.77, 21.73, 12.77]","[1.23, 1.82, 1.89, 1.51]","[126, 211, 142, 262]","[99, 190, 109, 216]","[1.85, 1.73, 1.75, 1.74, 1.74]","[9100, 9070, 8980, 8930, 8990]","[150271, 82234, 78092, 37616, 64070]","[0.0, 0.0, 0.0, 0.0, 17.0]",8385,30435,1.74,8990,9014,8877,98.55,100.33,97.78,83.98,113.46,64070,17.0,N,13.66,N,N,Y,N,Y,Y
A281740,레이크머티리얼즈,"[6.49, 5.81, 36.65]","[0.0, 91.16, 19.88]","[0.0, 4.49, 6.17]","[26, 47, 207]","[18, 20, 181]","[0.57, 0.6, 0.56, 0.5, 0.52]","[4930, 4900, 4850, 4800, 4820]","[2175183, 423447, 382632, 291626, 330281]","[0.0, 0.0, 0.0, 0.0, 49.0]",4630,265700,0.52,4820,4860,4754,100.73,101.04,99.38,69.61,118.05,330281,49.0,N,16.32,Y,N,Y,N,Y,Y
A004000,롯데정밀화학,"[11.73, 12.65, 30.43]","[6.92, 7.16, 3.31]","[0.77, 0.85, 0.87]","[1897, 1392, 2445]","[1684, 1988, 5855]","[20.6, 20.64, 20.69, 20.68, 20.7]","[77300, 79000, 80000, 80500, 80200]","[46735, 122074, 128723, 100179, 110534]","[0.0, 0.0, 0.0, 0.0, -267.0]",77450,94238,20.7,80200,79400,78580,100.75,100.75,98.75,69.45,126.56,110534,-267.0,Y,18.27,N,N,Y,N,Y,N
A058470,리노공업,"[18.75, 17.37, 27.5]","[18.57, 37.16, 29.12]","[3.25, 6.07, 7.21]","[641, 779, 1171]","[528, 554, 1038]","[47.82, 47.85, 47.85, 47.85, 47.86]","[186500, 186700, 186600, 185500, 185500]","[28368, 13409, 15666, 27085, 25563]","[0.0, 0.0, 0.0, 0.0, -13.0]",184700,48500,47.86,185500,186160,185370,100.49,101.24,99.25,80.92,116.82,25563,-13.0,N,21.21,Y,Y,Y,N,N,N
A377450,리파인,"[0.0, 57.37, 19.75]","[0.0, 0.0, 11.74]",[1.8],[210],[169],"[1.78, 1.83, 1.95]","[14500, 14600, 14700]","[537631, 84087, 66667]","[0.0, 0.0, 5.0]",13750,108956,1.95,14700,14500,14085,98.64,100.34,97.28,79.25,128.57,66667,5.0,N,25.71,N,Y,Y,N,N,Y
A169330,엠브레인,"[19.16, 23.53, 20.22]","[0.0, 0.0, 16.33]",[3.1],[62],[49],"[22.37, 22.4, 22.56, 22.45, 22.46]","[4255, 4310, 4270, 4310, 4330]","[293121, 211078, 204742, 143085, 236460]","[0.0, 0.0, 0.0, 0.0, -23.0]",4820,98944,22.46,4330,4295,4445,99.19,100.46,98.96,97.69,325.64,236460,-23.0,N,20.97,N,N,Y,Y,Y,N
A267980,매일유업,"[17.14, 13.67, 15.84]","[10.5, 9.51, 7.26]","[1.67, 1.21, 1.02]","[853, 865, 878]","[643, 577, 742]","[15.15, 15.17, 15.18, 15.21, 15.21]","[65900, 65800, 66000, 66200, 66200]","[10463, 14551, 11610, 15844, 17892]","[0.0, 0.0, 0.0, 0.0, -109.0]",65750,15191,15.21,66200,66020,65540,99.7,100.45,98.79,96.22,125.98,17892,-109.0,N,15.55,Y,Y,Y,N,Y,N
A093520,매커스,"[9.11, 14.57, 36.66]","[12.7, 10.17, 5.2]","[0.92, 1.07, 1.21]","[59, 95, 260]","[48, 81, 250]","[13.85, 14.45, 16.56, 16.78]","[9040, 11350, 11400, 12400]","[490888, 5515426, 1528551, 2980841]","[0.0, 0.0, 0.0, -241.0]",8135,139518,16.78,12400,10584,9427,91.94,108.47,91.53,42.02,94.35,2980841,-241.0,Y,20.11,Y,Y,Y,N,Y,N
A067280,멀티캠퍼스,"[18.19, 8.76, 15.99]","[11.03, 20.41, 13.44]","[1.86, 1.73, 2.0]","[242, 137, 265]","[189, 99, 206]","[6.79, 6.79, 6.81, 6.8, 6.8]","[42450, 42800, 43000, 43250, 43100]","[8414, 7492, 8919, 2513, 4069]","[0.0, 0.0, 0.0, 0.0, -4.0]",41700,6286,6.8,43100,42920,42395,100.35,102.09,99.19,74.25,125.29,4069,-4.0,N,14.31,N,N,Y,N,N,N
A215200,메가스터디교육,"[20.45, 8.38, 26.83]","[10.42, 21.47, 12.04]","[1.96, 1.72, 2.86]","[596, 328, 990]","[484, 210, 815]","[31.61, 31.65, 31.55, 31.56, 31.65]","[96800, 98800, 99300, 99400, 100100]","[58267, 64172, 40380, 72866, 47578]","[0.0, 0.0, 0.0, 0.0, 61.0]",90300,67670,31.65,100100,98880,96680,99.1,100.9,98.7,54.85,101.9,47578,61.0,N,18.55,N,N,Y,N,N,Y
A138040,메리츠금융지주,"[13.87, 15.26, 16.06, 20.64]","[5.18, 4.15, 2.74, 8.19]","[0.64, 0.58, 0.39, 1.49]","[8024, 9623, 13721, 17619]","[6401, 7871, 9253, 13096]","[8.09, 8.04, 8.03, 8.0, 7.9]","[34050, 34500, 36150, 37800, 36150]","[294973, 269745, 330216, 455014, 532740]","[0.0, 0.0, 0.0, 0.0, 1113.0]",33250,521950,7.9,36150,35730,34690,104.56,106.64,100.0,41.22,154.63,532740,1113.0,Y,16.46,Y,N,Y,N,Y,Y
A008560,메리츠증권,"[13.0, 15.05, 13.08, 15.24]","[7.11, 4.8, 4.74, 6.3]","[0.84, 0.62, 0.56, 0.77]","[5323, 6799, 8280, 9685]","[4338, 5546, 5651, 7490]","[12.59, 12.57, 12.56, 12.55, 12.52]","[5940, 5940, 5990, 5980, 6250]","[1098746, 840408, 999090, 996913, 2302648]","[0.0, 0.0, 0.0, 0.0, -504.0]",5705,1451608,12.52,6250,6020,5912,95.52,100.32,95.36,66.64,108.0,2302648,-504.0,N,14.09,Y,N,Y,N,Y,N
A000060,메리츠화재,"[11.59, 12.8, 16.91, 17.55]","[10.46, 6.75, 3.88, 7.22]","[1.07, 0.82, 0.64, 1.11]","[3127, 3528, 6080, 0]","[2347, 3013, 4318, 5010]","[11.72, 11.71, 11.68, 11.69, 11.62]","[41850, 41800, 43950, 43550, 44050]","[244225, 251482, 272462, 333687, 217802]","[0.0, 0.0, 0.0, 0.0, 65.0]",38675,411045,11.62,44050,43040,41265,99.21,101.48,98.86,38.93,121.45,217802,65.0,Y,14.71,N,N,Y,N,N,Y
A059210,메타바이오메드,"[6.48, -8.09, 17.91]","[19.86, -16.38, 7.24]","[1.22, 1.34, 1.13]","[58, 27, 49]","[36, -41, 97]",[4.25],[2780],[95281],[15.0],2735,116831,4.25,2780,2752,2726,99.64,100.54,98.92,88.13,139.75,95281,15.0,N,5.43,N,N,N,N,N,Y
A058110,멕아이씨에스,"[-31.4, 113.22, 17.29]","[-14.58, 9.93, 17.63]","[5.16, 6.9, 2.34]","[-2, 303, 106]","[-17, 241, 91]",[1.09],[8320],[188116],[21.0],8235,160738,1.09,8320,8246,8259,99.16,100.84,98.2,95.31,228.37,188116,21.0,N,33.04,N,N,N,N,Y,Y
A009900,명신산업,"[0.0, 53.84, -67.39, 29.75]","[0.0, 0.0, -19.79, 16.57]","[10.93, 4.34]","[662, 932]","[-888, 716]","[3.15, 3.09, 4.6, 4.5, 4.45]","[23000, 23050, 23450, 23100, 22950]","[240999, 321213, 665342, 270709, 239517]","[0.0, 0.0, 0.0, 0.0, 1724.0]",23325,238404,4.45,22950,23110,23120,101.09,101.31,100.0,93.68,171.02,239517,1724.0,N,4.05,Y,N,Y,Y,Y,Y
A100030,모바일리더,"[-5.58, 14.99, 23.26]","[-38.06, 12.23, 6.89]","[1.83, 1.42, 1.19]","[50, 45, 44]","[-15, 52, 96]",[0.93],[21100],[3692],[-10.0],20650,3614,0.93,21100,20830,20670,100.47,100.47,98.58,79.62,126.3,3692,-10.0,Y,10.89,N,N,N,N,Y,N
A008420,문배철강,"[2.14, 7.47, 19.36]","[22.13, 8.14, 3.09]","[0.45, 0.56, 0.52]","[26, 28, 208]","[24, 86, 254]","[0.34, 0.49, 0.69, 0.38, 0.55]","[4585, 4815, 5840, 5420, 5210]","[785001, 1641380, 24190906, 4965410, 1601666]","[0.0, 0.0, 0.0, 0.0, 315.0]",4357,619222,0.55,5210,5174,4780,103.84,104.03,99.81,64.3,126.68,1601666,315.0,Y,9.66,Y,N,Y,N,Y,Y
A002840,미원상사,"[14.74, 21.07, 20.49]","[9.25, 11.72, 17.52]","[1.29, 2.26, 3.4]","[323, 429, 572]","[311, 518, 577]",[3.74],[175000],[961],[204.0],175250,1396,3.74,175000,175500,175350,100.29,100.29,99.43,98.29,139.14,961,204.0,N,18.77,Y,N,N,Y,N,Y
A268280,미원에스씨,"[0.0, 13.58, 27.2]","[9.57, 15.54, 13.95]","[1.51, 2.02, 3.36]","[466, 492, 950]","[396, 347, 799]","[0.59, 0.59, 0.59, 0.58]","[195500, 195000, 194500, 195500]","[740, 994, 956, 358]","[0.0, 0.0, 0.0, 94.0]",193500,836,0.58,195500,194800,193050,99.49,100.0,99.23,79.54,123.53,358,94.0,Y,13.59,Y,N,Y,N,N,Y
A214180,민앤지,"[14.79, 15.71, 15.9, 17.42]","[16.33, 11.25, 11.62, 9.83]","[2.3, 1.57, 1.67, 1.59]","[260, 270, 282, 419]","[197, 239, 293, 346]","[12.77, 12.77, 12.79, 12.81, 12.79]","[17450, 18000, 18250, 18250, 18200]","[48941, 39513, 38363, 28087, 27860]","[0.0, 0.0, 0.0, 0.0, 23.0]",17500,22381,12.79,18200,18030,17820,100.55,100.82,99.45,90.93,130.49,27860,23.0,Y,15.96,Y,N,Y,N,Y,Y
A206640,바디텍메드,"[16.78, 47.04, 32.75]","[19.43, 12.23, 8.89]","[3.01, 4.56, 2.5]","[150, 660, 519]","[119, 483, 474]","[2.32, 2.42]","[18400, 18550]","[314650, 283264]","[0.0, -55.0]",17325,318211,2.42,18550,17940,17585,99.19,100.81,97.04,73.32,151.48,283264,-55.0,N,32.19,N,Y,Y,N,N,N
A064550,바이오니아,"[-22.49, 65.71, 15.58]","[-19.45, 7.1, 45.34]","[5.01, 3.07, 6.18]","[-85, 1052, 471]","[-74, 592, 292]",[7.01],[41350],[593416],[424.0],41700,654785,7.01,41350,41890,41945,101.33,105.2,99.64,38.69,238.94,593416,424.0,N,19.6,N,N,N,Y,N,Y
A086040,바이오톡스텍,"[-5.15, 8.2, 19.05]","[-57.88, 84.9, 16.51]","[3.03, 6.62, 2.85]","[-1, 5, 42]","[-17, 24, 70]","[1.9, 1.99, 2.05]","[8220, 8220, 8220]","[89519, 84668, 61498]","[0.0, 0.0, -5.0]",8275,144795,2.05,8220,8216,8276,100.0,100.73,99.51,76.64,156.93,61498,-5.0,Y,7.37,Y,Y,Y,Y,N,N
A222160,바이옵트로,"[-18.75, -18.77, 51.09]","[-18.28, -16.45, 9.95]","[4.18, 3.25, 4.05]","[-7, -6, 30]","[-8, -6, 22]","[0.84, 0.69, 0.67, 0.58, 0.64]","[8630, 8630, 8600, 8820, 8700]","[107093, 54453, 62193, 108703, 115496]","[0.0, 0.0, 0.0, 0.0, -8.0]",8035,125880,0.64,8700,8676,8331,103.33,103.45,100.0,28.91,137.36,115496,-8.0,N,4.52,Y,N,Y,N,N,N
A043150,바텍,"[13.13, 14.49, -10.28, 24.37]","[11.77, 12.8, -13.77, 8.33]","[1.46, 1.75, 1.5, 1.81]","[394, 429, 316, 694]","[292, 356, -218, 630]","[28.51, 28.44, 28.45, 28.41, 28.49]","[40000, 39500, 39400, 40050, 40000]","[73293, 101538, 55819, 55011, 29155]","[0.0, 0.0, 0.0, 0.0, 71.0]",38275,67654,28.49,40000,39790,39510,100.25,100.88,99.25,73.12,116.25,29155,71.0,N,10.43,N,N,Y,N,N,Y
A100120,뷰웍스,"[15.56, 16.03, 13.8, 18.8]","[15.89, 13.01, 13.26, 11.46]","[2.31, 1.92, 1.68, 1.83]","[226, 264, 291, 386]","[208, 243, 230, 350]","[31.48, 31.45, 31.34, 31.39, 31.42]","[39800, 39600, 40300, 40450, 40100]","[41236, 42841, 83116, 27263, 27873]","[0.0, 0.0, 0.0, 0.0, 237.0]",39100,24032,31.42,40100,40050,39545,101.25,101.75,100.0,86.53,116.33,27873,237.0,N,16.05,Y,N,Y,N,Y,Y
A126340,비나텍,"[0.0, 14.83, 16.01]","[18.29, 55.09, 34.64]","[4.51, 6.4, 5.13]","[60, 64, 56]","[44, 46, 75]","[1.11, 1.1, 1.09]","[38600, 38500, 38950]","[8615, 9799, 17961]","[0.0, 0.0, 109.0]",38250,11302,1.09,38950,38670,38280,99.61,101.28,99.61,90.12,155.33,17961,109.0,Y,10.28,N,N,Y,N,Y,Y
A090460,비에이치,"[24.22, 8.69, 22.55]","[12.4, 28.08, 9.55]","[2.36, 2.14, 1.78]","[626, 340, 711]","[566, 259, 817]","[9.76, 9.8, 9.88, 10.57, 11.2]","[22050, 22800, 23200, 23600, 23600]","[1449688, 1778713, 1141629, 949684, 2855601]","[0.0, 0.0, 0.0, 0.0, -921.0]",19550,555353,11.2,23600,23050,21615,100.42,103.18,98.09,66.74,101.27,2855601,-921.0,N,18.49,N,Y,Y,N,Y,N
A335890,비올,"[43.5, -12.49, 19.2]","[0.0, -77.85, 28.43]","[0.0, 7.15, 4.89]","[38, 34, 54]","[33, -18, 44]","[1.72, 1.72, 1.75, 1.74, 1.83]","[2320, 2350, 2350, 2375, 2380]","[259063, 201831, 302106, 405040, 229697]","[0.0, 0.0, 0.0, 0.0, 37.0]",2345,615594,1.83,2380,2355,2341,100.42,100.42,98.74,80.46,114.08,229697,37.0,N,16.74,N,N,Y,N,N,Y
A093190,빅솔론,"[6.57, 3.8, 16.23]","[11.2, 15.86, 4.96]","[0.64, 0.51, 0.63]","[95, 41, 140]","[96, 56, 259]","[13.65, 13.68, 13.7, 13.74, 13.88]","[6290, 6380, 6460, 6570, 6550]","[58775, 30302, 76125, 64439, 38482]","[0.0, 0.0, 0.0, 0.0, 27.0]",6195,33597,13.88,6550,6450,6316,100.76,100.76,98.63,75.65,126.26,38482,27.0,N,8.87,N,Y,Y,N,Y,Y
A143240,사람인에이치알,"[25.35, 18.4, 23.2]","[14.17, 14.5, 15.09]","[3.07, 2.39, 3.02]","[273, 241, 391]","[255, 216, 318]","[30.38, 30.34, 30.33, 30.3, 30.28]","[40500, 40400, 39850, 39350, 39650]","[17809, 6012, 13604, 8271, 9518]","[0.0, 0.0, 0.0, 0.0, 3.0]",40625,18173,30.28,39650,39950,40390,100.38,100.38,99.24,79.45,143.76,9518,3.0,N,22.32,N,N,Y,Y,N,Y
A003960,사조대림,"[30.57, 10.02, 16.06]","[1.52, 4.42, 3.69]","[0.37, 0.34, 0.44]","[496, 494, 1023]","[871, 362, 666]","[3.39, 3.42, 3.52, 3.55, 3.53]","[27950, 28750, 28900, 29450, 28950]","[17317, 43886, 44622, 407670, 94754]","[0.0, 0.0, 0.0, 0.0, 38.0]",27350,23669,3.53,28950,28800,27990,101.9,102.76,98.79,60.28,119.69,94754,38.0,N,18.88,N,N,Y,N,Y,Y
A028050,삼성엔지니어링,"[27.49, 17.32, 20.67]","[11.73, 10.29, 12.05]","[2.86, 1.62, 2.24]","[4227, 3612, 5033]","[3238, 2521, 3511]","[40.28, 40.31, 40.32, 40.36, 40.41]","[26300, 27100, 26600, 26700, 26500]","[1050122, 1784038, 1297981, 998064, 1218149]","[0.0, 0.0, 0.0, 0.0, -189.0]",26450,2941150,40.41,26500,26640,26615,100.75,102.08,98.11,50.38,107.74,1218149,-189.0,N,21.83,N,Y,Y,N,N,N
A016360,삼성증권,"[8.15, 9.89, 16.94]","[8.8, 7.11, 4.15]","[0.7, 0.68, 0.66]","[5176, 6780, 13087]","[3918, 5078, 9653]","[30.13, 30.1, 30.11, 30.16, 30.13]","[41500, 41600, 41750, 41400, 41700]","[228948, 155776, 313713, 176525, 178188]","[0.0, 0.0, 0.0, 0.0, -148.0]",41175,319911,30.13,41700,41590,41535,99.52,100.12,99.16,92.81,122.06,178188,-148.0,Y,11.66,Y,N,Y,N,N,N
A003230,삼양식품,"[23.14, 21.46, 15.38]","[11.37, 11.32, 12.67]","[2.39, 2.22, 1.83]","[783, 953, 654]","[600, 680, 567]","[9.83, 9.86, 9.91, 9.87, 9.81]","[90500, 90800, 89600, 95000, 94000]","[26860, 25118, 27562, 120707, 31929]","[0.0, 0.0, 0.0, 0.0, 97.0]",86350,50182,9.81,94000,91980,90100,101.06,101.6,99.47,82.23,106.17,31929,97.0,N,19.99,N,N,Y,N,N,Y
A017480,삼현철강,"[4.45, 5.09, 15.37]","[9.5, 8.44, 3.51]","[0.41, 0.42, 0.5]","[79, 86, 331]","[65, 77, 254]","[2.38, 2.57, 2.58, 1.87, 1.94]","[6590, 6570, 7120, 6810, 6620]","[89387, 62494, 3708609, 450110, 209830]","[0.0, 0.0, 0.0, 0.0, 69.0]",6395,86529,1.94,6620,6742,6576,103.47,103.63,99.7,73.26,142.15,209830,69.0,Y,8.3,Y,N,Y,N,Y,Y
A009470,삼화전기,"[7.03, 9.04, 24.67]","[33.51, 32.66, 14.41]","[2.31, 2.8, 3.12]","[51, 58, 218]","[36, 58, 155]","[24.25, 24.24, 24.29]","[27400, 27450, 27450]","[10055, 10127, 11444]","[0.0, 0.0, -54.0]",27275,10463,24.29,27450,27440,27160,100.55,100.73,99.64,82.51,140.26,11444,-54.0,Y,13.58,Y,N,Y,N,Y,N
A001820,삼화콘덴서,"[21.24, 14.28, 15.15]","[18.34, 29.38, 22.01]","[3.51, 3.89, 3.06]","[373, 271, 332]","[298, 235, 286]","[7.29, 7.28, 7.32, 7.26, 7.3]","[56400, 56900, 56300, 56600, 56900]","[38755, 62035, 61327, 36802, 45290]","[0.0, 0.0, 0.0, 0.0, -22.0]",55700,53145,7.3,56900,56620,56130,100.35,101.41,99.3,90.86,127.07,45290,-22.0,N,16.89,N,N,Y,N,N,N
A091580,상신이디피,"[8.06, 12.85, 20.16]","[21.69, 20.77, 11.9]","[1.68, 2.46, 2.08]","[91, 195, 197]","[48, 86, 175]",[1.65],[14450],[37909],[-29.0],14050,74455,1.65,14450,14430,14010,100.35,101.04,100.0,88.58,149.13,37909,-29.0,Y,13.69,Y,N,N,N,N,N
A252990,샘씨엔에스,"[3.08, 28.2, 18.11]","[0.0, 0.0, 27.36]",[3.22],[136],[119],"[0.08, 0.07, 0.09]","[6520, 6500, 6490]","[276039, 91205, 121454]","[0.0, 0.0, -32.0]",6325,70800,0.09,6490,6454,6364,100.15,101.85,99.85,87.52,163.33,121454,-32.0,N,16.46,N,N,Y,N,Y,N
A038070,서린바이오,"[15.67, 8.18, 23.13]","[7.88, 22.87, 11.64]","[1.15, 1.8, 2.33]","[18, 45, 73]","[89, 48, 158]","[4.45, 3.53, 3.52, 3.52, 3.56]","[17550, 17150, 17100, 17000, 17200]","[994202, 138923, 72695, 68425, 91099]","[0.0, 0.0, 0.0, 0.0, 1.0]",16400,70438,3.56,17200,17200,16835,98.84,101.74,98.55,68.31,248.55,91099,1.0,N,15.66,Y,N,Y,N,Y,Y
A063170,서울옥션,"[10.0, -9.25, -4.06, 24.29]","[20.36, -14.54, -46.34, 20.86]","[1.83, 1.32, 1.8, 4.27]","[88, -46, -4, 214]","[71, -87, -27, 179]","[1.0, 0.95, 1.06, 1.22, 1.11]","[23000, 23450, 25350, 25450, 26000]","[204273, 174633, 1025874, 476298, 464414]","[0.0, 0.0, 0.0, 0.0, 23.0]",22700,198573,1.11,26000,24650,23765,99.42,101.54,96.54,53.46,156.54,464414,23.0,N,5.25,N,N,Y,N,Y,Y
A140070,서플러스글로벌,"[1.28, 8.98, 18.89]","[55.93, 10.12, 5.85]","[0.7, 0.82, 0.95]","[27, 154, 308]","[15, 117, 279]",[1.26],[4600],[119244],[-23.0],4517,134813,1.26,4600,4543,4450,100.33,100.43,98.37,80.54,154.78,119244,-23.0,Y,9.72,Y,N,N,N,N,N
A065710,서호전기,"[22.33, 9.15, 21.97]","[7.87, 16.48, 6.19]","[1.61, 1.52, 1.26]","[122, 113, 148]","[153, 68, 174]","[1.71, 1.72, 1.72, 1.74, 1.85]","[21650, 21700, 21650, 21600, 21050]","[4331, 6678, 6693, 10861, 16227]","[0.0, 0.0, 0.0, 0.0, 32.0]",21700,12823,1.85,21050,21530,21615,103.09,103.09,99.52,84.32,126.37,16227,32.0,N,17.82,N,Y,Y,Y,Y,Y
A148150,세경하이테크,"[18.64, -2.77, 15.74]","[17.75, -71.78, 14.7]","[3.01, 2.05, 2.13]","[234, 20, 174]","[211, -35, 227]","[1.74, 1.73, 1.81, 1.85, 2.03]","[22500, 22700, 22500, 22500, 22300]","[66837, 43269, 81032, 62981, 66034]","[0.0, 0.0, 0.0, 0.0, 313.0]",22525,70186,2.03,22300,22500,22380,101.79,101.79,100.0,89.24,155.16,66034,313.0,N,10.54,N,N,Y,Y,N,Y
A003030,세아제강지주,"[-0.32, 1.76, 16.14]","[-63.9, 10.8, 2.42]","[0.2, 0.18, 0.35]","[631, 671, 2990]","[147, 338, 2267]","[7.03, 7.1, 7.26, 7.48, 7.37]","[127000, 128500, 138500, 137000, 132500]","[37948, 24780, 88836, 41541, 19138]","[0.0, 0.0, 0.0, 0.0, 158.0]",123250,38015,7.37,132500,132700,126350,103.4,103.4,98.49,34.38,110.19,19138,158.0,Y,5.86,Y,N,Y,N,N,Y
A075580,세진중공업,"[1.13, 1.52, 1.19, 19.43]","[84.31, 74.33, 205.36, 12.26]","[0.96, 1.12, 2.4, 2.17]","[84, 94, 12, 226]","[18, 31, 33, 291]","[1.34, 1.32, 1.34, 1.31, 1.34]","[6680, 6900, 6880, 6960, 6860]","[94672, 184454, 112707, 138073, 72832]","[0.0, 0.0, 0.0, 0.0, -117.0]",6725,179565,1.34,6860,6856,6767,101.46,101.46,99.71,76.24,116.62,72832,-117.0,N,5.82,N,N,Y,N,N,N
A234340,세틀뱅크,"[15.54, 0.0, 16.77]","[19.72, 27.02, 14.34]","[2.34, 2.48, 2.1]","[134, 107, 153]","[129, 113, 225]","[3.7, 3.89]","[27700, 28150]","[47064, 21419]","[0.0, 14.0]",27700,13362,3.89,28150,27890,27485,98.4,100.36,98.4,89.34,134.99,21419,14.0,N,10.77,N,Y,Y,N,Y,Y
A068270,셀트리온,"[11.19, 16.68, 15.81]","[82.05, 96.68, 48.4]","[8.68, 14.7, 7.0]","[3781, 7121, 7525]","[2980, 5192, 5914]","[20.2, 20.13, 19.47, 19.4, 19.27]","[181000, 168000, 169500, 168000, 165500]","[443704, 1593292, 642689, 790528, 661174]","[0.0, 0.0, 0.0, 0.0, 9297.0]",180250,599527,19.27,165500,170400,176550,102.11,102.11,99.7,88.82,202.11,661174,9297.0,N,14.56,Y,N,Y,Y,Y,Y
A357780,솔브레인,"[0.0, 27.03]","[16.83, 12.37]","[4.27, 3.0]","[1040, 1949]","[649, 1547]","[27.72, 27.82, 27.88, 27.91, 27.92]","[231800, 233800, 232500, 236700, 243200]","[27061, 22006, 16699, 26078, 43847]","[0.0, 0.0, 0.0, 0.0, 55.0]",217000,27063,27.92,243200,235600,228930,98.68,100.95,97.99,84.42,153.21,43847,55.0,Y,13.52,Y,Y,Y,N,Y,Y
A134790,시디즈,"[27.34, 42.92, 23.47]","[11.32, 6.4, 9.48]","[2.32, 1.91, 1.67]","[86, 197, 127]","[78, 173, 129]","[2.61, 2.62, 2.6, 2.6]","[59500, 59300, 59300, 58800]","[422, 1487, 639, 664]","[0.0, 0.0, 0.0, -10.0]",58650,1214,2.6,58800,59280,58820,100.85,101.7,99.83,96.09,150.68,664,-10.0,N,31.24,N,N,Y,N,N,N
