CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_GAP_BUY,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A002990,금호건설,"[-0.13, 3.2, 6.89, 28.31]","[-907.86, 35.65, 12.63, 2.73]","[1.17, 1.08, 0.83, 0.63]","[423, 555, 812, 1278]","[-5, 117, 264, 1372]","[6.32, 6.3, 6.19, 6.14, 6.21]","[11750, 11550, 11550, 11550, 11400]","[205470, 160101, 120998, 131178, 103818]","[0.0, 0.0, 0.0, 0.0, 127.0]",11300,129479,6.21,11400,11560,11485,101.32,102.19,99.56,81.4,125.88,103818,127.0,Y,9.57,Y,N,Y,N,N,Y
A011785,금호석유우,"[11.84, 20.18, 47.76]","[8.81, 8.33, 2.83]","[0.82, 1.28, 0.92]","[3654, 7422, 24068]","[2947, 5830, 19656]","[8.5, 8.64, 8.58, 8.57, 8.58]","[88500, 89400, 91000, 92200, 89100]","[23438, 17743, 13033, 19225, 41947]","[0.0, 0.0, 0.0, 0.0, -17.0]",84450,14594,8.58,89100,90040,87740,103.7,104.71,99.33,87.65,173.96,41947,-17.0,Y,26.59,Y,N,Y,N,Y,N
A011780,금호석유,"[11.84, 20.18, 47.76]","[8.81, 8.33, 2.83]","[0.82, 1.28, 0.92]","[3654, 7422, 24068]","[2947, 5830, 19656]","[20.34, 20.37, 20.41, 20.47, 20.23]","[159500, 161500, 162500, 161500, 156000]","[122474, 89232, 90197, 97381, 295383]","[0.0, 0.0, 0.0, 0.0, 2818.0]",151500,117286,20.23,156000,160200,157650,103.53,103.53,98.72,90.06,191.35,295383,2818.0,Y,26.59,Y,N,Y,N,Y,Y
A190510,나무가,"[-0.94, -19.1, 33.49]","[-435.87, -18.77, 11.43]","[3.7, 3.86, 3.2]","[27, -23, 230]","[-6, -79, 160]","[2.22, 2.19, 2.27, 2.24, 2.45]","[11500, 11550, 11400, 11500, 11500]","[267187, 162570, 244953, 180214, 200162]","[0.0, 0.0, 0.0, 0.0, 51.0]",10600,181261,2.45,11500,11490,11155,100.43,101.3,98.26,66.43,178.26,200162,51.0,N,4.48,N,N,Y,N,Y,Y
A130580,나이스디앤비,"[21.19, 18.38, 19.71]","[12.04, 14.02, 11.14]","[2.33, 2.41, 2.04]","[128, 141, 169]","[113, 113, 140]","[45.35, 45.35, 45.35, 45.35, 45.35]","[9620, 9670, 9680, 9650, 9700]","[6355, 6179, 4756, 3812, 7801]","[0.0, 0.0, 0.0, 0.0, -10.0]",9620,3342,45.35,9700,9664,9647,100.21,100.21,99.28,90.1,120.1,7801,-10.0,N,19.76,Y,Y,Y,N,Y,N
A036800,나이스정보통신,"[13.88, 5.74, 15.37]","[9.52, 21.1, 7.41]","[1.17, 1.11, 1.0]","[356, 367, 468]","[295, 130, 396]","[22.4, 22.38]","[28900, 28950]","[18281, 18583]","[0.0, 29.0]",29575,21453,22.38,28950,29000,29400,100.0,100.69,98.79,89.12,128.15,18583,29.0,N,11.66,Y,N,Y,Y,N,Y
A030190,NICE평가정보,"[19.3, 19.54, 19.52]","[20.77, 31.92, 19.99]","[3.72, 5.73, 3.57]","[513, 627, 726]","[408, 472, 547]","[38.36, 38.41]","[19950, 19800]","[85752, 59228]","[0.0, -63.0]",18475,102424,38.41,19800,19540,18920,100.76,100.76,99.24,86.11,132.83,59228,-63.0,N,19.45,Y,Y,Y,N,N,N
A042420,네오위즈홀딩스,"[6.57, 15.01, 16.38]","[6.01, 2.81, 13.11]","[0.35, 0.33, 1.62]","[294, 578, 194]","[409, 950, 1037]","[3.13, 3.27, 3.18, 3.26]","[53500, 53500, 53500, 53900]","[260646, 164355, 117103, 208821]","[0.0, 0.0, 0.0, 192.0]",51650,163448,3.26,53900,53120,51975,100.56,102.41,99.26,41.47,185.53,208821,192.0,Y,12.65,N,N,Y,N,Y,Y
A041140,넥슨지티,"[2.78, 3.61, 21.55]","[83.98, 118.15, 27.75]","[2.22, 4.06, 5.22]","[-287, 31, 273]","[29, 40, 271]","[1.13, 1.24, 0.98, 1.32, 1.15]","[23000, 22650, 23400, 23050, 27350]","[1646523, 906318, 2649085, 2670510, 23394279]","[0.0, 0.0, 0.0, 0.0, 641.0]",22775,2647890,1.15,27350,23890,23170,92.32,107.86,88.12,34.55,93.05,23394279,641.0,Y,9.31,Y,N,Y,N,Y,Y
A194700,노바렉스,"[17.23, 24.25, 20.68]","[12.3, 13.95, 13.11]","[1.74, 2.68, 2.19]","[163, 270, 300]","[145, 250, 263]","[2.27, 2.19, 2.21, 2.22, 2.25]","[41000, 41250, 41100, 41750, 41200]","[70097, 11098, 17956, 17664, 7915]","[0.0, 0.0, 0.0, 0.0, 63.0]",41800,27843,2.25,41200,41260,41450,101.33,101.82,100.0,75.85,123.06,7915,63.0,N,20.72,Y,N,Y,Y,N,Y
