코드,종목,최근 외국인 지분율,최근 종가,최근10일 종가 중간값,최근5일 종가 평균,최근10일 종가 평균,마지막 거래량,최근10일 거래량 중간값,자기자본이익률(ROE),ROE 평균,주가수익비율,주가순자산비율,영업이익,외국인지분율,종가,거래량,매수잔액
A166090,하나머티리얼즈,25.53,55700,50650,55360,53380,75014,87140,"[20.86, 22.82, 29.96]",24.55,"[13.45, 14.75, 18.54]","[2.53, 2.95, 4.77]","[409, 531, 823]","[25.64, 25.72, 25.75, 25.78, 25.86]","[51700, 51400, 51200, 51100, 52600]","[49120, 36434, 42411, 59785, 108413]","[0.0, 0.0, 0.0, 0.0, -233.0]"
A093520,매커스,17.75,12000,8135,12070,10949,330572,139518,"[9.11, 14.57, 36.66]",20.11,"[12.7, 10.17, 5.2]","[0.92, 1.07, 1.21]","[59, 95, 260]","[13.85, 14.45, 16.56, 16.78, 17.48]","[9040, 11350, 11400, 12400, 12150]","[490888, 5515426, 1528551, 2980841, 714236]","[0.0, 0.0, 0.0, -241.0, 152.0]"
A195870,해성디에스,6.74,52100,48450,53080,51905,100373,174772,"[9.06, 13.62, 27.09]",16.59,"[14.65, 13.83, 11.65]","[1.29, 1.79, 2.82]","[270, 435, 863]","[6.51, 6.62, 6.64, 6.66, 6.93]","[49800, 50200, 50300, 53800, 53700]","[114387, 89712, 78790, 483048, 208475]","[0.0, 0.0, 0.0, 0.0, -200.0]"
A011070,LG이노텍,26.29,387000,352000,391900,396250,211723,448834,"[4.73, 10.2, 30.94]",15.29,"[32.39, 18.29, 9.7]","[1.5, 1.78, 2.6]","[4764, 6810, 12642]","[24.57, 25.32, 25.55, 25.63, 25.85]","[405000, 411500, 398500, 406000, 403000]","[674862, 356758, 459453, 287183, 198575]","[0.0, 0.0, 0.0, 0.0, 2953.0]"
A095610,테스,10.71,27400,24650,27400,27095,48661,90751,"[4.56, 13.3, 27.84]",15.23,"[50.68, 19.53, 7.95]","[2.23, 2.37, 1.87]","[117, 317, 622]","[9.92, 10.02, 10.26, 10.33, 10.38]","[26150, 27050, 27150, 27300, 27650]","[94254, 219278, 103565, 79592, 140298]","[0.0, 0.0, 0.0, 0.0, -253.0]"
