DT,CD,NM,FRGN_RT,END_PRC,VOL,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN,VOL_MEDIAN,REMAIN_SELL,REMAIN_BUY,REMAIN_BUY_AMOUNT,DAY_SUMMARY
2022-04-22,A098120,마이크로컨텍솔,14.44,12350,82512,12000,104049,11670,99102,11650,95143,23499,15005,-62.0,"{'시가': '12150', '고가': '12450', '저가': '11950', '52주 최저': '5300', '52주 최고': '15650'}"
2022-04-22,A095570,AJ네트웍스,4.9,6620,39707,6542,36381,6502,47826,6470,40513,15164,4137,0.0,"{'시가': '6600', '고가': '6660', '저가': '6470', '52주 최저': '4800', '52주 최고': '7320'}"
2022-04-22,A282330,BGF리테일,30.8,179500,21676,181500,29479,180800,30737,180250,29954,3447,3157,-137.0,"{'시가': '177500', '고가': '181500', '저가': '177500', '52주 최저': '136500', '52주 최고': '193000'}"
2022-04-22,A000995,DB하이텍1우,1.07,100000,910,100700,565,99990,432,100000,395,752,442,16.0,"{'시가': '101500', '고가': '101500', '저가': '99800', '52주 최저': '90000', '52주 최고': '143000'}"
2022-04-22,A000990,DB하이텍,23.37,71400,516563,72100,514353,71340,618041,71550,582660,33357,53616,1252.0,"{'시가': '72400', '고가': '72500', '저가': '71000', '52주 최저': '49200', '52주 최고': '85400'}"
2022-04-22,A000215,DL우,7.06,40350,1759,40200,1098,40035,978,39950,880,3285,732,-117.0,"{'시가': '40450', '고가': '40450', '저가': '39900', '52주 최저': '32950', '52주 최고': '63200'}"
2022-04-22,A001880,DL건설,2.26,27050,20707,27130,26557,27210,24704,27200,22410,3448,14400,183.0,"{'시가': '26950', '고가': '27050', '저가': '26750', '52주 최저': '24350', '52주 최고': '38500'}"
2022-04-22,A000210,DL,11.78,60200,41214,59400,31267,59350,35606,59250,34950,5666,4908,-7.0,"{'시가': '59400', '고가': '60600', '저가': '59000', '52주 최저': '53900', '52주 최고': '107000'}"
2022-04-22,A007700,F&F홀딩스,0.82,28300,21668,28490,22344,28280,22527,28325,22752,3617,8573,102.0,"{'시가': '28300', '고가': '28650', '저가': '28050', '52주 최저': '23850', '52주 최고': '180500'}"
2022-04-22,A078935,GS우,10.0,36200,1628,36260,3171,36175,7022,36200,3645,3661,438,-71.0,"{'시가': '36400', '고가': '36400', '저가': '35950', '52주 최저': '32500', '52주 최고': '42750'}"
2022-04-22,A078930,GS,19.25,44100,132543,44280,172953,44205,171316,44225,174089,22874,5311,-307.0,"{'시가': '43650', '고가': '44150', '저가': '43250', '52주 최저': '37000', '52주 최고': '50300'}"
2022-04-22,A016385,KG동부제철우,0.0,352000,10123,363200,15513,360300,17454,356000,14408,99,632,180.0,"{'시가': '360000', '고가': '385000', '저가': '352000', '52주 최저': '91100', '52주 최고': '433500'}"
2022-04-22,A016380,KG동부제철,0.47,23650,7139629,21720,15638080,19535,16116303,17950,16781899,72616,126896,582.0,"{'시가': '23300', '고가': '24750', '저가': '22950', '52주 최저': '9200', '52주 최고': '25900'}"
2022-04-22,A001390,KG케미칼,2.94,45250,1175330,46240,2575460,44760,3448694,44450,1685828,9045,24887,409.0,"{'시가': '46250', '고가': '47300', '저가': '44800', '52주 최저': '24850', '52주 최고': '52600'}"
2022-04-22,A051905,LG생활건강우,83.01,497000,1832,495800,3637,496300,3346,495250,3230,254,574,-18.0,"{'시가': '496500', '고가': '497000', '저가': '492000', '52주 최저': '476000', '52주 최고': '807000'}"
2022-04-22,A051900,LG생활건강,40.47,930000,64152,919800,63973,902300,48385,898500,41444,2404,894,-1414.0,"{'시가': '940000', '고가': '940000', '저가': '918000', '52주 최저': '825000', '52주 최고': '1784000'}"
2022-04-22,A011070,LG이노텍,25.8,389500,233336,390600,198328,386200,289409,390250,221169,17568,7072,-3072.0,"{'시가': '385000', '고가': '391000', '저가': '380000', '52주 최저': '181000', '52주 최고': '414500'}"
2022-04-22,A051915,LG화학우,71.58,251000,10137,255500,7136,258600,8738,257750,7396,297,2719,514.0,"{'시가': '255500', '고가': '255500', '저가': '251000', '52주 최저': '239500', '52주 최고': '455000'}"
2022-04-22,A051910,LG화학,48.6,486000,238676,499400,129748,504900,120628,505000,110539,4622,13230,3077.0,"{'시가': '498000', '고가': '498500', '저가': '483000', '52주 최저': '437000', '52주 최고': '965000'}"
2022-04-22,A001120,LX인터내셔널,25.07,37900,377005,37740,418490,36860,570369,36925,520978,22116,12759,-107.0,"{'시가': '37050', '고가': '38250', '저가': '36600', '52주 최저': '22300', '52주 최고': '38800'}"
2022-04-22,A035420,NAVER,54.48,300000,1069386,308700,590094,309700,527506,310000,482135,35774,201019,38748.0,"{'시가': '302000', '고가': '304000', '저가': '299500', '52주 최저': '297000', '52주 최고': '465000'}"
2022-04-22,A008260,NI스틸,5.96,5400,236789,5408,548581,5299,379122,5285,214596,15241,21880,-9.0,"{'시가': '5410', '고가': '5530', '저가': '5300', '52주 최저': '2960', '52주 최고': '6650'}"
2022-04-22,A010060,OCI,14.82,101500,207648,100500,213930,103150,199091,102250,181693,40786,33068,781.0,"{'시가': '102000', '고가': '103500', '저가': '100500', '52주 최저': '84100', '52주 최고': '169000'}"
2022-04-22,A010955,S-Oil우,14.65,61300,9072,60700,10876,60300,13278,60300,10484,3284,1363,-40.0,"{'시가': '60200', '고가': '61400', '저가': '59800', '52주 최저': '45050', '52주 최고': '66200'}"
2022-04-22,A010950,S-Oil,79.99,105500,227930,105400,299959,104850,405895,104750,378814,90179,40831,197.0,"{'시가': '103500', '고가': '106500', '저가': '102500', '52주 최저': '77600', '52주 최고': '117500'}"
2022-04-22,A950110,SBI핀테크솔루션즈,80.08,6090,14690,6132,12785,6117,13300,6080,9882,3300,3110,-2.0,"{'시가': '6240', '고가': '6350', '저가': '6070', '52주 최저': '6010', '52주 최고': '9560'}"
2022-04-22,A001770,SHD,1.74,33150,9999,33720,10523,33230,9422,33200,8256,583,1508,18.0,"{'시가': '34050', '고가': '34050', '저가': '32950', '52주 최저': '22650', '52주 최고': '37900'}"
2022-04-22,A009160,SIMPAC,7.87,9250,366821,9260,303781,9210,312087,9245,286168,28155,16653,-81.0,"{'시가': '9170', '고가': '9320', '저가': '9090', '52주 최저': '3900', '52주 최고': '9870'}"
2022-04-22,A210980,SK디앤디,5.02,29250,7700,29340,8133,29355,9627,29350,8879,5286,5498,19.0,"{'시가': '29250', '고가': '29400', '저가': '29050', '52주 최저': '25800', '52주 최고': '39700'}"
2022-04-22,A002710,TCC스틸,2.23,13950,4870593,12700,1965278,12505,2125480,12425,1955123,271050,88801,-810.0,"{'시가': '12500', '고가': '14050', '저가': '12400', '52주 최저': '4445', '52주 최고': '13650'}"
2022-04-22,A009450,경동나비엔,11.76,51700,30157,51040,44527,50115,36792,50050,32006,5603,9768,10.0,"{'시가': '51200', '고가': '51700', '저가': '50700', '52주 최저': '42500', '52주 최고': '78800'}"
2022-04-22,A013580,계룡건설,24.11,37400,46345,38040,56793,38260,47838,38425,47517,2111,14249,0.0,"{'시가': '37400', '고가': '37500', '저가': '37000', '52주 최저': '29350', '52주 최고': '45000'}"
2022-04-22,A049720,고려신용정보,1.27,9010,42074,8950,51251,8873,38774,8815,35044,5087,7566,15.0,"{'시가': '9140', '고가': '9140', '저가': '8900', '52주 최저': '6900', '52주 최고': '11750'}"
2022-04-22,A098460,고영,62.74,19100,351896,19450,380852,18580,337999,18600,306478,7207,42660,513.0,"{'시가': '19450', '고가': '19750', '저가': '18850', '52주 최저': '16750', '52주 최고': '29550'}"
2022-04-22,A215000,골프존,20.21,173200,18362,171700,35216,168840,30502,167700,27328,1763,525,-155.0,"{'시가': '172000', '고가': '173600', '저가': '171100', '52주 최저': '87900', '52주 최고': '193500'}"
