DT,CD,NM,FRGN_RT,END_PRC,VOL,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN,VOL_MEDIAN,REMAIN_SELL,REMAIN_BUY,REMAIN_BUY_AMOUNT,DAY_SUMMARY
<<<<<<< HEAD,,,,,,,,,,,,,,,
2022-04-27,A098120,마이크로컨텍솔,14.47,12550.0,118188.0,12310.0,153291.0,12010.0,124211.0,12000.0,111320.0,15225.0,14952.0,-7.0,"{'시가': '11950', '고가': '12600', '저가': '11800', '52주 최저': '5300', '52주 최고': '15650'}"
2022-04-27,A095570,AJ네트웍스,4.94,6660.0,47133.0,6638.0,72544.0,6558.0,50293.0,6570.0,40513.0,2549.0,6007.0,-8.0,"{'시가': '6590', '고가': '6660', '저가': '6400', '52주 최저': '4800', '52주 최고': '7320'}"
2022-04-27,A282330,BGF리테일,30.74,180000.0,22243.0,180700.0,30323.0,181150.0,32173.0,180750.0,26898.0,2468.0,4857.0,-69.0,"{'시가': '179000', '고가': '182000', '저가': '177000', '52주 최저': '136500', '52주 최고': '193000'}"
2022-04-27,A000995,DB하이텍1우,1.07,99000.0,380.0,100020.0,484.0,100190.0,451.0,100000.0,466.0,194.0,68.0,-7.0,"{'시가': '99000', '고가': '99900', '저가': '99000', '52주 최저': '90000', '52주 최고': '143000'}"
2022-04-27,A000990,DB하이텍,22.95,68000.0,666810.0,70060.0,596713.0,70950.0,574776.0,71150.0,588315.0,33217.0,38035.0,-937.0,"{'시가': '66400', '고가': '68000', '저가': '66300', '52주 최저': '49200', '52주 최고': '85400'}"
2022-04-27,A000215,DL우,7.06,39950.0,1106.0,40100.0,1183.0,40060.0,1058.0,40000.0,907.0,563.0,442.0,-5.0,"{'시가': '39900', '고가': '40000', '저가': '39700', '52주 최저': '32950', '52주 최고': '63200'}"
2022-04-27,A001880,DL건설,2.24,26750.0,31439.0,26850.0,22081.0,27030.0,26987.0,27050.0,25090.0,2737.0,28051.0,226.0,"{'시가': '26700', '고가': '27400', '저가': '26550', '52주 최저': '24350', '52주 최고': '38500'}"
2022-04-27,A000210,DL,11.64,58700.0,39322.0,59260.0,40088.0,59200.0,35557.0,58950.0,35486.0,3708.0,8984.0,62.0,"{'시가': '58100', '고가': '59200', '저가': '58100', '52주 최저': '53900', '52주 최고': '107000'}"
2022-04-27,A007700,F&F홀딩스,0.79,26000.0,36373.0,27280.0,28320.0,27805.0,26003.0,28325.0,23750.0,2256.0,14083.0,119.0,"{'시가': '26000', '고가': '26150', '저가': '25750', '52주 최저': '23850', '52주 최고': '180000'}"
2022-04-27,A078935,GS우,9.98,35900.0,5535.0,36050.0,3031.0,36130.0,3359.0,36150.0,3558.0,2220.0,3701.0,-12.0,"{'시가': '35850', '고가': '36000', '저가': '35550', '52주 최저': '32500', '52주 최고': '42750'}"
2022-04-27,A078930,GS,19.29,43750.0,199429.0,43880.0,174069.0,44110.0,177714.0,44150.0,179393.0,6824.0,6331.0,-12.0,"{'시가': '43200', '고가': '44050', '저가': '42800', '52주 최저': '37000', '52주 최고': '50300'}"
2022-04-27,A016385,KG동부제철우,0.0,306000.0,6534.0,341600.0,10560.0,347550.0,17560.0,337000.0,14170.0,145.0,374.0,36.0,"{'시가': '303000', '고가': '320000', '저가': '300500', '52주 최저': '91100', '52주 최고': '433500'}"
2022-04-27,A016380,KG동부제철,0.75,24100.0,10292538.0,23940.0,11091845.0,21575.0,13887924.0,23675.0,10308812.0,61165.0,107703.0,414.0,"{'시가': '23300', '고가': '25600', '저가': '23000', '52주 최저': '9200', '52주 최고': '25900'}"
2022-04-27,A001390,KG케미칼,3.13,42800.0,762483.0,44460.0,1348401.0,44810.0,1672132.0,43850.0,1095244.0,6020.0,35322.0,736.0,"{'시가': '42450', '고가': '44950', '저가': '42400', '52주 최저': '24850', '52주 최고': '52600'}"
2022-04-27,A051905,LG생활건강우,82.92,480500.0,2065.0,489700.0,3008.0,492100.0,3236.0,493000.0,2752.0,137.0,406.0,41.0,"{'시가': '479000', '고가': '484000', '저가': '479000', '52주 최저': '476000', '52주 최고': '807000'}"
2022-04-27,A051900,LG생활건강,40.25,891000.0,45922.0,908400.0,63553.0,904000.0,55696.0,899500.0,52375.0,1957.0,1260.0,-418.0,"{'시가': '870000', '고가': '894000', '저가': '868000', '52주 최저': '825000', '52주 최고': '1784000'}"
2022-04-27,A011070,LG이노텍,25.78,368000.0,294446.0,377700.0,245505.0,386150.0,291465.0,390250.0,221169.0,5314.0,4110.0,116.0,"{'시가': '360500', '고가': '369500', '저가': '353500', '52주 최저': '181000', '52주 최고': '414500'}"
2022-04-27,A051915,LG화학우,71.37,233000.0,23410.0,245800.0,13774.0,252550.0,11055.0,256250.0,9346.0,418.0,4354.0,610.0,"{'시가': '235500', '고가': '236000', '저가': '232000', '52주 최저': '239500', '52주 최고': '455000'}"
2022-04-27,A051910,LG화학,48.44,463000.0,281803.0,482600.0,211899.0,494000.0,156639.0,501500.0,129267.0,3870.0,14932.0,3363.0,"{'시가': '461000', '고가': '466500', '저가': '455000', '52주 최저': '437000', '52주 최고': '965000'}"
2022-04-27,A001120,LX인터내셔널,24.32,37550.0,371191.0,37830.0,795028.0,37670.0,682290.0,37725.0,520978.0,10802.0,29315.0,419.0,"{'시가': '37200', '고가': '38300', '저가': '36950', '52주 최저': '22300', '52주 최고': '42500'}"
2022-04-27,A035420,NAVER,54.17,280500.0,869942.0,293100.0,893640.0,302100.0,637491.0,307500.0,650138.0,30353.0,67259.0,-2912.0,"{'시가': '279500', '고가': '282000', '저가': '277000', '52주 최저': '285000', '52주 최고': '465000'}"
2022-04-27,A008260,NI스틸,6.81,5840.0,526901.0,5712.0,1627779.0,5531.0,1077251.0,5420.0,405705.0,11116.0,37371.0,119.0,"{'시가': '5850', '고가': '5990', '저가': '5750', '52주 최저': '2960', '52주 최고': '6650'}"
2022-04-27,A010060,OCI,14.84,98300.0,218680.0,100320.0,167276.0,100910.0,206720.0,100500.0,190567.0,1759.0,7828.0,503.0,"{'시가': '96500', '고가': '99200', '저가': '95300', '52주 최저': '84100', '52주 최고': '169000'}"
2022-04-27,A010955,S-Oil우,14.73,61200.0,23531.0,60880.0,11670.0,60740.0,12802.0,60750.0,9359.0,5518.0,505.0,-124.0,"{'시가': '59600', '고가': '61400', '저가': '59600', '52주 최저': '49200', '52주 최고': '66200'}"
2022-04-27,A010950,S-Oil,80.15,105000.0,447946.0,104300.0,302278.0,105200.0,375865.0,105000.0,367371.0,115443.0,35549.0,-3662.0,"{'시가': '101500', '고가': '107000', '저가': '101000', '52주 최저': '79200', '52주 최고': '117500'}"
2022-04-27,A950110,SBI핀테크솔루션즈,80.07,5980.0,7056.0,6060.0,10905.0,6076.0,11381.0,6060.0,7889.0,1765.0,5928.0,-3.0,"{'시가': '6040', '고가': '6040', '저가': '5860', '52주 최저': '5830', '52주 최고': '9470'}"
2022-04-27,A001770,SHD,1.41,32050.0,7120.0,32550.0,7899.0,33045.0,9169.0,33200.0,7845.0,779.0,204.0,-12.0,"{'시가': '31500', '고가': '32350', '저가': '31200', '52주 최저': '22650', '52주 최고': '36100'}"
