DT,CD,NM,FRGN_RT,END_PRC,VOL,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN,VOL_MEDIAN,REMAIN_SELL,REMAIN_BUY,REMAIN_BUY_AMOUNT,DAY_SUMMARY
2022-04-25,A098120,마이크로컨텍솔,14.36,12000,123539,12060,102699,11775,100310,11700,95143,17236,15153,-76.0,"{'시가': '12100', '고가': '12200', '저가': '11550', '52주 최저': '5300', '52주 최고': '15650'}"
2022-04-25,A095570,AJ네트웍스,4.88,6630,133945,6582,57283,6520,50373,6500,40513,28346,2323,-141.0,"{'시가': '6620', '고가': '6750', '저가': '6510', '52주 최저': '4800', '52주 최고': '7320'}"
2022-04-25,A282330,BGF리테일,30.85,183000,32468,181200,24944,180900,31080,180250,31317,5123,2548,-125.0,"{'시가': '177500', '고가': '186000', '저가': '177000', '52주 최저': '136500', '52주 최고': '193000'}"
2022-04-25,A000995,DB하이텍1우,1.07,99600,500,100620,569,100080,452,100000,466,722,203,-41.0,"{'시가': '100500', '고가': '100500', '저가': '99000', '52주 최저': '90000', '52주 최고': '143000'}"
2022-04-25,A000990,DB하이텍,23.33,69200,634710,71760,571044,71400,621766,71550,588315,30793,116353,3993.0,"{'시가': '69900', '고가': '70300', '저가': '69100', '52주 최저': '49200', '52주 최고': '85400'}"
2022-04-25,A000215,DL우,7.06,39800,1291,40170,1240,40020,981,39950,880,1088,446,-2.0,"{'시가': '40000', '고가': '40350', '저가': '39200', '52주 최저': '32950', '52주 최고': '63200'}"
2022-04-25,A001880,DL건설,2.26,26700,24592,27000,23438,27135,25300,27075,24353,3917,5893,69.0,"{'시가': '26950', '고가': '27000', '저가': '26650', '52주 최저': '24350', '52주 최고': '38500'}"
2022-04-25,A000210,DL,11.79,58800,48860,59400,36566,59270,36079,59150,34950,2563,5288,130.0,"{'시가': '59800', '고가': '59800', '저가': '58600', '52주 최저': '53900', '52주 최고': '107000'}"
2022-04-25,A007700,F&F홀딩스,0.79,26700,43218,28160,26163,28125,24584,28325,23155,1289,4655,91.0,"{'시가': '27850', '고가': '28000', '저가': '26700', '52주 최저': '23850', '52주 최고': '180500'}"
2022-04-25,A078935,GS우,10.01,35900,3801,36210,3124,36145,4285,36175,3558,3388,1962,5.0,"{'시가': '36100', '고가': '36250', '저가': '35850', '52주 최저': '32500', '52주 최고': '42750'}"
2022-04-25,A078930,GS,19.32,43850,233107,44190,192499,44150,172182,44200,174089,10057,6503,-7.0,"{'시가': '43500', '고가': '44550', '저가': '43450', '52주 최저': '37000', '52주 최고': '50300'}"
2022-04-25,A016385,KG동부제철우,0.0,334000,8278,368000,14684,363500,17577,356000,14408,396,105,-59.0,"{'시가': '339000', '고가': '339000', '저가': '324000', '52주 최저': '91100', '52주 최고': '433500'}"
2022-04-25,A016380,KG동부제철,0.67,23950,8531364,23000,16531337,20335,15583222,18475,16781899,70383,195889,2103.0,"{'시가': '23200', '고가': '24750', '저가': '22700', '52주 최저': '9200', '52주 최고': '25900'}"
2022-04-25,A001390,KG케미칼,2.99,43600,806565,46380,2430096,44970,2668553,44450,1396427,4275,17988,549.0,"{'시가': '43900', '고가': '45100', '저가': '43600', '52주 최저': '24850', '52주 최고': '52600'}"
2022-04-25,A051905,LG생활건강우,82.99,489000,1539,493600,3441,494800,3286,494250,3230,190,371,46.0,"{'시가': '494000', '고가': '494000', '저가': '488500', '52주 최저': '476000', '52주 최고': '807000'}"
2022-04-25,A051900,LG생활건강,40.39,883000,72793,915800,70458,902500,51815,898500,46772,1498,4757,2202.0,"{'시가': '915000', '고가': '915000', '저가': '882000', '52주 최저': '825000', '52주 최고': '1784000'}"
2022-04-25,A011070,LG이노텍,25.95,372500,295760,386500,226912,386600,287126,390250,221169,5382,23672,4590.0,"{'시가': '384500', '고가': '384500', '저가': '372000', '52주 최저': '181000', '52주 최고': '414500'}"
2022-04-25,A051915,LG화학우,71.52,247000,12966,253600,8824,257450,9530,257000,8913,501,2702,366.0,"{'시가': '249000', '고가': '251500', '저가': '245000', '52주 최저': '239500', '52주 최고': '455000'}"
2022-04-25,A051910,LG화학,48.51,486000,228863,496600,159400,502500,132497,504000,118507,2772,3840,-394.0,"{'시가': '475000', '고가': '497500', '저가': '471500', '52주 최저': '437000', '52주 최고': '965000'}"
2022-04-25,A001120,LX인터내셔널,25.19,38300,1927143,38040,751195,37150,717317,37050,559409,11622,25738,342.0,"{'시가': '39950', '고가': '42500', '저가': '37900', '52주 최저': '22300', '52주 최고': '38800'}"
2022-04-25,A035420,NAVER,54.39,288500,816899,305100,730921,307250,568162,309000,482135,68826,95640,70.0,"{'시가': '292500', '고가': '295000', '저가': '288000', '52주 최저': '297000', '52주 최고': '465000'}"
2022-04-25,A008260,NI스틸,6.07,5820,5721505,5510,1658898,5365,938313,5300,240674,14590,59906,144.0,"{'시가': '5360', '고가': '6250', '저가': '5310', '52주 최저': '2960', '52주 최고': '6650'}"
2022-04-25,A010060,OCI,14.82,100000,100536,100780,159049,102550,195750,101750,181693,27535,15403,-770.0,"{'시가': '99300', '고가': '101500', '저가': '99100', '52주 최저': '84100', '52주 최고': '169000'}"
2022-04-25,A010955,S-Oil우,14.67,60700,6941,60640,10608,60420,12237,60500,9024,1680,2623,13.0,"{'시가': '60600', '고가': '61100', '저가': '60300', '52주 최저': '45050', '52주 최고': '66200'}"
2022-04-25,A010950,S-Oil,80.03,104000,220819,104700,272902,104900,378896,104750,319055,38701,40224,382.0,"{'시가': '103000', '고가': '105000', '저가': '102500', '52주 최저': '78100', '52주 최고': '117500'}"
2022-04-25,A950110,SBI핀테크솔루션즈,80.07,6020,18667,6122,15822,6096,13223,6070,9882,1380,2843,6.0,"{'시가': '6150', '고가': '6150', '저가': '5830', '52주 최저': '6010', '52주 최고': '9560'}"
2022-04-25,A001770,SHD,1.56,31650,5645,33390,10934,33125,9495,33200,8256,269,2525,45.0,"{'시가': '32450', '고가': '32650', '저가': '31600', '52주 최저': '22650', '52주 최고': '37900'}"
2022-04-25,A009160,SIMPAC,7.81,9220,201022,9250,306980,9227,305364,9245,277816,13489,21058,66.0,"{'시가': '9180', '고가': '9350', '저가': '9020', '52주 최저': '3900', '52주 최고': '9870'}"
2022-04-25,A210980,SK디앤디,5.01,28900,10018,29250,8315,29285,8819,29300,8879,1435,6312,110.0,"{'시가': '29050', '고가': '29400', '저가': '28750', '52주 최저': '25800', '52주 최고': '39700'}"
