DT,CD,NM,FRGN_RT,END_PRC,VOL,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN,VOL_MEDIAN,REMAIN_SELL,REMAIN_BUY,REMAIN_BUY_AMOUNT,DAY_SUMMARY
2022-04-01,A098120,마이크로컨텍솔,15.04,10750,239453,11100,115754,10995,86576,11025,74141,17666,33207,81.0,"{'시가': '11300', '고가': '11300', '저가': '10600', '52주 최저': '5300', '52주 최고': '15650'}"
2022-04-01,A095570,AJ네트웍스,4.75,6790,2324021,6282,536038,6091,344606,6090,102746,15728,10336,-8.0,"{'시가': '6190', '고가': '7180', '저가': '6190', '52주 최저': '4635', '52주 최고': '7320'}"
2022-04-01,A282330,BGF리테일,30.93,179500,42841,175300,35670,177450,34499,178500,34154,8176,1623,-907.0,"{'시가': '174500', '고가': '181000', '저가': '172500', '52주 최저': '136500', '52주 최고': '193000'}"
2022-04-01,A000995,DB하이텍1우,1.07,98600,274,98260,666,96470,401,95100,231,655,147,-7.0,"{'시가': '99100', '고가': '99100', '저가': '97400', '52주 최저': '90000', '52주 최고': '143000'}"
2022-04-01,A000990,DB하이텍,24.65,73400,792324,75660,704692,75090,876304,75450,826354,32052,61209,-627.0,"{'시가': '74100', '고가': '74200', '저가': '72200', '52주 최저': '49200', '52주 최고': '85400'}"
2022-04-01,A000215,DL우,7.18,39450,1028,39170,2378,38420,1880,38225,1583,2564,770,-66.0,"{'시가': '39550', '고가': '39700', '저가': '39150', '52주 최저': '32950', '52주 최고': '63200'}"
2022-04-01,A001880,DL건설,2.18,29200,14727,29480,19566,29605,23935,29675,23372,4290,5900,43.0,"{'시가': '29300', '고가': '29400', '저가': '29100', '52주 최저': '24350', '52주 최고': '38500'}"
2022-04-01,A000210,DL,11.99,61600,53791,60400,69964,59940,64251,59800,61461,7823,5519,-127.0,"{'시가': '60500', '고가': '61700', '저가': '60100', '52주 최저': '53900', '52주 최고': '107000'}"
2022-04-01,A007700,F&F홀딩스,0.71,27850,44905,27230,37488,26920,41787,26950,36499,7843,4516,-71.0,"{'시가': '27450', '고가': '28050', '저가': '27200', '52주 최저': '23850', '52주 최고': '180500'}"
2022-04-01,A078935,GS우,9.67,35850,9190,35350,5188,35045,3710,35025,2615,1431,1986,-31.0,"{'시가': '35500', '고가': '35900', '저가': '35200', '52주 최저': '32500', '52주 최고': '42750'}"
2022-04-01,A078930,GS,19.18,43950,346219,43290,440505,41845,290258,41700,200549,16798,12223,123.0,"{'시가': '43500', '고가': '44500', '저가': '43200', '52주 최저': '37000', '52주 최고': '50300'}"
2022-04-01,A016385,KG동부제철우,0.0,110000,37,109400,77,107500,97,108750,74,316,80,-12.0,"{'시가': '109000', '고가': '110000', '저가': '109000', '52주 최저': '91100', '52주 최고': '214500'}"
2022-04-01,A016380,KG동부제철,1.05,11050,155676,11160,159202,11250,303416,11200,211727,121388,62723,314.0,"{'시가': '11100', '고가': '11200', '저가': '11000', '52주 최저': '9200', '52주 최고': '25150'}"
2022-04-01,A001390,KG케미칼,3.18,31350,111455,30930,124426,30520,117479,30475,116617,23085,12744,-50.0,"{'시가': '31400', '고가': '31750', '저가': '30900', '52주 최저': '24850', '52주 최고': '45700'}"
2022-04-01,A051905,LG생활건강우,83.56,512000,7204,510400,4205,512900,4313,513000,4057,590,720,-46.0,"{'시가': '507000', '고가': '513000', '저가': '501000', '52주 최저': '476000', '52주 최고': '807000'}"
2022-04-01,A051900,LG생활건강,40.68,896000,85502,862200,63474,862100,56876,862500,51939,6974,1706,-4239.0,"{'시가': '855000', '고가': '898000', '저가': '853000', '52주 최저': '825000', '52주 최고': '1784000'}"
2022-04-01,A011070,LG이노텍,26.29,384500,210687,388200,310662,396500,354158,395000,328060,4606,22562,4351.0,"{'시가': '385500', '고가': '392500', '저가': '382500', '52주 최저': '181000', '52주 최고': '414500'}"
2022-04-01,A051915,LG화학우,71.65,272500,12358,270200,14397,264500,18042,267750,17973,1823,439,-222.0,"{'시가': '273000', '고가': '275000', '저가': '268000', '52주 최저': '239500', '52주 최고': '455000'}"
