DT,CD,NM,FRGN_RT,END_PRC,VOL,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN,VOL_MEDIAN,REMAIN_SELL,REMAIN_BUY,REMAIN_BUY_AMOUNT,DAY_SUMMARY
2022-04-13,A098120,마이크로컨텍솔,15.05,11200,129087,10700,110558,10825,116654,10725,113022,22202,11934,-126.0,"{'시가': '10750', '고가': '11250', '저가': '10600', '52주 최저': '5300', '52주 최고': '15650'}"
2022-04-13,A095570,AJ네트웍스,4.92,6460,47337,6374,103872,6414,348814,6440,126519,6101,2484,-7.0,"{'시가': '6400', '고가': '6470', '저가': '6320', '52주 최저': '4800', '52주 최고': '7320'}"
2022-04-13,A282330,BGF리테일,30.64,178500,31765,179300,27255,178300,29566,178750,30362,3273,3461,74.0,"{'시가': '180500', '고가': '184000', '저가': '177500', '52주 최저': '136500', '52주 최고': '193000'}"
2022-04-13,A000995,DB하이텍1우,1.07,98300,273,99500,370,99770,523,99600,347,109,119,1.0,"{'시가': '99900', '고가': '99900', '저가': '98200', '52주 최저': '90000', '52주 최고': '143000'}"
2022-04-13,A000990,DB하이텍,23.4,69300,964218,69580,858934,71870,756674,71550,752601,20932,97375,3287.0,"{'시가': '69500', '고가': '70600', '저가': '69000', '52주 최저': '49200', '52주 최고': '85400'}"
2022-04-13,A000215,DL우,7.11,39800,662,40130,2315,39945,2483,39975,2590,1157,95,-32.0,"{'시가': '39800', '고가': '40100', '저가': '39700', '52주 최저': '32950', '52주 최고': '63200'}"
2022-04-13,A001880,DL건설,2.23,26950,17813,27820,17594,28425,20007,28500,18149,1225,15725,189.0,"{'시가': '27250', '고가': '27350', '저가': '26800', '52주 최저': '24350', '52주 최고': '38500'}"
2022-04-13,A000210,DL,11.78,59100,45792,59960,42731,60500,49031,60700,48262,3657,7645,55.0,"{'시가': '59300', '고가': '59900', '저가': '58700', '52주 최저': '53900', '52주 최고': '107000'}"
2022-04-13,A007700,F&F홀딩스,0.76,27850,23422,28120,31301,27860,35240,27925,30110,1811,1357,-4.0,"{'시가': '28000', '고가': '28000', '저가': '27400', '52주 최저': '23850', '52주 최고': '180500'}"
2022-04-13,A078935,GS우,9.77,35900,14130,36000,11347,35860,8081,35950,4485,1470,814,-13.0,"{'시가': '36100', '고가': '36400', '저가': '35150', '52주 최저': '32500', '52주 최고': '42750'}"
2022-04-13,A078930,GS,19.18,43600,149887,43810,220107,43900,255471,43925,229257,11177,14285,282.0,"{'시가': '43850', '고가': '44000', '저가': '43450', '52주 최저': '37000', '52주 최고': '50300'}"
2022-04-13,A016380,KG동부제철,0.54,17700,14894097,15670,18370166,13395,9256426,11925,665097,197790,92253,-46.0,"{'시가': '15550', '고가': '17700', '저가': '15350', '52주 최저': '9200', '52주 최고': '25150'}"
2022-04-13,A001390,KG케미칼,3.17,44800,10769516,40800,8015104,35820,4051557,34075,360238,22751,22361,-55.0,"{'시가': '40300', '고가': '49250', '저가': '40300', '52주 최저': '24850', '52주 최고': '49350'}"
2022-04-13,A051905,LG생활건강우,83.43,499000,4102,504400,2912,508100,3544,508000,3214,676,193,-287.0,"{'시가': '503000', '고가': '505000', '저가': '495000', '52주 최저': '476000', '52주 최고': '807000'}"
2022-04-13,A051900,LG생활건강,40.62,882000,35142,878200,42118,882100,47841,881500,44401,2990,1403,-1058.0,"{'시가': '878000', '고가': '885000', '저가': '864000', '52주 최저': '825000', '52주 최고': '1784000'}"
2022-04-13,A011070,LG이노텍,25.7,369500,199620,374100,265256,379200,257420,379750,228087,12357,17157,1102.0,"{'시가': '364500', '고가': '372500', '저가': '364000', '52주 최저': '181000', '52주 최고': '414500'}"
2022-04-13,A051915,LG화학우,71.51,260500,5927,261000,8257,264900,12010,265250,12319,357,281,-71.0,"{'시가': '253500', '고가': '260500', '저가': '253000', '52주 최저': '239500', '52주 최고': '455000'}"
2022-04-13,A051910,LG화학,48.56,505000,148817,517600,141948,523400,157554,525000,159214,9660,9808,-1900.0,"{'시가': '497000', '고가': '509000', '저가': '497000', '52주 최저': '437000', '52주 최고': '965000'}"
2022-04-13,A001120,LX인터내셔널,25.8,35650,898203,34900,554952,34600,462599,34375,432061,28574,13937,75.0,"{'시가': '35500', '고가': '36300', '저가': '34950', '52주 최저': '22300', '52주 최고': '38150'}"
2022-04-13,A035420,NAVER,54.56,308500,464934,317800,547774,328450,474093,332750,459653,34868,73474,-4412.0,"{'시가': '306000', '고가': '311000', '저가': '305000', '52주 최저': '297000', '52주 최고': '465000'}"
2022-04-13,A008260,NI스틸,5.86,5120,95973,5138,150098,5146,150715,5160,146931,16227,12319,2.0,"{'시가': '5100', '고가': '5200', '저가': '5050', '52주 최저': '2960', '52주 최고': '6650'}"
2022-04-13,A010060,OCI,14.62,107000,172809,105900,163458,105650,165593,106000,167925,67203,34477,-1816.0,"{'시가': '104500', '고가': '107500', '저가': '104000', '52주 최저': '84100', '52주 최고': '169000'}"
2022-04-13,A010955,S-Oil우,14.58,58700,6669,58440,11125,57660,15607,57950,12807,2564,2023,31.0,"{'시가': '59600', '고가': '59600', '저가': '58200', '52주 최저': '43900', '52주 최고': '66200'}"
