DT,CD,NM,FRGN_RT,END_PRC,VOL,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN,VOL_MEDIAN,REMAIN_SELL,REMAIN_BUY,REMAIN_BUY_AMOUNT,DAY_SUMMARY
2022-04-07,A005690,파미셀,8.2,10900,227253,11290,205425,11340,211729,11400,201871,29608,63588,430.0,"{'시가': '11250', '고가': '11250', '저가': '10900', '52주 최저': '9830', '52주 최고': '20200'}"
2022-04-07,A037070,파세코,1.49,18800,208388,19140,266232,18580,237924,18700,208484,17444,30175,113.0,"{'시가': '19000', '고가': '19200', '저가': '18650', '52주 최저': '15800', '52주 최고': '29400'}"
2022-04-07,A150900,파수,4.4,10300,85912,10640,98526,10680,149074,10675,116451,14412,31842,78.0,"{'시가': '10300', '고가': '10550', '저가': '10250', '52주 최저': '6270', '52주 최고': '14300'}"
2022-04-07,A170790,파이오링크,2.98,15900,35238,16250,44627,16195,43602,16175,39186,7001,9462,-56.0,"{'시가': '15900', '고가': '16050', '저가': '15600', '52주 최저': '12500', '52주 최고': '19150'}"
2022-04-07,A106240,파인테크닉스,1.13,12850,584459,13020,502231,13090,515688,13075,526730,102754,105282,0.0,"{'시가': '12800', '고가': '13000', '저가': '12700', '52주 최저': '5400', '52주 최고': '14350'}"
2022-04-07,A091700,파트론,18.6,11150,1944027,10860,714534,10875,602286,10850,493761,343307,164492,-984.0,"{'시가': '10750', '고가': '11250', '저가': '10700', '52주 최저': '8750', '52주 최고': '13500'}"
2022-04-07,A004720,팜젠사이언스,2.35,9150,75750,9368,82699,9423,87092,9430,77517,8839,6583,32.0,"{'시가': '9400', '고가': '9400', '저가': '9070', '52주 최저': '8760', '52주 최고': '18600'}"
2022-04-07,A028670,팬오션,14.12,6330,4037385,6582,3364638,6702,3241121,6715,3174156,183145,131063,-136.0,"{'시가': '6530', '고가': '6540', '저가': '6270', '52주 최저': '4710', '52주 최고': '8920'}"
2022-04-07,A001020,페이퍼코리아,0.73,1955,108932,1946,556733,1986,376778,2000,260342,22199,22214,-10.0,"{'시가': '1945', '고가': '1960', '저가': '1905', '52주 최저': '1370', '52주 최고': '3090'}"
2022-04-07,A058430,포스코강판,2.01,50100,22737,50620,29758,51590,51459,51500,38097,1345,4140,148.0,"{'시가': '50000', '고가': '51100', '저가': '49900', '52주 최저': '29550', '52주 최고': '88000'}"
2022-04-07,A103140,풍산,12.01,32100,193653,32910,137503,33170,124288,33175,110967,6706,20259,399.0,"{'시가': '33150', '고가': '33200', '저가': '32050', '52주 최저': '28450', '52주 최고': '49950'}"
2022-04-07,A005810,풍산홀딩스,10.26,29350,13506,29570,25659,29715,21835,29700,17841,2721,3085,-29.0,"{'시가': '28850', '고가': '29450', '저가': '28800', '52주 최저': '23200', '52주 최고': '32250'}"
2022-04-07,A370090,퓨런티어,0.43,21200,138927,21370,143932,21460,196435,21375,169369,19697,30136,85.0,"{'시가': '21400', '고가': '21550', '저가': '21000', '52주 최저': '19750', '52주 최고': '39000'}"
2022-04-07,A377220,프롬바이오,0.56,8860,120848,9204,111206,9142,123646,9175,114473,2926,8750,41.0,"{'시가': '9110', '고가': '9160', '저가': '8860', '52주 최저': '7880', '52주 최고': '24250'}"
2022-04-07,A367000,플래티어,0.15,18000,67802,19150,44231,19435,117185,19575,74887,2194,6125,61.0,"{'시가': '18800', '고가': '18800', '저가': '17950', '52주 최저': '14700', '52주 최고': '42600'}"
2022-04-07,A051380,피씨디렉트,0.64,24150,539190,22200,601730,19905,351938,18150,117295,22528,6859,-260.0,"{'시가': '22600', '고가': '24300', '저가': '22400', '52주 최저': '10550', '52주 최고': '38300'}"
2022-04-07,A178920,PI첨단소재,10.66,49750,1087240,47290,354311,46410,265815,46100,164917,16752,16710,258.0,"{'시가': '47100', '고가': '51300', '저가': '46750', '52주 최저': '39400', '52주 최고': '67800'}"
2022-04-07,A319660,피에스케이,12.24,48650,170622,48570,167651,49325,165098,49150,170366,10877,4141,-208.0,"{'시가': '47300', '고가': '48950', '저가': '46850', '52주 최저': '33150', '52주 최고': '54400'}"
