DT,CD,NM,FRGN_RT,END_PRC,VOL,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN,VOL_MEDIAN,REMAIN_SELL,REMAIN_BUY,REMAIN_BUY_AMOUNT,DAY_SUMMARY
2022-04-26,A098120,마이크로컨텍솔,14.28,12400,334166,12200,153529,11895,120888,11850,95143,14651,27201,77.0,"{'시가': '11900', '고가': '13050', '저가': '11800', '52주 최저': '5300', '52주 최고': '15650'}"
2022-04-26,A095570,AJ네트웍스,4.94,6660,77424,6610,67041,6540,53376,6520,40513,23650,12694,-55.0,"{'시가': '6600', '고가': '6740', '저가': '6600', '52주 최저': '4800', '52주 최고': '7320'}"
2022-04-26,A282330,BGF리테일,30.84,181000,49307,181100,28635,181150,32833,180750,31667,3047,5428,150.0,"{'시가': '182500', '고가': '184000', '저가': '176000', '52주 최저': '136500', '52주 최고': '193000'}"
2022-04-26,A000995,DB하이텍1우,1.07,100000,129,100420,504,100250,438,100000,466,601,268,8.0,"{'시가': '99000', '고가': '100000', '저가': '99000', '52주 최저': '90000', '52주 최고': '143000'}"
2022-04-26,A000990,DB하이텍,23.15,68500,676841,70960,549324,71320,593222,71550,588315,20092,58242,2796.0,"{'시가': '69700', '고가': '69900', '저가': '68400', '52주 최저': '49200', '52주 최고': '85400'}"
2022-04-26,A000215,DL우,7.06,40100,882,40180,1250,40050,1003,40000,881,1308,284,-23.0,"{'시가': '39950', '고가': '40650', '저가': '39350', '52주 최저': '32950', '52주 최고': '63200'}"
2022-04-26,A001880,DL건설,2.25,26700,14723,26880,21280,27110,24992,27075,24372,11322,4639,-180.0,"{'시가': '26700', '고가': '27000', '저가': '26700', '52주 최저': '24350', '52주 최고': '38500'}"
2022-04-26,A000210,DL,11.69,58900,36505,59380,39117,59250,35168,59100,34950,6737,10879,161.0,"{'시가': '59000', '고가': '59400', '저가': '58700', '52주 최저': '53900', '52주 최고': '107000'}"
2022-04-26,A007700,F&F홀딩스,0.79,26700,23200,27800,23885,28010,24607,28325,23004,3262,3717,22.0,"{'시가': '26750', '고가': '27150', '저가': '26600', '52주 최저': '23850', '52주 최고': '180500'}"
2022-04-26,A078935,GS우,10.0,36050,2033,36150,2736,36160,3075,36175,3181,2255,2633,-34.0,"{'시가': '35900', '고가': '36100', '저가': '35800', '52주 최저': '32500', '52주 최고': '42750'}"
2022-04-26,A078930,GS,19.3,43650,127518,44030,179357,44155,169945,44200,174089,18764,11065,-150.0,"{'시가': '43650', '고가': '44000', '저가': '43400', '52주 최저': '37000', '52주 최고': '50300'}"
2022-04-26,A016385,KG동부제철우,0.0,319500,5576,366000,12121,356200,16828,346000,14170,132,166,-19.0,"{'시가': '320000', '고가': '328000', '저가': '315000', '52주 최저': '91100', '52주 최고': '433500'}"
2022-04-26,A016380,KG동부제철,0.77,23700,5883203,23990,14167748,20935,14570962,21200,13822591,77264,259527,2650.0,"{'시가': '23550', '고가': '24250', '저가': '23050', '52주 최저': '9200', '52주 최고': '25900'}"
2022-04-26,A001390,KG케미칼,3.27,43100,954967,46180,2268696,44800,1665600,43850,1086182,4027,21819,444.0,"{'시가': '43600', '고가': '45150', '저가': '42600', '52주 최저': '24850', '52주 최고': '52600'}"
2022-04-26,A051905,LG생활건강우,82.97,486000,2650,492200,3542,493500,3390,493500,3230,70,266,92.0,"{'시가': '489000', '고가': '492000', '저가': '485000', '52주 최저': '476000', '52주 최고': '807000'}"
2022-04-26,A051900,LG생활건강,40.27,896000,53628,914400,71062,903900,53691,899500,52352,3111,3011,-1292.0,"{'시가': '883000', '고가': '897000', '저가': '873000', '52주 최저': '825000', '52주 최고': '1784000'}"
2022-04-26,A011070,LG이노텍,25.89,370500,211957,382300,224853,386700,288593,390250,221169,4217,10174,1715.0,"{'시가': '377500', '고가': '379000', '저가': '369000', '52주 최저': '181000', '52주 최고': '414500'}"
2022-04-26,A051915,LG화학우,71.44,242000,13768,250600,10343,255600,9980,256750,9346,5838,1063,-1072.0,"{'시가': '249500', '고가': '250500', '저가': '242000', '52주 최저': '239500', '52주 최고': '455000'}"
2022-04-26,A051910,LG화학,48.52,475000,198396,491000,181741,499500,137380,503000,118507,33926,10765,-12194.0,"{'시가': '487500', '고가': '494500', '저가': '475000', '52주 최저': '437000', '52주 최고': '965000'}"
2022-04-26,A001120,LX인터내셔널,24.51,38300,743121,38010,801688,37415,703047,37500,559409,27339,6831,-385.0,"{'시가': '38900', '고가': '38950', '저가': '37050', '52주 최저': '22300', '52주 최고': '42500'}"
2022-04-26,A035420,NAVER,54.32,287000,801964,300100,818390,305100,602201,309000,507957,47788,69766,133.0,"{'시가': '288500', '고가': '291500', '저가': '285000', '52주 최저': '288000', '52주 최고': '465000'}"
2022-04-26,A008260,NI스틸,6.55,6060,1150874,5664,1863442,5459,1046276,5355,307886,61691,8508,-108.0,"{'시가': '5760', '고가': '6070', '저가': '5670', '52주 최저': '2960', '52주 최고': '6650'}"
